area_id,area_name,b08006001,b08006001_moe,b08006002,b08006002_moe,b08006003,b08006003_moe,b08006004,b08006004_moe,b08006005,b08006005_moe,b08006006,b08006006_moe,b08006007,b08006007_moe,b08006008,b08006008_moe,b08006009,b08006009_moe,b08006010,b08006010_moe,b08006011,b08006011_moe,b08006012,b08006012_moe,b08006013,b08006013_moe,b08006014,b08006014_moe,b08006015,b08006015_moe,b08006016,b08006016_moe,b08006017,b08006017_moe,b08006018,b08006018_moe,b08006019,b08006019_moe,b08006020,b08006020_moe,b08006021,b08006021_moe,b08006022,b08006022_moe,b08006023,b08006023_moe,b08006024,b08006024_moe,b08006025,b08006025_moe,b08006026,b08006026_moe,b08006027,b08006027_moe,b08006028,b08006028_moe,b08006029,b08006029_moe,b08006030,b08006030_moe,b08006031,b08006031_moe,b08006032,b08006032_moe,b08006033,b08006033_moe,b08006034,b08006034_moe,b08006035,b08006035_moe,b08006036,b08006036_moe,b08006037,b08006037_moe,b08006038,b08006038_moe,b08006039,b08006039_moe,b08006040,b08006040_moe,b08006041,b08006041_moe,b08006042,b08006042_moe,b08006043,b08006043_moe,b08006044,b08006044_moe,b08006045,b08006045_moe,b08006046,b08006046_moe,b08006047,b08006047_moe,b08006048,b08006048_moe,b08006049,b08006049_moe,b08006050,b08006050_moe,b08006051,b08006051_moe
1.1,Arbor Heights,3608,209,2978,214,2721,239,257,96,216,88,0,17,41,32,264,98,264,98,0,17,0,17,0,17,0,17,0,17,0,17,78,59,288,91,1855,152,1556,164,1421,172,135,62,110,55,0,17,25,28,131,72,131,72,0,17,0,17,0,17,0,17,0,17,0,17,78,59,90,49,1753,142,1422,141,1300,142,122,60,106,53,0,17,16,22,133,68,133,68,0,17,0,17,0,17,0,17,0,17,0,17,0,17,198,72
1.2,Fauntleroy/Seaview,8102,501,5855,492,5005,474,850,302,674,282,127,103,49,41,1205,244,1189,242,0,24,0,24,0,24,16,31,102,89,71,54,143,86,726,191,3842,321,2764,303,2438,291,326,152,286,152,19,34,21,26,564,173,548,170,0,24,0,24,0,24,16,31,82,82,18,33,114,71,300,117,4260,307,3091,308,2567,297,524,199,388,171,108,91,28,37,641,168,641,168,0,24,0,24,0,24,0,24,20,37,53,45,29,33,426,129
1.3,West Seattle Junction/Genesee Hill,10157,532,7375,567,6142,551,1233,271,931,256,208,119,94,65,1619,294,1542,293,0,29,0,29,0,29,77,56,189,106,284,115,49,34,641,167,4838,362,3482,366,2982,357,500,165,386,155,93,64,21,30,764,186,718,179,0,29,0,29,0,29,46,49,115,72,157,74,19,27,301,104,5319,385,3893,382,3160,377,733,175,545,161,115,77,73,61,855,207,824,210,0,29,0,29,0,29,31,40,74,61,127,74,30,32,340,127
1.4,Alki/Admiral,6063,363,4539,350,3935,379,604,209,383,191,148,96,73,73,791,171,680,176,0,24,0,24,13,26,98,69,77,63,126,88,61,52,469,151,3129,249,2327,248,1991,260,336,143,192,114,89,85,55,52,427,126,347,131,0,24,0,24,13,26,67,63,77,63,29,38,36,42,233,91,2934,288,2212,273,1944,279,268,126,191,118,59,54,18,34,364,113,333,109,0,24,0,24,0,24,31,34,0,24,97,85,25,34,236,113
2.1,North Delridge,2950,272,2042,238,1621,248,421,192,297,174,68,80,56,69,612,204,598,197,0,12,14,23,0,12,0,12,98,71,0,12,15,25,183,110,1603,192,1188,186,874,185,314,151,239,141,33,39,42,66,235,108,221,102,0,12,14,23,0,12,0,12,65,60,0,12,0,12,115,80,1347,220,854,202,747,197,107,75,58,56,35,48,14,21,377,174,377,174,0,12,0,12,0,12,0,12,33,37,0,12,15,25,68,51
2.2,High Point,2805,290,2060,302,1710,301,350,152,301,151,49,42,0,17,451,173,441,174,10,21,0,17,0,17,0,17,8,18,89,68,41,38,156,83,1293,187,944,189,829,193,115,63,79,54,36,37,0,17,226,115,216,117,10,21,0,17,0,17,0,17,8,18,11,17,33,32,71,51,1512,243,1116,233,881,210,235,129,222,125,13,25,0,17,225,122,225,122,0,17,0,17,0,17,0,17,0,17,78,63,8,16,85,57
2.3,Riverview,2666,229,2174,211,1616,177,558,148,418,158,81,64,59,44,304,107,304,107,0,12,0,12,0,12,0,12,55,49,12,17,24,37,97,45,1357,192,1136,198,894,152,242,102,232,100,10,17,0,12,172,91,172,91,0,12,0,12,0,12,0,12,16,29,0,12,0,12,33,29,1309,128,1038,113,722,140,316,85,186,81,71,54,59,44,132,58,132,58,0,12,0,12,0,12,0,12,39,32,12,17,24,37,64,36
2.4,Roxhill/Westwood,6860,452,5140,395,4305,363,835,257,642,222,121,122,72,53,1125,283,1105,283,0,21,10,23,0,21,10,23,86,53,220,118,59,43,230,90,3560,390,2528,282,2124,259,404,170,275,120,86,115,43,42,686,239,666,239,0,21,10,23,0,21,10,23,61,45,115,95,39,39,131,69,3300,323,2612,303,2181,278,431,157,367,150,35,33,29,37,439,175,439,175,0,21,0,21,0,21,0,21,25,31,105,67,20,30,99,53
2.5,Highland Park,2999,316,2262,273,1988,271,274,139,195,94,79,96,0,21,493,211,493,211,0,21,0,21,0,21,0,21,35,55,64,102,18,31,127,67,1577,177,1160,169,1057,183,103,64,87,63,16,24,0,21,271,121,271,121,0,21,0,21,0,21,0,21,16,28,64,102,18,31,48,51,1422,210,1102,200,931,173,171,113,108,65,63,87,0,21,222,132,222,132,0,21,0,21,0,21,0,21,19,31,0,21,0,21,79,55
3.1,South Park,2078,433,1435,316,1203,288,232,135,159,87,43,69,30,49,452,163,452,163,0,17,0,17,0,17,0,17,21,30,49,58,41,41,80,56,1197,389,833,251,669,207,164,106,91,54,43,69,30,49,278,138,278,138,0,17,0,17,0,17,0,17,14,26,32,52,33,35,7,16,881,168,602,151,534,155,68,56,68,56,0,17,0,17,174,86,174,86,0,17,0,17,0,17,0,17,7,17,17,27,8,18,73,55
