area_id,area_name,b01001f001,b01001f001_moe,b01001f002,b01001f002_moe,b01001f003,b01001f003_moe,b01001f004,b01001f004_moe,b01001f005,b01001f005_moe,b01001f006,b01001f006_moe,b01001f007,b01001f007_moe,b01001f008,b01001f008_moe,b01001f009,b01001f009_moe,b01001f010,b01001f010_moe,b01001f011,b01001f011_moe,b01001f012,b01001f012_moe,b01001f013,b01001f013_moe,b01001f014,b01001f014_moe,b01001f015,b01001f015_moe,b01001f016,b01001f016_moe,b01001f017,b01001f017_moe,b01001f018,b01001f018_moe,b01001f019,b01001f019_moe,b01001f020,b01001f020_moe,b01001f021,b01001f021_moe,b01001f022,b01001f022_moe,b01001f023,b01001f023_moe,b01001f024,b01001f024_moe,b01001f025,b01001f025_moe,b01001f026,b01001f026_moe,b01001f027,b01001f027_moe,b01001f028,b01001f028_moe,b01001f029,b01001f029_moe,b01001f030,b01001f030_moe,b01001f031,b01001f031_moe
1.1,Arbor Heights,41,37,41,37,0,17,0,17,0,17,0,17,7,16,7,18,0,17,0,17,15,24,0,17,12,22,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
1.2,Fauntleroy/Seaview,101,134,36,38,0,24,0,24,0,24,0,24,0,24,15,30,0,24,0,24,0,24,17,31,4,20,0,24,0,24,0,24,65,106,0,24,0,24,30,53,0,24,0,24,15,30,0,24,0,24,2,23,18,34,0,24,0,24,0,24,0,24
1.3,West Seattle Junction/Genesee Hill,168,137,80,82,0,29,0,29,12,30,12,30,0,29,0,29,5,26,0,29,14,31,0,29,37,62,0,29,0,29,0,29,88,95,14,32,0,29,0,29,0,29,0,29,0,29,0,29,59,90,0,29,15,26,0,29,0,29,0,29,0,29
1.4,Alki/Admiral,24,43,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,24,43,0,24,0,24,24,43,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24
2.1,North Delridge,148,153,80,70,0,12,0,12,0,12,0,12,0,12,0,12,0,12,13,22,16,26,51,77,0,12,0,12,0,12,0,12,68,85,0,12,0,12,0,12,0,12,0,12,0,12,0,12,14,24,0,12,54,81,0,12,0,12,0,12,0,12
2.2,High Point,55,79,19,24,12,22,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,7,18,0,17,0,17,0,17,36,57,0,17,11,22,11,22,0,17,0,17,0,17,0,17,0,17,10,22,0,17,4,16,0,17,0,17,0,17
2.3,Riverview,17,17,9,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,9,12,0,12,0,12,0,12,0,12,8,13,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,8,13,0,12,0,12
2.4,Roxhill/Westwood,705,410,546,347,97,116,82,77,10,23,21,36,0,21,84,97,58,89,53,59,77,92,64,75,0,21,0,21,0,21,0,21,159,103,25,34,0,21,10,24,0,21,0,21,0,21,35,51,31,51,22,38,10,24,0,21,26,43,0,21,0,21
2.5,Highland Park,67,61,21,35,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,21,35,0,21,0,21,0,21,46,51,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,27,44,19,33,0,21,0,21,0,21
3.1,South Park,132,160,71,104,0,17,34,51,14,28,0,17,0,17,0,17,0,17,0,17,23,31,0,17,0,17,0,17,0,17,0,17,61,61,0,17,0,17,22,31,8,17,0,17,0,17,0,17,0,17,21,30,0,17,10,21,0,17,0,17,0,17
3.2,Georgetown,58,79,42,58,0,12,0,12,0,12,0,12,0,12,0,12,24,34,0,12,0,12,18,24,0,12,0,12,0,12,0,12,16,21,0,12,0,12,0,12,0,12,16,21,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
3.3,Duwamish/SODO,58,94,58,94,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,21,33,0,12,25,59,12,30,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
3.4,South Beacon Hill/NewHolly,82,89,43,41,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,13,27,16,33,0,24,14,29,0,24,0,24,39,63,14,28,13,26,0,24,0,24,0,24,0,24,12,25,0,24,0,24,0,24,0,24,0,24,0,24,0,24
3.5,Beacon Hill,254,320,120,169,19,31,5,22,0,17,0,17,0,17,12,24,16,29,42,80,7,27,12,22,0,17,7,28,0,17,0,17,134,172,20,34,25,38,25,39,0,17,0,17,7,27,37,44,0,17,11,22,0,17,0,17,9,34,0,17,0,17
3.6,North Beacon Hill/Jefferson Park,242,231,193,222,0,24,0,24,0,24,0,24,0,24,43,71,0,24,53,73,77,81,20,39,0,24,0,24,0,24,0,24,49,50,13,29,0,24,0,24,0,24,0,24,0,24,0,24,22,43,0,24,14,30,0,24,0,24,0,24,0,24
4.1,Rainier Beach,569,540,384,435,0,27,91,87,95,141,49,76,0,27,50,77,0,27,36,62,0,27,49,75,14,31,0,27,0,27,0,27,185,176,0,27,0,27,94,111,0,27,0,27,0,27,0,27,0,27,0,27,91,85,0,27,0,27,0,27,0,27
4.2,Columbia City,172,128,88,80,14,32,0,27,0,27,0,27,0,27,17,33,16,33,0,27,0,27,0,27,32,44,0,27,9,28,0,27,84,70,0,27,0,27,0,27,0,27,0,27,14,32,18,34,13,31,6,30,0,27,17,34,7,33,9,28,0,27
4.3,Seward Park,52,51,19,26,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,11,22,0,17,0,17,0,17,8,18,0,17,33,41,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,24,40,9,20,0,17
4.4,Mt. Baker/North Rainier,14,22,14,22,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,14,22,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
5.1,Madrona/Leschi,162,112,77,62,25,36,0,21,0,21,0,21,0,21,0,21,0,21,0,21,37,48,15,27,0,21,0,21,0,21,0,21,85,67,25,37,0,21,0,21,0,21,0,21,0,21,12,24,0,21,36,45,12,23,0,21,0,21,0,21,0,21
5.2,Judkins Park,14,23,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,14,23,0,12,0,12,0,12,0,12,0,12,14,23,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
5.3,Central Area/Squire Park,159,125,104,95,0,24,0,24,0,24,12,30,0,24,0,24,16,33,13,30,49,67,14,30,0,24,0,24,0,24,0,24,55,44,10,29,0,24,0,24,0,24,0,24,0,24,22,30,15,33,0,24,8,24,0,24,0,24,0,24,0,24
6.1,First Hill,401,150,288,133,0,24,0,24,0,24,6,25,28,36,79,58,77,67,39,42,8,26,51,86,0,24,0,24,0,24,0,24,113,78,0,24,0,24,0,24,0,24,22,30,14,32,37,48,30,53,0,24,10,26,0,24,0,24,0,24,0,24
