area_id,area_name,b08101001,b08101001_moe,b08101002,b08101002_moe,b08101003,b08101003_moe,b08101004,b08101004_moe,b08101005,b08101005_moe,b08101006,b08101006_moe,b08101007,b08101007_moe,b08101008,b08101008_moe,b08101009,b08101009_moe,b08101010,b08101010_moe,b08101011,b08101011_moe,b08101012,b08101012_moe,b08101013,b08101013_moe,b08101014,b08101014_moe,b08101015,b08101015_moe,b08101016,b08101016_moe,b08101017,b08101017_moe,b08101018,b08101018_moe,b08101019,b08101019_moe,b08101020,b08101020_moe,b08101021,b08101021_moe,b08101022,b08101022_moe,b08101023,b08101023_moe,b08101024,b08101024_moe,b08101025,b08101025_moe,b08101026,b08101026_moe,b08101027,b08101027_moe,b08101028,b08101028_moe,b08101029,b08101029_moe,b08101030,b08101030_moe,b08101031,b08101031_moe,b08101032,b08101032_moe,b08101033,b08101033_moe,b08101034,b08101034_moe,b08101035,b08101035_moe,b08101036,b08101036_moe,b08101037,b08101037_moe,b08101038,b08101038_moe,b08101039,b08101039_moe,b08101040,b08101040_moe,b08101041,b08101041_moe,b08101042,b08101042_moe,b08101043,b08101043_moe,b08101044,b08101044_moe,b08101045,b08101045_moe,b08101046,b08101046_moe,b08101047,b08101047_moe,b08101048,b08101048_moe,b08101049,b08101049_moe,b08101050,b08101050_moe,b08101051,b08101051_moe,b08101052,b08101052_moe,b08101053,b08101053_moe,b08101054,b08101054_moe,b08101055,b08101055_moe,b08101056,b08101056_moe
1.1,Arbor Heights,3608,209,67,37,155,82,1733,201,874,156,353,106,246,83,180,76,2721,239,46,33,87,52,1250,209,755,159,272,98,157,67,154,72,257,96,21,26,8,18,135,72,19,22,41,32,25,23,8,18,264,98,0,17,33,37,134,74,71,57,7,16,19,23,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,78,59,0,17,0,17,78,59,0,17,0,17,0,17,0,17,288,91,0,17,27,40,136,66,29,27,33,32,45,34,18,19
1.2,Fauntleroy/Seaview,8102,501,35,38,193,100,4092,401,2139,262,773,165,503,132,367,128,5005,474,35,38,172,85,2380,356,1372,256,492,148,269,96,285,111,850,302,0,24,0,24,611,265,125,73,52,42,62,44,0,24,1205,244,0,24,21,35,676,189,287,108,115,65,88,55,18,25,71,54,0,24,0,24,35,38,33,40,3,20,0,24,0,24,245,111,0,24,0,24,110,92,96,70,20,35,19,32,0,24,726,191,0,24,0,24,280,126,226,105,91,51,65,48,64,58
1.3,West Seattle Junction/Genesee Hill,10157,532,166,88,517,214,5240,438,2189,279,925,205,678,174,442,119,6142,551,110,73,320,145,3089,406,1353,230,647,185,316,110,307,112,1233,271,19,32,17,36,768,215,246,119,48,48,115,81,20,39,1619,294,37,44,106,88,918,188,373,168,61,53,113,73,11,31,284,115,0,29,13,32,84,56,59,56,28,38,59,50,41,50,238,111,0,29,0,29,91,54,65,49,64,82,0,29,18,36,641,167,0,29,61,55,290,109,93,71,77,55,75,55,45,44
1.4,Alki/Admiral,6063,363,60,48,143,99,2855,326,1634,259,566,148,440,133,365,206,3935,379,7,21,66,49,1816,290,1081,197,357,136,283,110,325,205,604,209,34,42,23,40,327,157,84,71,60,44,66,52,10,23,791,171,0,24,0,24,446,144,206,89,77,49,46,42,16,31,126,88,0,24,0,24,66,75,60,49,0,24,0,24,0,24,138,71,0,24,0,24,78,60,46,46,0,24,14,29,0,24,469,151,19,34,54,82,122,86,157,79,72,52,31,34,14,29
2.1,North Delridge,2950,272,22,27,42,45,1866,235,594,203,222,125,120,80,84,52,1621,248,0,12,23,35,1153,202,246,99,86,78,55,54,58,42,421,192,0,12,0,12,253,159,105,102,13,22,50,62,0,12,612,204,22,27,19,31,288,141,151,98,106,93,15,24,11,19,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,113,75,0,12,0,12,68,63,45,43,0,12,0,12,0,12,183,110,0,12,0,12,104,84,47,70,17,29,0,12,15,24
2.2,High Point,2805,290,44,49,316,195,1824,278,396,113,148,71,39,39,38,33,1710,301,15,26,147,101,1152,294,244,94,104,61,26,34,22,23,350,152,0,17,35,35,246,144,25,31,44,45,0,17,0,17,451,173,29,45,117,103,229,113,60,50,0,17,0,17,16,26,89,68,0,17,17,26,65,61,7,19,0,17,0,17,0,17,49,41,0,17,0,17,42,36,7,17,0,17,0,17,0,17,156,83,0,17,0,17,90,63,53,47,0,17,13,23,0,17
2.3,Riverview,2666,229,121,98,97,52,1371,183,647,142,208,72,158,73,64,45,1616,177,54,48,87,49,708,144,439,113,189,64,117,68,22,20,558,148,47,53,10,16,391,132,84,56,0,12,26,26,0,12,304,107,20,22,0,12,152,75,103,65,10,16,0,12,19,28,12,17,0,12,0,12,12,17,0,12,0,12,0,12,0,12,79,64,0,12,0,12,63,59,0,12,0,12,0,12,16,24,97,45,0,12,0,12,45,35,21,23,9,16,15,17,7,11
2.4,Roxhill/Westwood,6860,452,128,65,488,199,3775,361,1507,236,498,171,278,111,186,86,4305,363,100,54,204,104,2427,279,1049,207,223,92,197,104,105,57,835,257,0,21,96,97,578,202,116,83,30,30,15,28,0,21,1125,283,28,38,188,141,510,156,160,78,171,129,8,23,60,59,220,118,0,21,0,21,127,97,33,53,26,43,34,41,0,21,145,68,0,21,0,21,54,46,67,43,24,33,0,21,0,21,230,90,0,21,0,21,79,49,82,62,24,31,24,31,21,30
2.5,Highland Park,2999,316,107,80,212,94,1573,260,540,145,270,122,143,102,154,63,1988,271,44,37,152,98,1036,200,330,120,217,102,96,88,113,60,274,139,9,20,35,34,176,125,21,25,0,21,13,23,20,22,493,211,54,79,25,41,214,94,134,93,40,48,13,26,13,25,64,102,0,21,0,21,64,102,0,21,0,21,0,21,0,21,53,61,0,21,0,21,53,61,0,21,0,21,0,21,0,21,127,67,0,21,0,21,30,35,55,46,13,23,21,30,8,21
3.1,South Park,2078,433,56,45,146,103,1308,391,328,104,116,61,91,49,33,32,1203,288,18,31,73,60,797,273,160,75,81,52,59,43,15,27,232,135,0,17,45,48,141,93,30,32,8,18,8,18,0,17,452,163,38,42,28,45,257,106,93,75,11,17,7,17,18,23,49,58,0,17,0,17,32,52,0,17,0,17,17,27,0,17,62,49,0,17,0,17,40,38,22,30,0,17,0,17,0,17,80,56,0,17,0,17,41,43,23,35,16,28,0,17,0,17
