area_id,area_name,b17001d001,b17001d001_moe,b17001d002,b17001d002_moe,b17001d003,b17001d003_moe,b17001d004,b17001d004_moe,b17001d005,b17001d005_moe,b17001d006,b17001d006_moe,b17001d007,b17001d007_moe,b17001d008,b17001d008_moe,b17001d009,b17001d009_moe,b17001d010,b17001d010_moe,b17001d011,b17001d011_moe,b17001d012,b17001d012_moe,b17001d013,b17001d013_moe,b17001d014,b17001d014_moe,b17001d015,b17001d015_moe,b17001d016,b17001d016_moe,b17001d017,b17001d017_moe,b17001d018,b17001d018_moe,b17001d019,b17001d019_moe,b17001d020,b17001d020_moe,b17001d021,b17001d021_moe,b17001d022,b17001d022_moe,b17001d023,b17001d023_moe,b17001d024,b17001d024_moe,b17001d025,b17001d025_moe,b17001d026,b17001d026_moe,b17001d027,b17001d027_moe,b17001d028,b17001d028_moe,b17001d029,b17001d029_moe,b17001d030,b17001d030_moe,b17001d031,b17001d031_moe,b17001d032,b17001d032_moe,b17001d033,b17001d033_moe,b17001d034,b17001d034_moe,b17001d035,b17001d035_moe,b17001d036,b17001d036_moe,b17001d037,b17001d037_moe,b17001d038,b17001d038_moe,b17001d039,b17001d039_moe,b17001d040,b17001d040_moe,b17001d041,b17001d041_moe,b17001d042,b17001d042_moe,b17001d043,b17001d043_moe,b17001d044,b17001d044_moe,b17001d045,b17001d045_moe,b17001d046,b17001d046_moe,b17001d047,b17001d047_moe,b17001d048,b17001d048_moe,b17001d049,b17001d049_moe,b17001d050,b17001d050_moe,b17001d051,b17001d051_moe,b17001d052,b17001d052_moe,b17001d053,b17001d053_moe,b17001d054,b17001d054_moe,b17001d055,b17001d055_moe,b17001d056,b17001d056_moe,b17001d057,b17001d057_moe,b17001d058,b17001d058_moe,b17001d059,b17001d059_moe
1,Rogers Park,3655,938,911,576,371,231,9,49,0,48,0,48,0,48,63,109,0,48,85,78,24,55,74,104,38,63,47,67,31,61,0,48,540,368,0,48,0,48,0,48,0,48,0,48,0,48,162,125,11,47,113,137,80,135,58,67,65,72,51,79,2744,741,1337,422,82,78,0,48,111,149,29,66,0,48,40,72,75,75,234,135,308,134,213,151,109,76,26,48,110,87,1407,381,134,108,11,48,0,48,0,48,0,48,0,48,132,94,368,141,215,130,233,174,148,98,110,80,56,68
2,West Ridge,17104,2020,2761,900,1512,587,32,71,48,74,251,185,17,55,0,51,75,85,220,163,266,281,179,112,263,137,87,84,21,57,53,69,1249,424,150,139,0,51,214,127,25,62,55,75,2,51,106,82,124,99,191,114,245,167,61,64,29,56,47,66,14343,1843,7127,1051,417,191,141,125,415,247,239,124,54,67,193,131,1007,455,983,284,953,276,1036,265,1001,245,478,177,210,101,7216,982,609,312,5,51,483,182,203,102,68,66,243,102,439,171,1212,319,1031,255,1237,284,851,202,551,213,284,120
3,Uptown,6371,761,1691,427,623,219,0,48,30,56,60,71,0,48,0,48,0,48,79,64,88,95,4,47,94,72,100,81,99,100,69,72,1068,294,129,101,0,48,69,76,0,48,0,48,42,66,120,78,64,73,72,74,101,75,30,50,250,152,191,110,4680,722,2392,504,148,119,0,48,94,91,31,53,0,48,0,48,214,125,640,233,581,315,283,155,211,112,79,75,111,89,2288,399,13,50,0,48,33,60,49,60,0,48,0,48,137,99,572,207,595,176,213,147,253,117,238,133,185,110
4,Lincoln Square,4023,721,532,298,223,150,38,64,0,40,35,69,9,41,0,40,0,40,0,40,26,56,49,61,0,40,66,66,0,40,0,40,309,180,18,46,0,40,69,84,17,45,0,40,13,44,27,57,32,61,26,46,13,44,46,52,48,59,0,40,3491,646,1733,391,120,85,22,55,35,52,44,68,0,40,0,40,164,117,410,143,326,128,249,125,163,80,177,107,23,46,1758,355,135,93,0,40,8,40,88,73,0,40,51,55,79,78,504,165,323,124,99,76,261,99,143,75,67,49
5,North Center,1400,341,65,75,8,43,8,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,57,75,0,43,0,43,0,43,0,43,0,43,0,43,6,43,0,43,0,43,0,43,38,73,13,46,0,43,1335,334,697,218,18,46,0,43,51,64,0,43,0,43,0,43,77,96,158,90,193,100,58,70,28,47,104,68,10,43,638,177,10,45,0,43,10,44,0,43,0,43,0,43,49,48,123,71,149,83,71,79,94,60,107,73,25,49
6,Lake View,6690,799,1177,360,446,167,0,66,0,66,5,66,0,66,0,66,43,94,144,95,133,109,55,94,6,66,8,67,40,71,12,68,731,292,0,66,0,66,61,116,0,66,0,66,0,66,150,111,198,141,104,131,40,75,55,86,78,100,45,71,5513,719,2438,383,171,120,18,70,53,77,0,66,0,66,0,66,82,92,1135,243,425,138,251,132,151,112,135,95,17,71,3075,506,318,181,16,70,75,80,44,74,0,66,0,66,221,138,1216,283,419,138,172,92,319,141,150,110,125,101
7,Lincoln Park,3456,530,566,198,349,162,0,51,0,51,0,51,0,51,0,51,0,51,211,134,68,66,0,51,0,51,48,90,14,54,8,51,217,119,0,51,0,51,0,51,0,51,0,51,0,51,86,67,81,105,16,53,0,51,34,57,0,51,0,51,2890,491,1438,330,94,81,45,88,149,108,0,51,0,51,10,52,187,104,480,172,338,111,5,51,61,67,52,63,17,57,1452,281,57,61,40,61,57,64,25,55,9,52,20,55,209,109,410,136,389,131,104,96,114,78,0,51,18,53
8,Near North Side,8614,957,1123,372,301,180,37,81,0,54,0,54,0,54,0,54,0,54,28,59,125,113,76,91,0,54,35,73,0,54,0,54,822,288,0,54,0,54,0,54,37,80,0,54,0,54,145,129,444,198,37,80,112,158,33,74,1,52,13,58,7491,892,3572,549,170,146,14,59,70,76,38,64,8,56,0,54,96,92,2101,442,564,178,201,111,153,121,129,106,28,62,3919,528,210,147,0,54,28,60,22,63,0,54,11,56,128,105,1966,375,754,210,298,126,279,156,109,81,114,116
9,Edison Park,242,176,1,19,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,1,19,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,1,19,0,25,0,25,0,25,0,25,241,176,88,85,0,25,0,25,23,40,0,25,0,25,0,25,0,25,29,39,22,39,0,25,14,29,0,25,0,25,153,132,0,25,0,25,40,62,41,62,0,25,0,25,9,27,0,25,22,40,0,25,31,33,10,27,0,25
10,Norwood Park,1747,540,27,54,27,54,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,27,54,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,1720,539,752,312,62,87,7,39,82,81,4,39,0,39,0,39,37,46,153,182,122,102,140,97,91,56,54,52,0,39,968,290,87,88,36,60,68,62,0,39,0,39,0,39,55,56,158,127,172,110,105,80,109,62,50,54,128,85
