Sex by Work Experience by Earnings (Two or More Races)
------------------------------------------------------
Universe: Two or More Races Population 16 Years and Over

B20005G001 Total:
B20005G002  Male:
B20005G003   Worked full-time, year-round in the past 12 months:
B20005G004    No earnings
B20005G005    With earnings:
B20005G006     $1 to $2,499 or loss
B20005G007     $2,500 to $4,999
B20005G008     $5,000 to $7,499
B20005G009     $7,500 to $9,999
B20005G010     $10,000 to $12,499
B20005G011     $12,500 to $14,999
B20005G012     $15,000 to $17,499
B20005G013     $17,500 to $19,999
B20005G014     $20,000 to $22,499
B20005G015     $22,500 to $24,999
B20005G016     $25,000 to $29,999
B20005G017     $30,000 to $34,999
B20005G018     $35,000 to $39,999
B20005G019     $40,000 to $44,999
B20005G020     $45,000 to $49,999
B20005G021     $50,000 to $54,999
B20005G022     $55,000 to $64,999
B20005G023     $65,000 to $74,999
B20005G024     $75,000 to $99,999
B20005G025     $100,000 or more
B20005G026   Other:
B20005G027    No earnings
B20005G028    With earnings:
B20005G029     $1 to $2,499 or loss
B20005G030     $2,500 to $4,999
B20005G031     $5,000 to $7,499
B20005G032     $7,500 to $9,999
B20005G033     $10,000 to $12,499
B20005G034     $12,500 to $14,999
B20005G035     $15,000 to $17,499
B20005G036     $17,500 to $19,999
B20005G037     $20,000 to $22,499
B20005G038     $22,500 to $24,999
B20005G039     $25,000 to $29,999
B20005G040     $30,000 to $34,999
B20005G041     $35,000 to $39,999
B20005G042     $40,000 to $44,999
B20005G043     $45,000 to $49,999
B20005G044     $50,000 to $54,999
B20005G045     $55,000 to $64,999
B20005G046     $65,000 to $74,999
B20005G047     $75,000 to $99,999
B20005G048     $100,000 or more
B20005G049  Female:
B20005G050   Worked full-time, year-round in the past 12 months:
B20005G051    No earnings
B20005G052    With earnings:
B20005G053     $1 to $2,499 or loss
B20005G054     $2,500 to $4,999
B20005G055     $5,000 to $7,499
B20005G056     $7,500 to $9,999
B20005G057     $10,000 to $12,499
B20005G058     $12,500 to $14,999
B20005G059     $15,000 to $17,499
B20005G060     $17,500 to $19,999
B20005G061     $20,000 to $22,499
B20005G062     $22,500 to $24,999
B20005G063     $25,000 to $29,999
B20005G064     $30,000 to $34,999
B20005G065     $35,000 to $39,999
B20005G066     $40,000 to $44,999
B20005G067     $45,000 to $49,999
B20005G068     $50,000 to $54,999
B20005G069     $55,000 to $64,999
B20005G070     $65,000 to $74,999
B20005G071     $75,000 to $99,999
B20005G072     $100,000 or more
B20005G073   Other:
B20005G074    No earnings
B20005G075    With earnings:
B20005G076     $1 to $2,499 or loss
B20005G077     $2,500 to $4,999
B20005G078     $5,000 to $7,499
B20005G079     $7,500 to $9,999
B20005G080     $10,000 to $12,499
B20005G081     $12,500 to $14,999
B20005G082     $15,000 to $17,499
B20005G083     $17,500 to $19,999
B20005G084     $20,000 to $22,499
B20005G085     $22,500 to $24,999
B20005G086     $25,000 to $29,999
B20005G087     $30,000 to $34,999
B20005G088     $35,000 to $39,999
B20005G089     $40,000 to $44,999
B20005G090     $45,000 to $49,999
B20005G091     $50,000 to $54,999
B20005G092     $55,000 to $64,999
B20005G093     $65,000 to $74,999
B20005G094     $75,000 to $99,999
B20005G095     $100,000 or more
