area_id,area_name,b13002d001,b13002d001_moe,b13002d002,b13002d002_moe,b13002d003,b13002d003_moe,b13002d004,b13002d004_moe,b13002d005,b13002d005_moe,b13002d006,b13002d006_moe,b13002d007,b13002d007_moe
1,Rogers Park,1252,358,88,84,88,84,0,48,1164,348,356,190,808,229
2,West Ridge,4494,640,230,133,215,131,15,55,4264,629,2220,388,2044,427
3,Uptown,1873,364,66,68,66,68,0,48,1807,359,723,191,1084,318
4,Lincoln Square,1142,267,57,59,57,59,0,40,1085,267,472,153,613,190
5,North Center,381,129,26,46,26,46,0,43,355,127,166,86,189,96
6,Lake View,2421,398,105,79,105,79,0,66,2316,393,1109,266,1207,289
7,Lincoln Park,1418,258,0,51,0,51,0,51,1418,258,408,124,1010,237
8,Near North Side,3846,535,236,159,225,159,11,55,3610,518,1239,278,2371,455
9,Edison Park,32,41,0,25,0,25,0,25,32,41,22,40,10,22
10,Norwood Park,440,175,0,39,0,39,0,39,440,175,273,154,167,81
11,Jefferson Park,806,308,0,29,0,29,0,29,806,308,476,193,330,167
12,Forest Glen,532,147,34,48,10,32,24,46,498,148,310,116,188,104
13,North Park,1418,259,171,94,155,93,16,35,1247,261,624,153,623,184
14,Albany Park,1652,323,156,126,156,126,0,45,1496,304,706,188,790,244
15,Portage Park,793,250,77,76,44,55,33,68,716,242,401,181,315,150
16,Irving Park,1339,298,52,59,30,50,22,57,1287,291,527,172,760,228
17,Dunning,504,163,32,58,32,58,0,40,472,146,282,113,190,89
18,Montclare,179,135,46,45,32,39,14,27,133,129,87,75,46,75
19,Belmont Cragin,354,171,0,52,0,52,0,52,354,171,241,121,113,92
20,Hermosa,30,43,0,29,0,29,0,29,30,43,0,29,30,43
21,Avondale,440,164,12,40,0,38,12,40,428,162,255,122,173,110
22,Logan Square,884,194,20,59,20,59,0,57,864,193,314,106,550,167
23,Humboldt Park,60,70,0,51,0,51,0,51,60,70,3,50,57,71
24,West Town,1429,235,88,77,88,77,0,62,1341,228,601,147,740,178
25,Austin,53,71,0,61,0,61,0,61,53,71,18,64,35,67
26,West Garfield Park,0,35,0,35,0,35,0,35,0,35,0,35,0,35
27,East Garfield Park,49,44,0,38,0,38,0,38,49,44,14,38,35,43
28,Near West Side,3140,425,219,112,219,112,0,52,2921,430,1038,216,1883,368
29,North Lawndale,24,54,0,43,0,43,0,43,24,54,15,45,9,45
30,South Lawndale,24,49,0,48,0,48,0,48,24,49,0,48,24,49
31,Lower West Side,161,109,0,42,0,42,0,42,161,109,6,41,155,109
32,Loop,2200,477,67,61,67,61,0,30,2133,471,733,231,1400,421
33,Near South Side,1234,345,140,119,137,119,3,22,1094,297,384,147,710,237
34,Armour Square,2025,286,96,71,96,71,0,27,1929,284,1127,232,802,207
35,Douglas,870,264,70,64,70,64,0,35,800,257,171,83,629,244
36,Oakland,3,16,0,19,0,19,0,19,3,16,3,16,0,19
37,Fuller Park,0,16,0,16,0,16,0,16,0,16,0,16,0,16
38,Grand Boulevard,8,43,0,43,0,43,0,43,8,43,0,43,8,43
39,Kenwood,427,183,15,33,5,31,10,33,412,182,111,65,301,171
40,Washington Park,0,27,0,27,0,27,0,27,0,27,0,27,0,27
41,Hyde Park,1173,226,27,42,27,42,0,38,1146,225,354,101,792,198
42,Woodlawn,299,104,0,36,0,36,0,36,299,104,54,46,245,101
43,South Shore,39,56,0,44,0,44,0,44,39,56,0,44,39,56
44,Chatham,11,38,0,37,0,37,0,37,11,38,11,38,0,37
45,Avalon Park,21,37,0,19,0,19,0,19,21,37,21,37,0,19
46,South Chicago,0,37,0,37,0,37,0,37,0,37,0,37,0,37
47,Burnside,0,11,0,11,0,11,0,11,0,11,0,11,0,11
48,Calumet Heights,0,27,0,27,0,27,0,27,0,27,0,27,0,27
49,Roseland,39,50,0,41,0,41,0,41,39,50,17,47,22,45
50,Pullman,12,28,0,19,0,19,0,19,12,28,6,20,6,19
51,South Deering,39,56,0,25,0,25,0,25,39,56,0,25,39,56
52,East Side,37,38,0,29,0,29,0,29,37,38,29,40,8,27
53,West Pullman,0,39,0,39,0,39,0,39,0,39,0,39,0,39
54,Riverdale,0,16,0,16,0,16,0,16,0,16,0,16,0,16
55,Hegewisch,17,30,0,19,0,19,0,19,17,30,17,30,0,19
56,Garfield Ridge,240,147,0,42,0,42,0,42,240,147,107,66,133,108
57,Archer Heights,56,48,0,27,0,27,0,27,56,48,50,48,6,27
58,Brighton Park,732,164,26,45,26,45,0,43,706,165,451,117,255,98
59,McKinley Park,758,154,39,37,39,37,0,25,719,153,427,97,292,107
60,Bridgeport,3271,413,104,62,99,62,5,36,3167,411,1466,224,1701,318
61,New City,159,70,4,46,4,46,0,47,155,71,117,54,38,57
62,West Elsdon,73,55,0,27,0,27,0,27,73,55,41,35,32,39
63,Gage Park,116,85,8,40,8,40,0,41,108,86,77,62,31,51
64,Clearing,134,184,13,36,13,36,0,31,121,183,27,52,94,142
65,West Lawn,9,35,0,34,0,34,0,34,9,35,9,35,0,34
66,Chicago Lawn,97,101,0,49,0,49,0,49,97,101,24,62,73,94
67,West Englewood,26,61,0,48,0,48,0,48,26,61,0,48,26,61
68,Englewood,3,36,0,36,0,36,0,36,3,36,2,35,1,35
69,Greater Grand Crossing,0,38,0,38,0,38,0,38,0,38,0,38,0,38
70,Ashburn,54,52,20,44,20,44,0,41,34,46,10,40,24,46
