area_id,area_name,b11002g001,b11002g001_moe,b11002g002,b11002g002_moe,b11002g003,b11002g003_moe,b11002g004,b11002g004_moe,b11002g005,b11002g005_moe,b11002g006,b11002g006_moe,b11002g007,b11002g007_moe,b11002g008,b11002g008_moe,b11002g009,b11002g009_moe,b11002g010,b11002g010_moe,b11002g011,b11002g011_moe,b11002g012,b11002g012_moe
1,Rogers Park,1174,430,707,393,450,313,450,313,0,48,77,126,48,86,29,63,180,211,180,211,0,48,467,178
2,West Ridge,1162,493,961,479,420,263,420,263,0,51,157,261,118,199,39,81,384,312,364,306,20,56,201,122
3,Uptown,1418,526,787,435,158,160,158,160,0,48,87,146,87,146,0,48,542,382,523,374,19,54,631,301
4,Lincoln Square,566,233,352,205,207,159,207,159,0,40,48,85,48,85,0,40,97,96,97,96,0,40,214,118
5,North Center,356,147,157,113,137,108,129,100,8,44,0,43,0,43,0,43,20,52,20,52,0,43,199,103
6,Lake View,1217,308,468,228,434,221,434,221,0,66,34,87,34,87,0,66,0,66,0,66,0,66,749,222
7,Lincoln Park,797,287,320,216,307,210,307,210,0,51,0,51,0,51,0,51,13,70,10,63,3,51,477,192
8,Near North Side,860,304,277,182,203,158,203,158,0,54,0,54,0,54,0,54,74,105,43,71,31,72,583,251
9,Edison Park,116,110,79,101,79,101,79,101,0,25,0,25,0,25,0,25,0,25,0,25,0,25,37,43
10,Norwood Park,523,388,369,303,325,301,325,301,0,39,0,39,0,39,0,39,44,63,44,63,0,39,154,249
11,Jefferson Park,521,265,503,263,503,263,503,263,0,29,0,29,0,29,0,29,0,29,0,29,0,29,18,33
12,Forest Glen,179,188,159,187,65,107,65,107,0,29,0,29,0,29,0,29,94,156,94,156,0,29,20,37
13,North Park,437,305,355,296,74,107,74,107,0,27,231,268,170,186,61,100,50,64,50,64,0,27,82,62
14,Albany Park,1325,472,1175,460,777,413,777,413,0,45,130,111,122,108,8,44,268,225,253,210,15,48,150,98
15,Portage Park,820,316,773,314,475,263,440,240,35,69,53,76,53,76,0,47,245,208,229,202,16,47,47,53
16,Irving Park,780,304,636,286,326,208,326,208,0,47,65,112,34,70,31,67,245,176,234,171,11,45,144,103
17,Dunning,359,214,345,213,297,202,297,202,0,40,0,40,0,40,0,40,48,81,48,81,0,40,14,45
18,Montclare,29,47,29,47,29,47,29,47,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23
19,Belmont Cragin,1663,654,1605,651,1397,671,1351,653,46,64,69,103,64,97,5,52,139,202,135,201,4,52,58,70
20,Hermosa,330,183,260,175,152,133,152,133,0,29,33,58,33,58,0,29,75,106,64,91,11,32,70,55
21,Avondale,760,307,560,257,419,204,419,204,0,38,0,38,0,38,0,38,141,161,133,159,8,39,200,157
22,Logan Square,903,264,520,216,330,183,330,183,0,57,37,68,37,68,0,57,153,124,153,124,0,57,383,162
23,Humboldt Park,958,479,821,473,578,415,578,415,0,51,79,139,55,101,24,64,164,190,164,190,0,51,137,87
24,West Town,1107,329,558,275,401,248,401,248,0,62,87,123,56,91,31,71,70,85,63,79,7,62,549,184
25,Austin,276,153,226,144,143,107,143,107,0,61,0,61,0,61,0,61,83,115,83,115,0,61,50,79
