area_id,area_name,b19037c001,b19037c001_moe,b19037c002,b19037c002_moe,b19037c003,b19037c003_moe,b19037c004,b19037c004_moe,b19037c005,b19037c005_moe,b19037c006,b19037c006_moe,b19037c007,b19037c007_moe,b19037c008,b19037c008_moe,b19037c009,b19037c009_moe,b19037c010,b19037c010_moe,b19037c011,b19037c011_moe,b19037c012,b19037c012_moe,b19037c013,b19037c013_moe,b19037c014,b19037c014_moe,b19037c015,b19037c015_moe,b19037c016,b19037c016_moe,b19037c017,b19037c017_moe,b19037c018,b19037c018_moe,b19037c019,b19037c019_moe,b19037c020,b19037c020_moe,b19037c021,b19037c021_moe,b19037c022,b19037c022_moe,b19037c023,b19037c023_moe,b19037c024,b19037c024_moe,b19037c025,b19037c025_moe,b19037c026,b19037c026_moe,b19037c027,b19037c027_moe,b19037c028,b19037c028_moe,b19037c029,b19037c029_moe,b19037c030,b19037c030_moe,b19037c031,b19037c031_moe,b19037c032,b19037c032_moe,b19037c033,b19037c033_moe,b19037c034,b19037c034_moe,b19037c035,b19037c035_moe,b19037c036,b19037c036_moe,b19037c037,b19037c037_moe,b19037c038,b19037c038_moe,b19037c039,b19037c039_moe,b19037c040,b19037c040_moe,b19037c041,b19037c041_moe,b19037c042,b19037c042_moe,b19037c043,b19037c043_moe,b19037c044,b19037c044_moe,b19037c045,b19037c045_moe,b19037c046,b19037c046_moe,b19037c047,b19037c047_moe,b19037c048,b19037c048_moe,b19037c049,b19037c049_moe,b19037c050,b19037c050_moe,b19037c051,b19037c051_moe,b19037c052,b19037c052_moe,b19037c053,b19037c053_moe,b19037c054,b19037c054_moe,b19037c055,b19037c055_moe,b19037c056,b19037c056_moe,b19037c057,b19037c057_moe,b19037c058,b19037c058_moe,b19037c059,b19037c059_moe,b19037c060,b19037c060_moe,b19037c061,b19037c061_moe,b19037c062,b19037c062_moe,b19037c063,b19037c063_moe,b19037c064,b19037c064_moe,b19037c065,b19037c065_moe,b19037c066,b19037c066_moe,b19037c067,b19037c067_moe,b19037c068,b19037c068_moe,b19037c069,b19037c069_moe
1,Rogers Park,21,50,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,9,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,9,48,0,48,0,48,0,48,0,48,0,48,0,48,12,49,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,12,49,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48
2,West Ridge,127,100,39,77,0,51,0,51,0,51,0,51,0,51,0,51,39,77,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,16,54,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,7,52,0,51,0,51,0,51,9,53,0,51,50,71,14,56,0,51,0,51,0,51,0,51,0,51,0,51,0,51,26,66,0,51,0,51,10,53,0,51,0,51,0,51,0,51,22,62,0,51,0,51,0,51,0,51,0,51,0,51,22,62,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51
3,Uptown,139,85,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,84,78,41,64,0,48,19,55,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,24,59,0,48,36,52,10,48,0,48,0,48,13,49,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,13,49,0,48,0,48,19,53,19,53,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48
4,Lincoln Square,98,81,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,50,68,0,40,0,40,0,40,13,43,0,40,0,40,3,41,0,40,0,40,0,40,34,65,0,40,0,40,0,40,0,40,0,40,35,58,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,31,58,0,40,0,40,4,39,0,40,0,40,0,40,13,43,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,13,43,0,40,0,40,0,40,0,40
5,North Center,54,68,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,54,68,16,48,30,63,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,8,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43
6,Lake View,148,154,12,67,12,67,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,30,68,14,68,7,66,0,66,0,66,0,66,0,66,9,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,91,151,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,91,151,0,66,0,66,0,66,0,66,0,66,15,69,0,66,0,66,15,69,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66
7,Lincoln Park,56,74,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,56,74,0,51,0,51,0,51,0,51,0,51,0,51,0,51,26,59,0,51,30,67,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51
8,Near North Side,76,88,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,15,58,15,58,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,61,86,20,62,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,41,81,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54
9,Edison Park,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25
10,Norwood Park,15,47,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,15,47,0,39,0,39,0,39,0,39,0,39,0,39,15,47,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39
