area_id,area_name,c21001g001,c21001g001_moe,c21001g002,c21001g002_moe,c21001g003,c21001g003_moe,c21001g004,c21001g004_moe,c21001g005,c21001g005_moe,c21001g006,c21001g006_moe,c21001g007,c21001g007_moe,c21001g008,c21001g008_moe,c21001g009,c21001g009_moe,c21001g010,c21001g010_moe,c21001g011,c21001g011_moe,c21001g012,c21001g012_moe,c21001g013,c21001g013_moe,c21001g014,c21001g014_moe,c21001g015,c21001g015_moe
1,Rogers Park,1167,271,563,165,531,163,45,59,486,157,32,59,10,49,22,58,604,194,580,190,0,48,580,190,24,53,0,48,24,53
2,West Ridge,834,269,369,143,276,132,2,49,274,132,93,70,48,55,45,66,465,196,403,179,21,59,382,176,62,77,0,51,62,77
3,Uptown,1157,308,441,186,398,182,8,50,390,181,43,57,18,55,25,51,716,230,666,226,12,48,654,225,50,57,0,48,50,57
4,Lincoln Square,690,230,252,124,199,108,0,40,199,108,53,61,0,40,53,61,438,162,402,153,0,40,402,153,36,64,0,40,36,64
5,North Center,461,127,264,98,224,93,0,43,224,93,40,49,17,44,23,48,197,84,175,81,0,43,175,81,22,43,0,43,22,43
6,Lake View,1146,250,592,189,592,189,19,68,573,187,0,66,0,66,0,66,554,155,537,152,0,66,537,152,17,71,0,66,17,71
7,Lincoln Park,702,198,421,167,392,159,26,52,366,157,29,71,29,71,0,51,281,110,266,109,0,51,266,109,15,50,0,51,15,50
8,Near North Side,1015,297,442,195,398,190,0,54,398,190,44,65,16,59,28,61,573,212,538,211,0,54,538,211,35,62,0,54,35,62
9,Edison Park,118,90,90,82,66,79,4,24,62,79,24,34,12,30,12,28,28,37,28,37,0,25,28,37,0,25,0,25,0,25
10,Norwood Park,345,159,204,131,194,130,0,39,194,130,10,40,0,39,10,40,141,105,141,105,0,39,141,105,0,39,0,39,0,39
11,Jefferson Park,353,138,177,99,171,98,0,29,171,98,6,29,0,29,6,29,176,83,176,83,0,29,176,83,0,29,0,29,0,29
12,Forest Glen,144,73,33,41,33,41,0,29,33,41,0,29,0,29,0,29,111,69,111,69,0,29,111,69,0,29,0,29,0,29
13,North Park,394,191,221,162,214,162,40,64,174,154,7,27,0,27,7,27,173,84,163,85,0,27,163,85,10,23,0,27,10,23
14,Albany Park,1049,282,507,160,475,159,28,51,447,152,32,47,6,46,26,47,542,160,494,154,0,45,494,154,48,54,0,45,48,54
15,Portage Park,1098,308,545,187,541,187,14,45,527,186,4,46,0,47,4,46,553,174,535,174,0,47,535,174,18,47,0,47,18,47
16,Irving Park,707,196,353,142,330,140,102,96,228,111,23,51,13,50,10,48,354,119,338,111,0,47,338,111,16,51,0,47,16,51
17,Dunning,354,171,183,98,183,98,0,40,183,98,0,40,0,40,0,40,171,87,163,87,0,40,163,87,8,39,0,40,8,39
18,Montclare,71,57,12,19,12,19,0,23,12,19,0,23,0,23,0,23,59,53,59,53,0,23,59,53,0,23,0,23,0,23
19,Belmont Cragin,1016,370,506,213,470,204,10,52,460,200,36,62,0,52,36,62,510,193,463,183,0,52,463,183,47,65,0,52,47,65
20,Hermosa,365,147,178,93,161,96,14,35,147,86,17,30,7,27,10,32,187,107,176,104,0,29,176,104,11,33,0,29,11,33
21,Avondale,599,227,324,175,306,174,9,40,297,173,18,39,7,37,11,40,275,113,268,111,0,38,268,111,7,37,0,38,7,37
22,Logan Square,886,217,340,117,335,115,67,77,268,102,5,57,0,57,5,57,546,166,524,161,0,57,524,161,22,60,0,57,22,60
23,Humboldt Park,643,215,309,132,263,123,56,69,207,111,46,69,0,51,46,69,334,138,307,135,0,51,307,135,27,56,0,51,27,56
24,West Town,1173,254,618,180,568,170,32,80,536,162,50,68,6,62,44,68,555,157,484,146,0,62,484,146,71,70,0,62,71,70
25,Austin,361,145,147,96,111,96,10,62,101,95,36,62,27,62,9,62,214,103,168,102,0,61,168,102,46,63,0,61,46,63
26,West Garfield Park,57,64,39,50,39,50,19,45,20,42,0,35,0,35,0,35,18,38,5,34,0,35,5,34,13,39,0,35,13,39
27,East Garfield Park,70,47,36,44,26,42,0,38,26,42,10,39,0,38,10,39,34,42,24,40,0,38,24,40,10,40,0,38,10,40
28,Near West Side,933,222,424,144,424,144,66,71,358,134,0,52,0,52,0,52,509,158,504,157,0,52,504,157,5,51,0,52,5,51
29,North Lawndale,147,92,30,49,30,49,11,45,19,47,0,43,0,43,0,43,117,73,103,69,0,43,103,69,14,47,0,43,14,47
30,South Lawndale,311,143,187,103,147,88,38,64,109,77,40,55,17,53,23,50,124,77,85,59,0,48,85,59,39,58,0,48,39,58
31,Lower West Side,653,228,214,96,214,96,18,49,196,90,0,42,0,42,0,42,439,198,425,195,0,42,425,195,14,44,0,42,14,44
32,Loop,435,160,207,119,207,119,14,38,193,116,0,30,0,30,0,30,228,103,228,103,0,30,228,103,0,30,0,30,0,30
33,Near South Side,319,220,130,171,13,25,0,24,13,25,117,170,11,27,106,170,189,124,170,123,0,24,170,123,19,27,0,24,19,27
34,Armour Square,284,202,151,106,145,105,0,27,145,105,6,26,6,26,0,27,133,111,100,104,0,27,100,104,33,39,0,27,33,39
35,Douglas,160,78,81,57,49,42,0,35,49,42,32,48,22,47,10,37,79,52,70,50,0,35,70,50,9,38,0,35,9,38
36,Oakland,3,16,3,16,3,16,0,19,3,16,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19
37,Fuller Park,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16
38,Grand Boulevard,221,98,91,61,68,52,10,43,58,50,23,53,23,53,0,43,130,82,103,72,11,46,92,64,27,45,0,43,27,45
39,Kenwood,193,100,88,66,74,61,0,31,74,61,14,35,14,35,0,31,105,80,38,34,0,31,38,34,67,70,0,31,67,70
40,Washington Park,60,52,11,31,11,31,0,27,11,31,0,27,0,27,0,27,49,50,49,50,0,27,49,50,0,27,0,27,0,27
41,Hyde Park,563,164,343,135,341,135,0,38,341,135,2,37,2,37,0,38,220,83,179,76,0,38,179,76,41,48,0,38,41,48
42,Woodlawn,240,96,138,80,131,80,15,37,116,77,7,36,0,36,7,36,102,58,89,55,0,36,89,55,13,38,0,36,13,38
43,South Shore,680,265,277,138,211,127,34,61,177,120,66,68,20,54,46,58,403,173,349,164,0,44,349,164,54,57,0,44,54,57
44,Chatham,298,151,50,51,50,51,15,37,35,50,0,37,0,37,0,37,248,131,236,130,0,37,236,130,12,40,0,37,12,40
45,Avalon Park,69,52,0,19,0,19,0,19,0,19,0,19,0,19,0,19,69,52,44,39,0,19,44,39,25,28,0,19,25,28
46,South Chicago,268,159,73,69,49,64,0,37,49,64,24,44,7,37,17,44,195,132,189,131,0,37,189,131,6,36,0,37,6,36
47,Burnside,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
48,Calumet Heights,55,52,29,37,29,37,0,27,29,37,0,27,0,27,0,27,26,34,26,34,0,27,26,34,0,27,0,27,0,27
49,Roseland,335,179,130,61,124,62,3,40,121,61,6,41,0,41,6,41,205,172,140,132,15,46,125,129,65,65,0,41,65,65
50,Pullman,14,29,8,20,0,19,0,19,0,19,8,20,0,19,8,20,6,19,0,19,0,19,0,19,6,19,0,19,6,19
51,South Deering,138,91,31,35,21,30,0,25,21,30,10,28,0,25,10,28,107,73,73,68,0,25,73,68,34,38,0,25,34,38
52,East Side,319,137,123,74,123,74,0,29,123,74,0,29,0,29,0,29,196,93,188,89,0,29,188,89,8,28,0,29,8,28
53,West Pullman,122,110,86,105,71,103,71,103,0,39,15,44,15,44,0,39,36,41,28,38,0,39,28,38,8,38,0,39,8,38
54,Riverdale,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16
55,Hegewisch,102,78,77,62,77,62,18,30,59,56,0,19,0,19,0,19,25,27,25,27,0,19,25,27,0,19,0,19,0,19
56,Garfield Ridge,540,186,218,119,201,115,0,42,201,115,17,46,0,42,17,46,322,139,299,134,0,42,299,134,23,45,0,42,23,45
57,Archer Heights,55,43,27,31,24,31,0,27,24,31,3,25,0,27,3,25,28,28,28,28,0,27,28,28,0,27,0,27,0,27
58,Brighton Park,211,148,128,98,119,98,0,43,119,98,9,44,0,43,9,44,83,74,74,73,0,43,74,73,9,44,0,43,9,44
59,McKinley Park,194,161,95,92,95,92,0,25,95,92,0,25,0,25,0,25,99,89,99,89,0,25,99,89,0,25,0,25,0,25
60,Bridgeport,339,139,150,101,138,97,0,37,138,97,12,38,0,37,12,38,189,90,164,87,0,37,164,87,25,39,0,37,25,39
61,New City,297,160,99,76,99,76,42,63,57,62,0,47,0,47,0,47,198,135,177,133,0,47,177,133,21,52,0,47,21,52
62,West Elsdon,68,59,22,42,22,42,0,27,22,42,0,27,0,27,0,27,46,50,37,51,0,27,37,51,9,26,0,27,9,26
63,Gage Park,180,114,97,64,97,64,0,41,97,64,0,41,0,41,0,41,83,73,83,73,0,41,83,73,0,41,0,41,0,41
64,Clearing,247,143,127,74,120,73,8,33,112,72,7,31,0,31,7,31,120,90,120,90,0,31,120,90,0,31,0,31,0,31
65,West Lawn,539,213,247,170,247,170,0,34,247,170,0,34,0,34,0,34,292,122,276,120,0,34,276,120,16,41,0,34,16,41
66,Chicago Lawn,277,145,132,87,132,87,6,47,126,86,0,49,0,49,0,49,145,96,145,96,0,49,145,96,0,49,0,49,0,49
67,West Englewood,268,141,212,124,183,116,0,48,183,116,29,51,0,48,29,51,56,60,56,60,0,48,56,60,0,48,0,48,0,48
68,Englewood,92,58,44,50,35,48,22,49,13,36,9,37,0,36,9,37,48,43,40,43,0,36,40,43,8,37,0,36,8,37
69,Greater Grand Crossing,148,99,51,55,44,55,24,48,20,47,7,38,7,38,0,38,97,81,77,78,0,38,77,78,20,44,0,38,20,44
70,Ashburn,234,139,81,65,73,63,0,41,73,63,8,40,0,41,8,40,153,107,132,101,0,41,132,101,21,44,0,41,21,44
71,Auburn Gresham,211,118,96,84,91,84,51,75,40,59,5,45,5,45,0,46,115,77,81,69,0,46,81,69,34,57,0,46,34,57
72,Beverly,174,80,64,44,64,44,11,29,53,43,0,29,0,29,0,29,110,61,92,58,0,29,92,58,18,32,0,29,18,32
73,Washington Heights,125,95,11,33,0,33,0,33,0,33,11,33,11,33,0,33,114,91,103,90,0,33,103,90,11,32,0,33,11,32
74,Mount Greenwood,87,46,17,27,17,27,1,23,16,27,0,25,0,25,0,25,70,43,70,43,11,28,59,41,0,25,0,25,0,25
75,Morgan Park,212,90,49,53,41,45,0,31,41,45,8,33,8,33,0,31,163,73,118,67,10,34,108,65,45,43,0,31,45,43
76,O'Hare,266,164,151,129,151,129,28,60,123,120,0,38,0,38,0,38,115,104,104,103,0,38,104,103,11,40,0,38,11,40
77,Edgewater,1583,465,820,321,769,319,37,65,732,315,51,56,15,53,36,51,763,282,623,241,14,51,609,240,140,115,0,48,140,115
