area_id,area_name,b07004g001,b07004g001_moe,b07004g002,b07004g002_moe,b07004g003,b07004g003_moe,b07004g004,b07004g004_moe,b07004g005,b07004g005_moe,b07004g006,b07004g006_moe
1,Rogers Park,1883,391,1451,361,279,128,0,48,153,100,0,48
2,West Ridge,1988,569,1665,516,299,248,0,51,24,58,0,51
3,Uptown,1621,474,1286,447,201,112,43,65,82,90,9,48
4,Lincoln Square,937,255,683,202,174,112,0,40,80,110,0,40
5,North Center,839,307,752,300,74,67,0,43,13,43,0,43
6,Lake View,1736,362,1288,306,370,193,23,70,47,67,8,67
7,Lincoln Park,1035,263,777,231,231,135,9,52,18,52,0,51
8,Near North Side,1351,368,1106,322,136,102,0,54,109,149,0,54
9,Edison Park,196,137,196,137,0,25,0,25,0,25,0,25
10,Norwood Park,868,390,840,389,10,40,0,39,18,45,0,39
11,Jefferson Park,626,242,580,239,46,56,0,29,0,29,0,29
12,Forest Glen,428,205,406,202,22,45,0,29,0,29,0,29
13,North Park,456,206,299,135,67,56,90,144,0,27,0,27
14,Albany Park,1945,448,1657,421,231,128,3,42,41,57,13,46
15,Portage Park,2173,491,1879,466,258,167,15,52,2,43,19,55
16,Irving Park,1241,297,981,260,214,135,11,48,35,64,0,47
17,Dunning,503,210,344,177,84,89,7,40,24,53,44,80
18,Montclare,134,76,134,76,0,23,0,23,0,23,0,23
19,Belmont Cragin,1692,557,1558,530,70,88,0,52,0,52,64,110
20,Hermosa,484,177,380,164,56,60,34,60,0,29,14,35
21,Avondale,1047,325,802,273,217,176,8,39,20,49,0,38
22,Logan Square,1638,353,1359,319,216,131,1,56,36,65,26,64
23,Humboldt Park,1010,343,856,291,149,189,2,49,3,46,0,51
24,West Town,1752,363,1405,350,221,116,20,65,106,102,0,62
25,Austin,662,238,575,242,79,102,0,61,8,62,0,61
26,West Garfield Park,67,67,56,65,0,35,11,37,0,35,0,35
27,East Garfield Park,120,68,114,66,6,38,0,38,0,38,0,38
28,Near West Side,1291,254,906,203,216,121,46,72,101,84,22,56
29,North Lawndale,279,147,198,120,76,87,0,43,5,42,0,43
30,South Lawndale,431,193,395,188,29,63,7,47,0,48,0,48
31,Lower West Side,976,313,658,262,279,132,16,51,23,51,0,42
32,Loop,555,201,474,195,26,40,7,30,26,39,22,36
33,Near South Side,636,343,528,329,46,40,0,24,62,73,0,24
34,Armour Square,417,326,158,114,94,81,0,27,165,246,0,27
35,Douglas,194,86,138,69,38,53,9,38,0,35,9,36
36,Oakland,25,37,25,37,0,19,0,19,0,19,0,19
37,Fuller Park,22,35,22,35,0,16,0,16,0,16,0,16
38,Grand Boulevard,311,126,242,111,69,72,0,43,0,43,0,43
39,Kenwood,340,161,188,90,67,68,0,31,85,128,0,31
40,Washington Park,128,101,45,51,83,90,0,27,0,27,0,27
41,Hyde Park,818,208,658,186,78,61,0,38,64,51,18,41
42,Woodlawn,371,134,282,121,69,62,4,36,16,36,0,36
43,South Shore,1071,423,965,410,106,108,0,44,0,44,0,44
44,Chatham,453,272,433,270,20,47,0,37,0,37,0,37
45,Avalon Park,84,57,84,57,0,19,0,19,0,19,0,19
46,South Chicago,326,179,256,163,29,48,41,74,0,37,0,37
47,Burnside,0,11,0,11,0,11,0,11,0,11,0,11
48,Calumet Heights,71,67,71,67,0,27,0,27,0,27,0,27
49,Roseland,582,287,525,282,51,58,0,41,6,41,0,41
50,Pullman,35,36,35,36,0,19,0,19,0,19,0,19
51,South Deering,277,249,256,247,10,25,0,25,11,26,0,25
52,East Side,567,243,567,243,0,29,0,29,0,29,0,29
53,West Pullman,230,185,230,185,0,39,0,39,0,39,0,39
54,Riverdale,3,13,0,16,3,13,0,16,0,16,0,16
55,Hegewisch,328,272,328,272,0,19,0,19,0,19,0,19
56,Garfield Ridge,930,333,898,333,22,48,0,42,0,42,10,42
57,Archer Heights,99,74,58,50,41,59,0,27,0,27,0,27
58,Brighton Park,360,216,302,184,36,56,0,43,22,64,0,43
59,McKinley Park,325,223,254,211,49,68,21,50,1,22,0,25
60,Bridgeport,829,268,690,244,88,82,51,83,0,37,0,37
61,New City,759,381,678,374,79,93,2,46,0,47,0,47
62,West Elsdon,184,108,158,100,26,48,0,27,0,27,0,27
63,Gage Park,420,236,399,235,21,43,0,41,0,41,0,41
64,Clearing,511,297,451,288,51,71,0,31,0,31,9,33
65,West Lawn,1229,643,1229,643,0,34,0,34,0,34,0,34
66,Chicago Lawn,571,248,450,220,121,108,0,49,0,49,0,49
67,West Englewood,482,214,402,191,80,93,0,48,0,48,0,48
68,Englewood,162,104,133,101,29,41,0,36,0,36,0,36
69,Greater Grand Crossing,230,137,179,115,47,73,3,40,1,37,0,38
70,Ashburn,595,255,595,255,0,41,0,41,0,41,0,41
71,Auburn Gresham,301,171,257,161,25,53,0,46,19,52,0,46
72,Beverly,366,186,329,182,15,36,0,29,22,36,0,29
73,Washington Heights,184,119,184,119,0,33,0,33,0,33,0,33
74,Mount Greenwood,179,106,142,101,19,28,11,28,7,24,0,25
75,Morgan Park,359,169,326,166,33,38,0,31,0,31,0,31
76,O'Hare,368,230,326,226,14,44,11,40,17,46,0,38
77,Edgewater,1762,482,1483,464,207,130,0,48,66,72,6,48
