area_id,area_name,c27001c001,c27001c001_moe,c27001c002,c27001c002_moe,c27001c003,c27001c003_moe,c27001c004,c27001c004_moe,c27001c005,c27001c005_moe,c27001c006,c27001c006_moe,c27001c007,c27001c007_moe,c27001c008,c27001c008_moe,c27001c009,c27001c009_moe,c27001c010,c27001c010_moe
1,Rogers Park,110,130,30,56,30,56,0,48,80,102,28,53,52,100,0,48,0,48,0,48
2,West Ridge,257,215,33,66,33,66,0,51,187,166,88,87,99,146,37,67,37,67,0,51
3,Uptown,249,146,38,76,38,76,0,48,192,107,103,87,89,73,19,53,19,53,0,48
4,Lincoln Square,242,175,26,58,26,58,0,40,203,160,139,100,64,84,13,43,13,43,0,40
5,North Center,81,70,0,43,0,43,0,43,81,70,59,67,22,48,0,43,0,43,0,43
6,Lake View,221,167,11,67,11,67,0,66,195,163,169,160,26,69,15,69,15,69,0,66
7,Lincoln Park,149,112,32,71,32,71,0,51,111,87,111,87,0,51,6,51,6,51,0,51
8,Near North Side,225,164,22,64,22,64,0,54,203,156,203,156,0,54,0,54,0,54,0,54
9,Edison Park,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25
10,Norwood Park,71,133,34,76,34,76,0,39,37,71,22,47,15,46,0,39,0,39,0,39
11,Jefferson Park,74,82,27,45,0,29,27,45,47,52,47,52,0,29,0,29,0,29,0,29
12,Forest Glen,21,40,0,29,0,29,0,29,21,40,21,40,0,29,0,29,0,29,0,29
13,North Park,42,48,0,27,0,27,0,27,42,48,27,33,15,33,0,27,0,27,0,27
14,Albany Park,123,111,10,45,10,45,0,45,81,76,55,71,26,52,32,54,32,54,0,45
15,Portage Park,175,179,34,62,34,62,0,47,141,139,124,134,17,49,0,47,0,47,0,47
16,Irving Park,150,134,14,51,14,51,0,47,124,130,51,78,73,113,12,50,12,50,0,47
17,Dunning,86,97,0,40,0,40,0,40,86,97,22,47,64,92,0,40,0,40,0,40
18,Montclare,42,54,41,53,41,53,0,23,1,16,1,16,0,23,0,23,0,23,0,23
19,Belmont Cragin,171,165,88,117,88,117,0,52,75,73,43,61,32,64,8,53,8,53,0,52
20,Hermosa,33,49,0,29,0,29,0,29,33,49,33,49,0,29,0,29,0,29,0,29
21,Avondale,285,278,32,54,32,54,0,38,238,237,159,127,79,133,15,45,15,45,0,38
22,Logan Square,136,114,17,59,17,59,0,57,119,112,91,80,28,73,0,57,0,57,0,57
23,Humboldt Park,168,159,0,51,0,51,0,51,126,121,92,93,34,68,42,69,42,69,0,51
24,West Town,231,109,14,62,14,62,0,62,207,102,120,81,87,83,10,62,10,62,0,62
25,Austin,142,152,41,71,41,71,0,61,101,124,79,120,22,66,0,61,0,61,0,61
26,West Garfield Park,14,45,0,35,0,35,0,35,14,45,14,45,0,35,0,35,0,35,0,35
27,East Garfield Park,13,43,0,38,0,38,0,38,13,43,0,38,13,43,0,38,0,38,0,38
28,Near West Side,161,112,21,59,21,59,0,52,140,103,95,80,45,83,0,52,0,52,0,52
29,North Lawndale,21,52,0,43,0,43,0,43,18,51,0,43,18,51,3,42,3,42,0,43
30,South Lawndale,314,177,106,88,106,88,0,48,155,89,78,72,77,61,53,59,53,59,0,48
31,Lower West Side,113,74,26,45,26,45,0,42,66,50,41,42,25,43,21,51,21,51,0,42
32,Loop,34,37,0,30,0,30,0,30,34,37,17,30,17,37,0,30,0,30,0,30
33,Near South Side,53,62,0,24,0,24,0,24,53,62,53,62,0,24,0,24,0,24,0,24
34,Armour Square,5,26,0,27,0,27,0,27,5,26,0,27,5,26,0,27,0,27,0,27
35,Douglas,22,38,0,35,0,35,0,35,22,38,15,38,7,35,0,35,0,35,0,35
36,Oakland,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19
37,Fuller Park,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16
38,Grand Boulevard,14,45,0,43,0,43,0,43,1,41,0,43,1,41,13,46,13,46,0,43
39,Kenwood,73,63,9,33,9,33,0,31,0,31,0,31,0,31,64,62,64,62,0,31
40,Washington Park,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
41,Hyde Park,93,75,29,54,29,54,0,38,51,51,28,37,23,51,13,43,13,43,0,38
42,Woodlawn,60,57,7,36,7,36,0,36,53,57,38,46,15,42,0,36,0,36,0,36
43,South Shore,108,86,0,44,0,44,0,44,108,86,53,69,55,68,0,44,0,44,0,44
44,Chatham,28,43,0,37,0,37,0,37,28,43,12,38,16,42,0,37,0,37,0,37
45,Avalon Park,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19
46,South Chicago,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37
47,Burnside,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
48,Calumet Heights,9,29,0,27,0,27,0,27,0,27,0,27,0,27,9,29,9,29,0,27
49,Roseland,20,54,20,54,20,54,0,41,0,41,0,41,0,41,0,41,0,41,0,41
