area_id,area_name,b11002d001,b11002d001_moe,b11002d002,b11002d002_moe,b11002d003,b11002d003_moe,b11002d004,b11002d004_moe,b11002d005,b11002d005_moe,b11002d006,b11002d006_moe,b11002d007,b11002d007_moe,b11002d008,b11002d008_moe,b11002d009,b11002d009_moe,b11002d010,b11002d010_moe,b11002d011,b11002d011_moe,b11002d012,b11002d012_moe
1,Rogers Park,3708,1007,2903,992,2022,698,2022,698,0,48,390,622,137,223,253,406,491,334,491,334,0,48,805,255
2,West Ridge,17200,2077,15816,1997,11974,1773,11927,1768,47,65,2044,1008,1745,865,299,262,1798,708,1724,692,74,85,1384,600
3,Uptown,6599,832,4473,781,2860,683,2860,683,0,48,808,384,683,331,125,108,805,380,805,380,0,48,2126,426
4,Lincoln Square,3924,735,3138,695,2521,638,2521,638,0,40,332,260,315,251,17,48,285,171,275,163,10,42,786,249
5,North Center,1424,391,1072,362,826,313,826,313,0,43,54,86,54,86,0,43,192,167,180,162,12,44,352,160
6,Lake View,7214,975,3813,809,3423,765,3416,764,7,66,61,114,61,114,0,66,329,260,315,257,14,70,3401,565
7,Lincoln Park,3414,584,1510,437,1284,420,1284,420,0,51,91,99,79,92,12,52,135,101,135,101,0,51,1904,405
8,Near North Side,8697,1009,4285,868,3923,839,3923,839,0,54,230,234,230,234,0,54,132,136,132,136,0,54,4412,601
9,Edison Park,160,127,122,123,122,123,122,123,0,25,0,25,0,25,0,25,0,25,0,25,0,25,38,39
10,Norwood Park,1708,549,1587,551,1043,405,1025,397,18,47,237,368,237,368,0,39,307,187,289,179,18,45,121,141
11,Jefferson Park,2500,759,2330,745,1823,595,1823,595,0,29,0,29,0,29,0,29,507,496,493,492,14,34,170,152
12,Forest Glen,2179,412,2091,422,2000,425,2000,425,0,29,15,37,15,37,0,29,76,83,76,83,0,29,88,68
13,North Park,5045,730,4820,736,3848,666,3845,666,3,27,261,281,248,262,13,31,711,293,663,275,48,55,225,122
14,Albany Park,6634,1082,5886,1057,4242,982,4220,982,22,54,513,323,476,307,37,59,1131,445,1049,416,82,98,748,290
