Age of Householder by Household Income (Hispanic or Latino Householder)
-----------------------------------------------------------------------
Universe: Households With a Householder Who Is Hispanic or Latino

B19037I001 Total:
B19037I002  Householder under 25 years:
B19037I003   Less than $10,000
B19037I004   $10,000 to $14,999
B19037I005   $15,000 to $19,999
B19037I006   $20,000 to $24,999
B19037I007   $25,000 to $29,999
B19037I008   $30,000 to $34,999
B19037I009   $35,000 to $39,999
B19037I010   $40,000 to $44,999
B19037I011   $45,000 to $49,999
B19037I012   $50,000 to $59,999
B19037I013   $60,000 to $74,999
B19037I014   $75,000 to $99,999
B19037I015   $100,000 to $124,999
B19037I016   $125,000 to $149,999
B19037I017   $150,000 to $199,999
B19037I018   $200,000 or more
B19037I019  Householder 25 to 44 years:
B19037I020   Less than $10,000
B19037I021   $10,000 to $14,999
B19037I022   $15,000 to $19,999
B19037I023   $20,000 to $24,999
B19037I024   $25,000 to $29,999
B19037I025   $30,000 to $34,999
B19037I026   $35,000 to $39,999
B19037I027   $40,000 to $44,999
B19037I028   $45,000 to $49,999
B19037I029   $50,000 to $59,999
B19037I030   $60,000 to $74,999
B19037I031   $75,000 to $99,999
B19037I032   $100,000 to $124,999
B19037I033   $125,000 to $149,999
B19037I034   $150,000 to $199,999
B19037I035   $200,000 or more
B19037I036  Householder 45 to 64 years:
B19037I037   Less than $10,000
B19037I038   $10,000 to $14,999
B19037I039   $15,000 to $19,999
B19037I040   $20,000 to $24,999
B19037I041   $25,000 to $29,999
B19037I042   $30,000 to $34,999
B19037I043   $35,000 to $39,999
B19037I044   $40,000 to $44,999
B19037I045   $45,000 to $49,999
B19037I046   $50,000 to $59,999
B19037I047   $60,000 to $74,999
B19037I048   $75,000 to $99,999
B19037I049   $100,000 to $124,999
B19037I050   $125,000 to $149,999
B19037I051   $150,000 to $199,999
B19037I052   $200,000 or more
B19037I053  Householder 65 years and over:
B19037I054   Less than $10,000
B19037I055   $10,000 to $14,999
B19037I056   $15,000 to $19,999
B19037I057   $20,000 to $24,999
B19037I058   $25,000 to $29,999
B19037I059   $30,000 to $34,999
B19037I060   $35,000 to $39,999
B19037I061   $40,000 to $44,999
B19037I062   $45,000 to $49,999
B19037I063   $50,000 to $59,999
B19037I064   $60,000 to $74,999
B19037I065   $75,000 to $99,999
B19037I066   $100,000 to $124,999
B19037I067   $125,000 to $149,999
B19037I068   $150,000 to $199,999
B19037I069   $200,000 or more
