area_id,area_name,b05003c001,b05003c001_moe,b05003c002,b05003c002_moe,b05003c003,b05003c003_moe,b05003c004,b05003c004_moe,b05003c005,b05003c005_moe,b05003c006,b05003c006_moe,b05003c007,b05003c007_moe,b05003c008,b05003c008_moe,b05003c009,b05003c009_moe,b05003c010,b05003c010_moe,b05003c011,b05003c011_moe,b05003c012,b05003c012_moe,b05003c013,b05003c013_moe,b05003c014,b05003c014_moe,b05003c015,b05003c015_moe,b05003c016,b05003c016_moe,b05003c017,b05003c017_moe,b05003c018,b05003c018_moe,b05003c019,b05003c019_moe,b05003c020,b05003c020_moe,b05003c021,b05003c021_moe,b05003c022,b05003c022_moe,b05003c023,b05003c023_moe
1,Rogers Park,118,130,28,65,0,48,0,48,0,48,0,48,0,48,28,65,0,48,28,65,0,48,28,65,90,94,30,56,30,56,0,48,0,48,0,48,60,67,33,51,27,54,16,53,11,49
2,West Ridge,264,215,136,121,33,66,33,66,0,51,0,51,0,51,103,95,94,93,9,53,9,53,0,51,128,124,0,51,0,51,0,51,0,51,0,51,128,124,106,119,22,62,22,62,0,51
3,Uptown,249,146,182,122,19,54,19,54,0,48,0,48,0,48,163,110,144,106,19,54,0,48,19,54,67,66,19,54,19,54,0,48,0,48,0,48,48,61,48,61,0,48,0,48,0,48
4,Lincoln Square,242,175,40,53,0,40,0,40,0,40,0,40,0,40,40,53,40,53,0,40,0,40,0,40,202,158,26,58,26,58,0,40,0,40,0,40,176,152,95,84,81,133,34,65,47,83
5,North Center,81,70,68,68,0,43,0,43,0,43,0,43,0,43,68,68,68,68,0,43,0,43,0,43,13,46,0,43,0,43,0,43,0,43,0,43,13,46,13,46,0,43,0,43,0,43
6,Lake View,221,167,185,163,11,67,11,67,0,66,0,66,0,66,174,160,152,156,22,77,0,66,22,77,36,68,0,66,0,66,0,66,0,66,0,66,36,68,24,69,12,66,5,66,7,66
7,Lincoln Park,154,112,67,71,8,51,8,51,0,51,0,51,0,51,59,70,59,70,0,51,0,51,0,51,87,85,24,62,24,62,0,51,0,51,0,51,63,65,63,65,0,51,0,51,0,51
8,Near North Side,225,164,22,60,0,54,0,54,0,54,0,54,0,54,22,60,22,60,0,54,0,54,0,54,203,162,22,64,22,64,0,54,0,54,0,54,181,153,181,153,0,54,0,54,0,54
9,Edison Park,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25
10,Norwood Park,71,133,49,103,34,76,34,76,0,39,0,39,0,39,15,47,0,39,15,47,0,39,15,47,22,47,0,39,0,39,0,39,0,39,0,39,22,47,7,39,15,46,0,39,15,46
11,Jefferson Park,74,82,27,45,0,29,0,29,0,29,0,29,0,29,27,45,27,45,0,29,0,29,0,29,47,52,27,45,27,45,0,29,0,29,0,29,20,39,20,39,0,29,0,29,0,29
12,Forest Glen,21,40,21,40,0,29,0,29,0,29,0,29,0,29,21,40,21,40,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29
13,North Park,42,48,30,41,0,27,0,27,0,27,0,27,0,27,30,41,30,41,0,27,0,27,0,27,12,22,0,27,0,27,0,27,0,27,0,27,12,22,12,22,0,27,0,27,0,27
14,Albany Park,123,111,71,65,0,45,0,45,0,45,0,45,0,45,71,65,9,44,62,65,38,54,24,49,52,73,10,45,10,45,0,45,0,45,0,45,42,61,18,51,24,56,0,45,24,56
15,Portage Park,175,179,95,111,14,50,14,50,0,47,0,47,0,47,81,92,29,55,52,88,0,47,52,88,80,85,20,49,20,49,0,47,0,47,0,47,60,68,32,53,28,64,28,64,0,47
16,Irving Park,150,134,75,85,0,47,0,47,0,47,0,47,0,47,75,85,73,86,2,45,0,47,2,45,75,88,14,51,14,51,0,47,0,47,0,47,61,86,49,84,12,50,12,50,0,47
17,Dunning,86,97,71,80,0,40,0,40,0,40,0,40,0,40,71,80,71,80,0,40,0,40,0,40,15,44,0,40,0,40,0,40,0,40,0,40,15,44,15,44,0,40,0,40,0,40
