area_id,area_name,b13002f001,b13002f001_moe,b13002f002,b13002f002_moe,b13002f003,b13002f003_moe,b13002f004,b13002f004_moe,b13002f005,b13002f005_moe,b13002f006,b13002f006_moe,b13002f007,b13002f007_moe
1,Rogers Park,1113,329,159,112,125,108,34,54,954,309,400,172,554,204
2,West Ridge,1524,429,164,143,129,136,35,66,1360,405,603,205,757,265
3,Uptown,674,273,41,68,41,68,0,48,633,264,319,182,314,132
4,Lincoln Square,1074,363,102,72,62,65,40,50,972,358,308,182,664,268
5,North Center,240,124,0,43,0,43,0,43,240,124,58,53,182,119
6,Lake View,531,188,45,77,25,70,20,73,486,184,154,95,332,158
7,Lincoln Park,306,137,10,51,10,51,0,51,296,137,87,76,209,118
8,Near North Side,620,335,37,67,37,67,0,54,583,333,282,258,301,210
9,Edison Park,15,31,0,25,0,25,0,25,15,31,0,25,15,31
10,Norwood Park,649,288,75,78,0,39,75,78,574,233,161,108,413,208
11,Jefferson Park,564,284,25,42,19,41,6,30,539,282,331,173,208,181
12,Forest Glen,348,151,43,59,0,29,43,59,305,145,132,86,173,99
13,North Park,485,204,49,63,49,63,0,27,436,196,232,128,204,134
14,Albany Park,5005,702,280,127,112,93,168,102,4725,706,2353,446,2372,484
15,Portage Park,5133,705,491,194,247,156,244,122,4642,705,2052,332,2590,616
16,Irving Park,3123,559,111,92,34,55,77,88,3012,540,1339,343,1673,373
17,Dunning,1117,346,45,51,45,51,0,40,1072,338,503,159,569,248
18,Montclare,795,194,54,54,54,54,0,23,741,197,503,156,238,107
19,Belmont Cragin,11046,868,732,200,350,132,382,160,10314,835,4167,462,6147,683
20,Hermosa,3694,433,286,125,173,105,113,71,3408,430,1483,249,1925,343
21,Avondale,1713,382,66,62,14,37,52,63,1647,371,909,243,738,225
22,Logan Square,1561,327,57,69,32,65,25,61,1504,318,556,176,948,212
23,Humboldt Park,4643,597,295,139,25,54,270,137,4348,563,1421,262,2927,482
24,West Town,2162,377,147,121,90,91,57,79,2015,358,622,178,1393,305
25,Austin,1130,319,72,76,14,64,58,74,1058,310,572,197,486,190
26,West Garfield Park,36,52,0,35,0,35,0,35,36,52,10,37,26,50
27,East Garfield Park,50,57,7,39,0,38,7,39,43,57,4,37,39,58
28,Near West Side,542,163,12,50,0,52,12,50,530,162,182,100,348,133
29,North Lawndale,162,93,8,43,0,43,8,43,154,93,50,53,104,79
30,South Lawndale,3861,551,110,81,74,74,36,57,3751,548,1573,281,2178,387
31,Lower West Side,4084,521,299,114,200,98,99,72,3785,507,1388,254,2397,397
32,Loop,396,307,0,30,0,30,0,30,396,307,58,79,338,300
33,Near South Side,284,198,21,28,21,28,0,24,263,195,91,82,172,180
34,Armour Square,120,98,0,27,0,27,0,27,120,98,18,32,102,98
35,Douglas,106,79,0,35,0,35,0,35,106,79,29,47,77,72
36,Oakland,20,34,0,19,0,19,0,19,20,34,20,34,0,19
37,Fuller Park,43,51,14,25,0,16,14,25,29,38,9,19,20,34
38,Grand Boulevard,113,81,33,57,33,57,0,43,80,70,40,59,40,56
39,Kenwood,19,41,0,31,0,31,0,31,19,41,19,41,0,31
40,Washington Park,0,27,0,27,0,27,0,27,0,27,0,27,0,27
41,Hyde Park,157,90,0,38,0,38,0,38,157,90,100,80,57,54
42,Woodlawn,88,74,0,36,0,36,0,36,88,74,39,59,49,58
43,South Shore,87,84,0,44,0,44,0,44,87,84,70,83,17,47
44,Chatham,0,37,0,37,0,37,0,37,0,37,0,37,0,37
45,Avalon Park,0,19,0,19,0,19,0,19,0,19,0,19,0,19
46,South Chicago,336,142,25,44,15,41,10,38,311,138,120,71,191,111
47,Burnside,0,11,0,11,0,11,0,11,0,11,0,11,0,11
48,Calumet Heights,75,63,23,45,0,27,23,45,52,56,9,29,43,55
49,Roseland,29,53,0,41,0,41,0,41,29,53,7,41,22,53
50,Pullman,33,45,0,19,0,19,0,19,33,45,1,17,32,44
51,South Deering,650,264,33,37,33,37,0,25,617,262,267,124,350,169
52,East Side,1014,248,131,80,107,75,24,39,883,230,266,94,617,188
53,West Pullman,168,125,5,38,0,39,5,38,163,126,69,64,94,83
54,Riverdale,0,16,0,16,0,16,0,16,0,16,0,16,0,16
55,Hegewisch,223,146,18,31,0,19,18,31,205,134,93,83,112,84
56,Garfield Ridge,1534,344,29,43,29,43,0,42,1505,344,701,177,804,273
57,Archer Heights,1021,219,79,59,14,30,65,56,942,212,411,134,531,170
58,Brighton Park,3262,520,171,97,70,71,101,73,3091,512,1381,279,1710,353
59,McKinley Park,1034,245,47,44,36,41,11,30,987,242,452,138,535,205
60,Bridgeport,1275,303,60,64,31,56,29,47,1215,295,512,167,703,225
61,New City,2071,335,95,67,87,64,8,49,1976,333,971,202,1005,224
62,West Elsdon,1502,305,168,91,113,74,55,60,1334,290,612,158,722,232
63,Gage Park,3988,533,375,145,228,107,147,89,3613,515,1829,290,1784,345
64,Clearing,1457,298,86,68,60,54,26,50,1371,285,458,153,913,263
65,West Lawn,4567,573,351,174,205,121,146,126,4216,571,2070,329,2146,426
66,Chicago Lawn,4953,575,309,141,201,131,108,75,4644,566,2034,303,2610,458
67,West Englewood,117,94,10,49,0,48,10,49,107,93,45,61,62,82
68,Englewood,26,45,16,43,0,36,16,43,10,39,0,36,10,39
69,Greater Grand Crossing,0,38,0,38,0,38,0,38,0,38,0,38,0,38
70,Ashburn,2167,408,185,116,156,112,29,49,1982,408,821,209,1161,336
71,Auburn Gresham,0,46,0,46,0,46,0,46,0,46,0,46,0,46
72,Beverly,14,31,0,29,0,29,0,29,14,31,9,31,5,29
73,Washington Heights,8,33,0,33,0,33,0,33,8,33,0,33,8,33
74,Mount Greenwood,33,36,0,25,0,25,0,25,33,36,0,25,33,36
75,Morgan Park,39,54,0,31,0,31,0,31,39,54,33,45,6,32
76,O'Hare,146,98,33,63,33,63,0,38,113,84,55,68,58,64
77,Edgewater,825,264,33,57,0,48,33,57,792,254,262,122,530,192
