area_id,area_name,b22005c001,b22005c001_moe,b22005c002,b22005c002_moe,b22005c003,b22005c003_moe
1,Rogers Park,21,50,0,48,21,50
2,West Ridge,127,100,36,66,91,91
3,Uptown,139,85,51,64,88,72
4,Lincoln Square,98,81,3,41,95,81
5,North Center,54,68,30,63,24,48
6,Lake View,148,154,0,66,148,154
7,Lincoln Park,56,74,0,51,56,74
8,Near North Side,76,88,15,58,61,86
9,Edison Park,0,25,0,25,0,25
10,Norwood Park,15,47,15,47,0,39
11,Jefferson Park,47,52,0,29,47,52
12,Forest Glen,21,40,0,29,21,40
13,North Park,15,34,0,27,15,34
14,Albany Park,61,56,18,51,43,50
15,Portage Park,62,60,13,49,49,58
16,Irving Park,103,107,0,47,103,107
17,Dunning,31,51,15,44,16,47
18,Montclare,0,23,0,23,0,23
19,Belmont Cragin,26,53,0,52,26,53
20,Hermosa,10,33,0,29,10,33
21,Avondale,85,83,40,56,45,73
22,Logan Square,53,74,14,60,39,72
23,Humboldt Park,80,79,47,72,33,58
24,West Town,147,88,33,67,114,84
25,Austin,0,61,0,61,0,61
26,West Garfield Park,0,35,0,35,0,35
27,East Garfield Park,0,38,0,38,0,38
28,Near West Side,99,80,11,51,88,80
29,North Lawndale,3,42,0,43,3,42
30,South Lawndale,86,55,37,49,49,52
31,Lower West Side,43,45,0,42,43,45
32,Loop,24,37,0,30,24,37
33,Near South Side,38,47,0,24,38,47
34,Armour Square,0,27,0,27,0,27
35,Douglas,7,35,0,35,7,35
36,Oakland,0,19,0,19,0,19
37,Fuller Park,0,16,0,16,0,16
38,Grand Boulevard,13,46,0,43,13,46
39,Kenwood,64,62,51,60,13,35
40,Washington Park,0,27,0,27,0,27
41,Hyde Park,45,53,0,38,45,53
42,Woodlawn,22,42,8,37,14,40
43,South Shore,89,81,39,64,50,66
44,Chatham,28,43,0,37,28,43
45,Avalon Park,0,19,0,19,0,19
46,South Chicago,0,37,0,37,0,37
47,Burnside,0,11,0,11,0,11
48,Calumet Heights,4,26,0,27,4,26
49,Roseland,0,41,0,41,0,41
50,Pullman,0,19,0,19,0,19
51,South Deering,7,25,7,25,0,25
52,East Side,61,59,0,29,61,59
53,West Pullman,18,41,0,39,18,41
54,Riverdale,0,16,0,16,0,16
55,Hegewisch,27,33,10,20,17,29
56,Garfield Ridge,4,41,0,42,4,41
57,Archer Heights,29,31,0,27,29,31
58,Brighton Park,44,49,4,43,40,49
59,McKinley Park,45,39,24,36,21,29
60,Bridgeport,89,76,34,64,55,55
61,New City,78,70,0,47,78,70
62,West Elsdon,10,30,0,27,10,30
63,Gage Park,31,49,0,41,31,49
64,Clearing,27,40,16,41,11,30
65,West Lawn,70,62,0,34,70,62
66,Chicago Lawn,22,48,11,49,11,48
67,West Englewood,21,51,9,49,12,50
68,Englewood,44,51,0,36,44,51
69,Greater Grand Crossing,84,75,28,39,56,75
70,Ashburn,33,52,10,40,23,49
71,Auburn Gresham,53,82,53,82,0,46
72,Beverly,5,28,0,29,5,28
73,Washington Heights,0,33,0,33,0,33
74,Mount Greenwood,18,37,0,25,18,37
75,Morgan Park,51,42,9,33,42,40
76,O'Hare,16,46,0,38,16,46
77,Edgewater,96,81,30,56,66,75
