area_id,area_name,b16005c001,b16005c001_moe,b16005c002,b16005c002_moe,b16005c003,b16005c003_moe,b16005c004,b16005c004_moe,b16005c005,b16005c005_moe,b16005c006,b16005c006_moe,b16005c007,b16005c007_moe,b16005c008,b16005c008_moe,b16005c009,b16005c009_moe,b16005c010,b16005c010_moe,b16005c011,b16005c011_moe
1,Rogers Park,100,120,45,62,17,49,28,61,25,62,3,47,55,82,0,48,55,82,32,57,23,59
2,West Ridge,264,215,233,211,108,113,125,186,74,108,51,97,31,64,0,51,31,64,9,53,22,62
3,Uptown,249,146,230,130,179,112,51,77,51,77,0,48,19,54,0,48,19,54,0,48,19,54
4,Lincoln Square,216,169,135,112,67,63,68,87,47,70,21,45,81,133,0,40,81,133,34,65,47,83
5,North Center,81,70,81,70,51,51,30,63,30,63,0,43,0,43,0,43,0,43,0,43,0,43
6,Lake View,221,167,187,162,160,160,27,70,12,67,15,69,34,76,5,66,29,76,29,76,0,66
7,Lincoln Park,141,100,141,100,95,80,46,68,46,68,0,51,0,51,0,51,0,51,0,51,0,51
8,Near North Side,225,164,225,164,205,161,20,62,20,62,0,54,0,54,0,54,0,54,0,54,0,54
9,Edison Park,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25
10,Norwood Park,37,71,7,39,7,39,0,39,0,39,0,39,30,71,0,39,30,71,15,47,15,46
11,Jefferson Park,74,82,74,82,74,82,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29
12,Forest Glen,21,40,21,40,21,40,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29
13,North Park,42,48,42,48,27,41,15,34,15,34,0,27,0,27,0,27,0,27,0,27,0,27
14,Albany Park,123,111,37,51,27,51,10,45,10,45,0,45,86,93,0,45,86,93,13,48,73,91
15,Portage Park,169,178,89,77,36,60,53,66,53,66,0,47,80,130,5,47,75,130,62,110,13,49
16,Irving Park,150,134,136,134,136,134,0,47,0,47,0,47,14,48,0,47,14,48,14,48,0,47
17,Dunning,86,97,86,97,86,97,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40
18,Montclare,42,54,41,53,41,53,0,23,0,23,0,23,1,16,0,23,1,16,1,16,0,23
19,Belmont Cragin,165,164,105,117,29,52,76,116,39,67,37,79,60,72,0,52,60,72,13,54,47,67
20,Hermosa,33,49,23,38,0,29,23,38,12,34,11,33,10,33,0,29,10,33,0,29,10,33
21,Avondale,285,278,212,201,47,60,165,197,158,197,7,38,73,96,0,38,73,96,40,60,33,54
22,Logan Square,124,112,84,81,42,66,42,75,42,75,0,57,40,73,0,57,40,73,28,71,12,59
23,Humboldt Park,168,159,116,100,61,77,55,80,55,80,0,51,52,97,0,51,52,97,23,61,29,68
24,West Town,231,109,191,100,108,80,83,86,74,80,9,63,40,72,23,70,17,64,0,62,17,64
25,Austin,129,147,129,147,48,69,81,143,66,121,15,65,0,61,0,61,0,61,0,61,0,61
26,West Garfield Park,14,45,14,45,14,45,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35
27,East Garfield Park,13,43,13,43,13,43,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38
28,Near West Side,156,109,108,94,79,87,29,56,22,56,7,52,48,75,0,52,48,75,48,75,0,52
29,North Lawndale,21,52,21,52,21,52,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43
30,South Lawndale,293,161,131,105,57,81,74,80,48,74,26,56,162,99,28,58,134,83,33,51,101,73
31,Lower West Side,100,66,41,42,15,39,26,45,13,41,13,41,59,57,0,42,59,57,0,42,59,57
32,Loop,34,37,34,37,10,30,24,37,24,37,0,30,0,30,0,30,0,30,0,30,0,30
33,Near South Side,53,62,53,62,53,62,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24
34,Armour Square,5,26,0,27,0,27,0,27,0,27,0,27,5,26,0,27,5,26,0,27,5,26
35,Douglas,22,38,13,35,6,35,7,35,7,35,0,35,9,38,0,35,9,38,9,38,0,35
36,Oakland,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19
37,Fuller Park,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16
38,Grand Boulevard,14,45,14,45,14,45,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43
39,Kenwood,64,62,64,62,64,62,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31
40,Washington Park,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
41,Hyde Park,93,75,73,59,73,59,0,38,0,38,0,38,20,45,0,38,20,45,20,45,0,38
42,Woodlawn,60,57,45,46,35,44,10,37,0,36,10,37,15,42,0,36,15,42,0,36,15,42
43,South Shore,108,86,108,86,108,86,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44
