area_id,area_name,b10051i001,b10051i001_moe,b10051i002,b10051i002_moe,b10051i003,b10051i003_moe,b10051i004,b10051i004_moe,b10051i005,b10051i005_moe,b10051i006,b10051i006_moe,b10051i007,b10051i007_moe
1,Rogers Park,376,203,153,109,109,97,44,68,223,152,169,137,54,78
2,West Ridge,608,313,15,56,15,56,0,51,593,313,135,136,458,289
3,Uptown,114,104,22,57,22,57,0,48,92,92,60,84,32,60
4,Lincoln Square,227,141,60,58,60,58,0,40,167,122,132,112,35,48
5,North Center,64,68,12,46,6,43,6,43,52,66,27,52,25,58
6,Lake View,19,68,8,67,0,66,8,67,11,68,0,66,11,68
7,Lincoln Park,12,52,0,51,0,51,0,51,12,52,0,51,12,52
8,Near North Side,8,55,0,54,0,54,0,54,8,55,8,55,0,54
9,Edison Park,0,25,0,25,0,25,0,25,0,25,0,25,0,25
10,Norwood Park,164,102,0,39,0,39,0,39,164,102,97,87,67,64
11,Jefferson Park,171,118,33,37,33,37,0,29,138,111,88,97,50,60
12,Forest Glen,56,59,0,29,0,29,0,29,56,59,28,38,28,38
13,North Park,34,43,20,41,0,27,20,41,14,31,0,27,14,31
14,Albany Park,1248,334,340,167,292,163,48,64,908,263,569,221,339,147
15,Portage Park,1196,302,282,129,212,109,70,83,914,275,464,203,450,193
16,Irving Park,1212,304,264,154,202,145,62,69,948,266,679,240,269,123
17,Dunning,397,167,136,124,44,76,92,121,261,120,218,117,43,61
18,Montclare,289,151,122,97,105,87,17,31,167,92,98,69,69,52
19,Belmont Cragin,3243,483,800,226,645,202,155,98,2443,403,1397,323,1046,267
20,Hermosa,942,265,236,145,228,145,8,30,706,213,456,180,250,119
21,Avondale,835,280,258,162,218,140,40,64,577,236,303,153,274,159
22,Logan Square,1361,330,699,267,473,219,226,123,662,222,299,129,363,157
23,Humboldt Park,1288,296,520,187,365,155,155,89,768,240,465,188,303,160
24,West Town,809,197,311,137,226,116,85,83,498,155,176,91,322,133
25,Austin,330,190,72,90,57,86,15,64,258,172,205,163,53,71
26,West Garfield Park,0,35,0,35,0,35,0,35,0,35,0,35,0,35
27,East Garfield Park,0,38,0,38,0,38,0,38,0,38,0,38,0,38
28,Near West Side,52,69,11,54,11,54,0,52,41,67,0,52,41,67
29,North Lawndale,27,50,15,47,0,43,15,47,12,46,4,42,8,44
30,South Lawndale,1803,348,840,263,683,243,157,97,963,244,339,146,624,193
31,Lower West Side,1043,279,304,128,249,121,55,47,739,234,353,157,386,164
32,Loop,0,30,0,30,0,30,0,30,0,30,0,30,0,30
33,Near South Side,0,24,0,24,0,24,0,24,0,24,0,24,0,24
34,Armour Square,35,51,0,27,0,27,0,27,35,51,0,27,35,51
35,Douglas,0,35,0,35,0,35,0,35,0,35,0,35,0,35
36,Oakland,23,34,0,19,0,19,0,19,23,34,0,19,23,34
37,Fuller Park,0,16,0,16,0,16,0,16,0,16,0,16,0,16
38,Grand Boulevard,45,69,0,43,0,43,0,43,45,69,0,43,45,69
39,Kenwood,9,33,0,31,0,31,0,31,9,33,9,33,0,31
40,Washington Park,15,39,0,27,0,27,0,27,15,39,0,27,15,39
41,Hyde Park,0,38,0,38,0,38,0,38,0,38,0,38,0,38
42,Woodlawn,0,36,0,36,0,36,0,36,0,36,0,36,0,36
43,South Shore,19,53,19,53,0,44,19,53,0,44,0,44,0,44
44,Chatham,0,37,0,37,0,37,0,37,0,37,0,37,0,37
45,Avalon Park,0,19,0,19,0,19,0,19,0,19,0,19,0,19
46,South Chicago,283,122,50,63,0,37,50,63,233,130,170,121,63,52
47,Burnside,0,11,0,11,0,11,0,11,0,11,0,11,0,11
48,Calumet Heights,51,65,51,65,51,65,0,27,0,27,0,27,0,27
49,Roseland,0,41,0,41,0,41,0,41,0,41,0,41,0,41
50,Pullman,19,39,0,19,0,19,0,19,19,39,10,25,9,23
51,South Deering,60,54,36,44,19,37,17,33,24,36,0,25,24,36
52,East Side,617,202,205,98,143,82,62,52,412,175,177,114,235,128
53,West Pullman,131,81,32,48,32,48,0,39,99,83,80,76,19,46
54,Riverdale,0,16,0,16,0,16,0,16,0,16,0,16,0,16
55,Hegewisch,52,51,37,45,11,22,26,41,15,25,15,25,0,19
56,Garfield Ridge,483,165,134,90,104,79,30,54,349,150,122,81,227,113
57,Archer Heights,438,199,114,79,78,69,36,47,324,172,166,99,158,101
58,Brighton Park,1441,309,248,140,190,123,58,65,1193,285,619,207,574,197
59,McKinley Park,332,129,115,75,77,66,38,45,217,102,188,99,29,33
60,Bridgeport,242,104,70,64,36,55,34,48,172,85,54,50,118,78
61,New City,424,156,146,102,78,75,68,82,278,122,177,98,101,84
62,West Elsdon,878,273,103,84,103,84,0,27,775,274,370,171,405,190
63,Gage Park,1680,354,323,149,210,124,113,88,1357,319,873,251,484,187
64,Clearing,84,65,23,33,17,34,6,31,61,55,50,53,11,31
65,West Lawn,943,275,119,93,119,93,0,34,824,262,464,213,360,147
66,Chicago Lawn,1226,318,281,137,210,102,71,67,945,287,608,255,337,144
67,West Englewood,33,71,0,48,0,48,0,48,33,71,17,54,16,54
68,Englewood,46,82,24,52,24,52,0,36,22,50,22,50,0,36
69,Greater Grand Crossing,9,39,9,39,9,39,0,38,0,38,0,38,0,38
70,Ashburn,697,203,156,89,107,72,49,64,541,190,283,130,258,128
71,Auburn Gresham,19,49,7,46,0,46,7,46,12,45,6,45,6,46
72,Beverly,24,45,0,29,0,29,0,29,24,45,0,29,24,45
73,Washington Heights,0,33,0,33,0,33,0,33,0,33,0,33,0,33
74,Mount Greenwood,31,43,21,39,21,39,0,25,10,27,10,27,0,25
75,Morgan Park,0,31,0,31,0,31,0,31,0,31,0,31,0,31
76,O'Hare,66,78,14,44,14,44,0,38,52,73,12,42,40,70
77,Edgewater,225,156,78,114,0,48,78,114,147,116,98,103,49,73
