area_id,area_name,b12002d001,b12002d001_moe,b12002d002,b12002d002_moe,b12002d003,b12002d003_moe,b12002d004,b12002d004_moe,b12002d005,b12002d005_moe,b12002d006,b12002d006_moe,b12002d007,b12002d007_moe,b12002d008,b12002d008_moe,b12002d009,b12002d009_moe,b12002d010,b12002d010_moe,b12002d011,b12002d011_moe,b12002d012,b12002d012_moe,b12002d013,b12002d013_moe
1,Rogers Park,3501,841,1546,406,779,280,667,218,25,59,2,45,73,66,1955,501,973,326,765,241,42,68,105,90,70,63
2,West Ridge,13870,1610,7079,989,2637,642,4267,557,0,51,49,70,126,105,6791,762,1976,411,3888,474,122,92,441,171,364,166
3,Uptown,5769,702,2674,489,1223,297,1109,309,68,112,80,86,194,114,3095,455,1100,307,1170,249,102,83,478,196,245,149
4,Lincoln Square,3389,571,1657,354,643,238,811,187,60,72,35,52,108,88,1732,322,670,190,844,181,9,41,135,83,74,58
5,North Center,1303,323,628,205,350,170,240,89,0,43,19,47,19,50,675,182,183,80,357,131,16,46,36,46,83,91
6,Lake View,5949,660,2639,373,1494,293,960,223,51,86,5,66,129,106,3310,456,1307,299,1525,306,9,67,264,140,205,120
7,Lincoln Park,3261,426,1677,300,1130,269,438,132,0,51,0,51,109,77,1584,271,975,228,476,136,25,58,23,56,85,79
8,Near North Side,8154,845,3627,514,1807,402,1692,340,14,58,45,91,69,94,4527,572,2386,458,1802,332,40,89,112,116,187,93
9,Edison Park,138,101,65,61,16,36,49,47,0,25,0,25,0,25,73,55,10,22,38,42,0,25,25,32,0,25
10,Norwood Park,1415,403,624,237,190,121,407,160,0,39,0,39,27,54,791,209,186,104,452,170,11,41,127,78,15,44
11,Jefferson Park,2062,644,998,313,367,178,560,186,0,29,28,51,43,79,1064,351,304,163,648,225,0,29,76,62,36,46
12,Forest Glen,1894,325,880,168,271,94,599,111,0,29,0,29,10,33,1014,236,187,106,607,111,0,29,145,102,75,65
13,North Park,3992,557,1736,285,610,187,1077,181,9,29,17,27,23,35,2256,339,514,132,1146,187,132,88,177,94,287,135
14,Albany Park,5923,913,2956,546,1019,286,1571,299,116,118,79,71,171,121,2967,461,764,225,1676,322,29,50,353,132,145,95
15,Portage Park,2421,574,1147,295,356,160,707,244,22,51,30,54,32,53,1274,344,343,153,671,241,18,54,130,78,112,97
16,Irving Park,3557,680,1491,340,374,156,919,239,61,70,61,83,76,78,2066,423,830,267,963,241,27,55,133,96,113,78
17,Dunning,1383,358,537,168,142,104,321,115,0,40,31,46,43,52,846,227,222,97,482,147,0,40,72,60,70,65
18,Montclare,375,229,135,85,29,40,95,73,0,23,0,23,11,23,240,156,46,75,142,99,19,34,5,19,28,31
19,Belmont Cragin,948,327,349,137,63,63,242,112,15,57,0,52,29,69,599,223,122,93,366,144,12,55,64,69,35,64
20,Hermosa,111,79,73,65,56,58,8,30,0,29,9,31,0,29,38,45,30,43,8,30,0,29,0,29,0,29
21,Avondale,1092,372,484,197,150,103,325,146,0,38,0,38,9,39,608,205,174,111,373,155,11,41,25,42,25,41
22,Logan Square,1934,351,830,205,480,176,276,105,10,57,0,57,64,71,1104,220,575,178,442,130,0,57,21,57,66,63
23,Humboldt Park,147,121,45,60,12,52,33,55,0,51,0,51,0,51,102,91,62,73,22,51,0,51,7,50,11,50
24,West Town,2983,421,1457,298,967,259,475,136,14,65,0,62,1,61,1526,245,730,177,724,162,13,62,27,65,32,66
25,Austin,351,184,155,113,57,76,72,78,15,65,0,61,11,62,196,109,27,66,97,84,0,61,52,73,20,64
26,West Garfield Park,18,41,18,41,0,35,18,41,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35
27,East Garfield Park,87,59,19,42,9,39,10,40,0,38,0,38,0,38,68,53,28,43,21,39,0,38,0,38,19,44
28,Near West Side,7401,731,3895,540,2413,490,1424,255,12,54,0,52,46,70,3506,441,1858,357,1419,243,56,67,27,54,146,87
29,North Lawndale,60,76,26,48,19,44,7,43,0,43,0,43,0,43,34,69,9,45,25,55,0,43,0,43,0,43
30,South Lawndale,115,80,74,55,43,49,25,50,0,48,0,48,6,46,41,56,34,51,7,48,0,48,0,48,0,48
31,Lower West Side,390,162,189,110,142,107,47,49,0,42,0,42,0,42,201,114,127,99,34,44,9,43,3,41,28,60
32,Loop,4234,659,1712,375,996,314,688,196,14,38,0,30,14,35,2522,486,1346,411,1036,261,0,30,34,45,106,103
33,Near South Side,3231,586,1438,344,658,265,749,231,5,23,9,18,17,34,1793,454,678,230,806,260,12,31,235,226,62,64
34,Armour Square,7904,593,3870,368,1208,283,2415,335,41,50,74,50,132,110,4034,349,762,196,2283,273,124,81,682,176,183,99
35,Douglas,2178,465,1242,289,849,247,346,119,7,35,0,35,40,52,936,267,626,244,253,101,0,35,48,51,9,33
36,Oakland,57,65,4,17,0,19,4,17,0,19,0,19,0,19,53,64,0,19,34,39,0,19,19,35,0,19
37,Fuller Park,11,19,11,19,0,16,0,16,0,16,0,16,11,19,0,16,0,16,0,16,0,16,0,16,0,16
38,Grand Boulevard,60,58,52,53,36,53,5,43,0,43,10,44,1,41,8,43,8,43,0,43,0,43,0,43,0,43
39,Kenwood,1001,286,474,189,304,168,156,89,0,31,0,31,14,35,527,201,324,171,177,93,0,31,26,40,0,31
40,Washington Park,9,28,0,27,0,27,0,27,0,27,0,27,0,27,9,28,0,27,0,27,0,27,9,28,0,27
41,Hyde Park,2603,395,1225,243,758,208,436,124,10,39,9,39,12,38,1378,240,812,201,489,126,23,56,17,41,37,43
42,Woodlawn,591,162,255,106,175,80,76,81,0,36,0,36,4,35,336,109,202,91,82,52,0,36,0,36,52,52
43,South Shore,85,77,6,45,0,44,0,44,0,44,6,45,0,44,79,76,62,72,0,44,0,44,12,50,5,43
44,Chatham,23,42,1,35,1,35,0,37,0,37,0,37,0,37,22,43,0,37,11,38,11,42,0,37,0,37
45,Avalon Park,34,42,13,25,0,19,0,19,0,19,0,19,13,25,21,37,0,19,21,37,0,19,0,19,0,19
46,South Chicago,86,102,86,102,61,95,25,53,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37
47,Burnside,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
48,Calumet Heights,14,31,0,27,0,27,0,27,0,27,0,27,0,27,14,31,0,27,0,27,0,27,14,31,0,27
49,Roseland,167,105,89,62,34,45,55,54,0,41,0,41,0,41,78,61,22,45,39,53,0,41,17,49,0,41
50,Pullman,32,43,14,21,7,20,7,20,0,19,0,19,0,19,18,27,6,19,12,19,0,19,0,19,0,19
51,South Deering,49,58,10,27,0,25,0,25,0,25,0,25,10,27,39,56,39,56,0,25,0,25,0,25,0,25
52,East Side,85,87,48,60,18,37,30,39,0,29,0,29,0,29,37,38,8,27,29,40,0,29,0,29,0,29
53,West Pullman,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39
54,Riverdale,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16
55,Hegewisch,17,30,0,19,0,19,0,19,0,19,0,19,0,19,17,30,0,19,17,30,0,19,0,19,0,19
56,Garfield Ridge,548,280,218,133,59,73,134,80,0,42,0,42,25,55,330,172,112,94,167,86,0,42,12,42,39,58
57,Archer Heights,176,163,114,119,53,82,57,49,0,27,0,27,4,26,62,51,6,27,56,48,0,27,0,27,0,27
58,Brighton Park,2304,426,1173,228,382,120,684,137,0,43,51,64,56,78,1131,230,239,94,647,141,17,47,166,80,62,94
59,McKinley Park,2167,341,1079,180,329,109,692,131,28,39,0,25,30,43,1088,205,234,93,662,120,7,25,96,58,89,62
60,Bridgeport,9544,889,4716,523,2037,369,2353,261,81,85,46,49,199,101,4828,502,1654,316,2417,257,111,76,358,121,288,124
61,New City,379,128,206,80,50,58,140,57,16,48,0,47,0,47,173,73,38,57,135,57,0,47,0,47,0,47
62,West Elsdon,260,130,132,64,42,32,62,37,0,27,9,29,19,35,128,77,32,39,92,57,0,27,4,26,0,27
63,Gage Park,375,182,184,111,134,99,50,54,0,41,0,41,0,41,191,103,62,61,80,60,37,54,9,40,3,39
64,Clearing,186,231,40,53,0,31,40,53,0,31,0,31,0,31,146,185,92,142,52,56,0,31,0,31,2,30
65,West Lawn,95,88,38,51,18,39,20,44,0,34,0,34,0,34,57,64,26,54,31,49,0,34,0,34,0,34
66,Chicago Lawn,408,288,199,145,73,84,116,84,10,49,0,49,0,49,209,153,72,89,119,85,0,49,14,51,4,49
67,West Englewood,41,65,15,52,0,48,0,48,0,48,0,48,15,52,26,61,0,48,0,48,0,48,0,48,26,61
68,Englewood,21,40,6,36,3,35,3,35,0,36,0,36,0,36,15,37,1,35,14,37,0,36,0,36,0,36
69,Greater Grand Crossing,25,50,14,43,6,38,8,39,0,38,0,38,0,38,11,38,0,38,7,38,0,38,4,37,0,38
70,Ashburn,99,82,21,41,0,41,21,41,0,41,0,41,0,41,78,65,24,46,41,49,0,41,13,43,0,41
71,Auburn Gresham,57,93,24,60,1,44,23,60,0,46,0,46,0,46,33,62,0,46,33,62,0,46,0,46,0,46
72,Beverly,39,39,0,29,0,29,0,29,0,29,0,29,0,29,39,39,23,37,0,29,0,29,11,33,5,28
73,Washington Heights,2,30,1,30,1,30,0,33,0,33,0,33,0,33,1,29,1,29,0,33,0,33,0,33,0,33
74,Mount Greenwood,117,99,38,38,19,28,19,36,0,25,0,25,0,25,79,72,34,40,45,65,0,25,0,25,0,25
75,Morgan Park,124,91,49,51,0,31,38,52,5,31,6,30,0,31,75,72,20,34,17,35,0,31,0,31,38,68
76,O'Hare,1035,385,502,201,256,138,234,125,0,38,0,38,12,42,533,243,132,103,330,152,15,44,56,77,0,38
77,Edgewater,6361,850,3036,434,1425,273,1386,265,35,61,51,74,139,86,3325,590,1469,488,1525,280,6,49,204,110,121,86
