area_id,area_name,b19037d001,b19037d001_moe,b19037d002,b19037d002_moe,b19037d003,b19037d003_moe,b19037d004,b19037d004_moe,b19037d005,b19037d005_moe,b19037d006,b19037d006_moe,b19037d007,b19037d007_moe,b19037d008,b19037d008_moe,b19037d009,b19037d009_moe,b19037d010,b19037d010_moe,b19037d011,b19037d011_moe,b19037d012,b19037d012_moe,b19037d013,b19037d013_moe,b19037d014,b19037d014_moe,b19037d015,b19037d015_moe,b19037d016,b19037d016_moe,b19037d017,b19037d017_moe,b19037d018,b19037d018_moe,b19037d019,b19037d019_moe,b19037d020,b19037d020_moe,b19037d021,b19037d021_moe,b19037d022,b19037d022_moe,b19037d023,b19037d023_moe,b19037d024,b19037d024_moe,b19037d025,b19037d025_moe,b19037d026,b19037d026_moe,b19037d027,b19037d027_moe,b19037d028,b19037d028_moe,b19037d029,b19037d029_moe,b19037d030,b19037d030_moe,b19037d031,b19037d031_moe,b19037d032,b19037d032_moe,b19037d033,b19037d033_moe,b19037d034,b19037d034_moe,b19037d035,b19037d035_moe,b19037d036,b19037d036_moe,b19037d037,b19037d037_moe,b19037d038,b19037d038_moe,b19037d039,b19037d039_moe,b19037d040,b19037d040_moe,b19037d041,b19037d041_moe,b19037d042,b19037d042_moe,b19037d043,b19037d043_moe,b19037d044,b19037d044_moe,b19037d045,b19037d045_moe,b19037d046,b19037d046_moe,b19037d047,b19037d047_moe,b19037d048,b19037d048_moe,b19037d049,b19037d049_moe,b19037d050,b19037d050_moe,b19037d051,b19037d051_moe,b19037d052,b19037d052_moe,b19037d053,b19037d053_moe,b19037d054,b19037d054_moe,b19037d055,b19037d055_moe,b19037d056,b19037d056_moe,b19037d057,b19037d057_moe,b19037d058,b19037d058_moe,b19037d059,b19037d059_moe,b19037d060,b19037d060_moe,b19037d061,b19037d061_moe,b19037d062,b19037d062_moe,b19037d063,b19037d063_moe,b19037d064,b19037d064_moe,b19037d065,b19037d065_moe,b19037d066,b19037d066_moe,b19037d067,b19037d067_moe,b19037d068,b19037d068_moe,b19037d069,b19037d069_moe
1,Rogers Park,1289,265,61,57,43,55,0,48,0,48,0,48,0,48,6,48,0,48,12,49,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,588,195,71,103,26,54,10,50,0,48,0,48,11,49,3,45,20,56,43,83,20,48,52,76,105,85,75,62,85,80,53,80,14,50,374,147,19,49,45,71,60,80,29,56,43,65,0,48,20,57,37,69,0,48,0,48,0,48,10,47,40,68,0,48,18,49,53,61,266,115,77,86,37,63,23,59,51,65,0,48,0,48,19,51,7,46,15,52,0,48,0,48,0,48,0,48,37,66,0,48,0,48
2,West Ridge,4435,437,188,115,12,54,0,51,0,51,0,51,9,51,20,58,13,54,0,51,8,51,24,63,28,67,0,51,74,91,0,51,0,51,0,51,1704,341,130,106,47,71,74,89,253,158,86,90,267,159,54,86,35,60,177,147,57,74,161,122,137,86,103,92,70,62,19,54,34,60,2075,306,85,71,31,57,149,112,125,94,91,78,42,60,59,78,129,86,157,100,296,149,261,125,276,132,94,81,116,86,93,74,71,74,468,141,81,77,27,56,34,61,21,59,12,52,41,69,16,55,59,66,7,51,52,61,29,57,44,62,0,51,25,55,0,51,20,54
3,Uptown,3327,387,156,106,16,52,11,50,45,57,0,48,45,83,0,48,0,48,0,48,0,48,0,48,0,48,39,70,0,48,0,48,0,48,0,48,1484,302,77,93,106,107,23,52,31,58,61,65,13,50,72,86,100,86,48,54,155,102,208,158,229,113,129,82,102,88,69,62,61,62,783,198,107,73,118,82,118,76,50,71,11,50,31,57,25,59,43,81,0,48,20,54,41,58,150,104,0,48,8,48,13,50,48,61,904,217,414,177,157,118,57,57,30,56,35,61,66,84,0,48,37,63,20,56,16,53,14,50,5,48,36,56,0,48,0,48,17,56
4,Lincoln Square,1607,275,37,56,0,40,0,40,0,40,0,40,0,40,0,40,11,41,0,40,26,55,0,40,0,40,0,40,0,40,0,40,0,40,0,40,817,215,55,69,9,41,49,69,24,46,58,71,44,64,22,48,15,41,61,73,45,46,125,101,108,82,75,67,44,49,65,71,18,40,509,154,29,48,36,69,31,50,29,47,26,56,66,82,8,41,56,61,13,43,46,49,14,44,48,56,42,49,30,48,35,67,0,40,244,88,48,59,0,40,21,49,0,40,0,40,22,43,10,42,4,38,15,43,25,42,17,40,50,49,14,44,0,40,0,40,18,42
5,North Center,650,164,9,44,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,9,44,0,43,0,43,0,43,0,43,0,43,385,124,0,43,0,43,9,44,44,73,4,42,0,43,0,43,0,43,33,54,0,43,59,61,31,50,63,65,39,53,73,54,30,49,160,100,0,43,0,43,7,43,0,43,70,88,0,43,0,43,0,43,0,43,17,50,10,44,25,48,21,46,0,43,10,45,0,43,96,57,13,46,0,43,5,42,9,44,11,45,0,43,0,43,4,42,8,43,0,43,22,47,8,43,11,44,0,43,5,43,0,43
6,Lake View,3933,453,238,105,108,83,11,68,0,66,0,66,27,71,11,68,0,66,11,68,0,66,43,81,16,67,11,67,0,66,0,66,0,66,0,66,2616,396,310,179,44,90,0,66,83,91,111,98,40,71,0,66,39,70,98,84,250,137,262,136,214,130,196,104,292,174,341,144,336,129,632,185,58,77,0,66,0,66,0,66,41,82,0,66,12,67,39,70,90,102,0,66,62,86,125,102,63,74,13,68,55,88,74,82,447,158,143,104,29,70,10,68,38,73,0,66,30,72,46,94,56,85,5,66,0,66,14,69,35,75,21,66,0,66,0,66,20,73
7,Lincoln Park,1917,302,428,145,143,96,45,60,18,58,10,52,0,51,0,51,32,62,0,51,23,54,32,59,51,74,41,69,33,64,0,51,0,51,0,51,1136,235,84,94,46,75,24,56,0,51,0,51,8,51,0,51,34,62,13,54,120,85,108,78,150,96,160,86,153,101,121,78,115,68,254,131,19,53,48,90,8,51,15,54,0,51,0,51,0,51,31,62,0,51,20,57,0,51,75,95,9,51,0,51,12,53,17,51,99,70,8,51,14,54,0,51,9,51,0,51,7,51,8,51,0,51,0,51,0,51,0,51,17,53,0,51,0,51,36,62,0,51
8,Near North Side,5671,590,314,167,88,74,68,118,10,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,98,102,14,58,0,54,36,78,0,54,0,54,4382,529,437,192,43,69,14,58,48,91,116,106,93,77,36,69,86,97,54,63,490,201,557,215,601,237,701,264,209,128,469,178,428,172,704,239,95,158,33,74,12,57,0,54,43,71,13,56,0,54,0,54,0,54,39,69,49,68,181,127,56,75,32,73,28,61,123,86,271,127,13,58,0,54,27,62,13,57,0,54,0,54,21,63,20,62,0,54,45,91,14,58,16,59,14,58,0,54,26,60,62,70
9,Edison Park,74,53,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,35,45,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,13,29,0,25,0,25,22,39,0,25,0,25,0,25,0,25,29,34,0,25,0,25,0,25,15,31,0,25,0,25,0,25,6,25,0,25,0,25,0,25,0,25,0,25,0,25,8,26,0,25,10,27,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,10,27,0,25,0,25,0,25,0,25
10,Norwood Park,522,152,13,41,0,39,0,39,13,41,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,179,110,0,39,0,39,0,39,0,39,0,39,49,83,7,39,0,39,11,41,0,39,28,54,62,65,13,42,0,39,9,39,0,39,264,119,0,39,0,39,0,39,14,41,0,39,0,39,0,39,0,39,11,41,49,86,0,39,11,41,66,51,23,42,21,42,69,76,66,54,0,39,0,39,0,39,12,40,0,39,0,39,0,39,0,39,0,39,13,41,0,39,41,50,0,39,0,39,0,39,0,39
11,Jefferson Park,625,165,7,29,7,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,400,147,0,29,0,29,0,29,0,29,0,29,13,32,29,54,21,36,13,34,0,29,42,53,83,76,28,44,22,43,124,86,25,37,164,76,9,30,0,29,0,29,8,30,0,29,10,32,0,29,0,29,0,29,0,29,43,54,41,44,43,39,10,32,0,29,0,29,54,41,0,29,0,29,9,31,8,30,0,29,0,29,8,30,0,29,0,29,0,29,7,30,0,29,0,29,12,31,10,34,0,29
12,Forest Glen,653,116,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,154,73,0,29,0,29,0,29,0,29,19,30,0,29,0,29,0,29,0,29,10,33,29,53,7,29,37,38,17,38,18,32,17,37,446,114,0,29,0,29,0,29,0,29,0,29,0,29,58,86,2,28,36,36,0,29,96,71,35,49,15,36,43,51,87,67,74,78,53,48,0,29,9,31,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,12,31,0,29,0,29,19,40,7,30,6,29
13,North Park,1433,190,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,546,131,25,39,18,34,60,67,87,87,0,27,9,29,45,57,16,36,0,27,14,33,12,32,186,85,13,31,24,33,23,30,14,32,561,139,74,66,0,27,15,30,20,40,18,35,12,29,6,27,56,42,0,27,72,55,76,54,123,77,54,49,0,27,16,28,19,30,326,105,72,72,14,31,20,31,9,29,0,27,16,34,30,53,9,29,27,28,10,27,5,27,62,54,23,31,7,27,12,30,10,27
