area_id,area_name,b17010g001,b17010g001_moe,b17010g002,b17010g002_moe,b17010g003,b17010g003_moe,b17010g004,b17010g004_moe,b17010g005,b17010g005_moe,b17010g006,b17010g006_moe,b17010g007,b17010g007_moe,b17010g008,b17010g008_moe,b17010g009,b17010g009_moe,b17010g010,b17010g010_moe,b17010g011,b17010g011_moe,b17010g012,b17010g012_moe,b17010g013,b17010g013_moe,b17010g014,b17010g014_moe,b17010g015,b17010g015_moe,b17010g016,b17010g016_moe,b17010g017,b17010g017_moe,b17010g018,b17010g018_moe,b17010g019,b17010g019_moe,b17010g020,b17010g020_moe,b17010g021,b17010g021_moe,b17010g022,b17010g022_moe,b17010g023,b17010g023_moe,b17010g024,b17010g024_moe,b17010g025,b17010g025_moe,b17010g026,b17010g026_moe,b17010g027,b17010g027_moe,b17010g028,b17010g028_moe,b17010g029,b17010g029_moe,b17010g030,b17010g030_moe,b17010g031,b17010g031_moe,b17010g032,b17010g032_moe,b17010g033,b17010g033_moe,b17010g034,b17010g034_moe,b17010g035,b17010g035_moe,b17010g036,b17010g036_moe,b17010g037,b17010g037_moe,b17010g038,b17010g038_moe,b17010g039,b17010g039_moe,b17010g040,b17010g040_moe,b17010g041,b17010g041_moe
1,Rogers Park,194,103,34,59,22,58,0,48,0,48,0,48,0,48,22,58,12,49,0,48,0,48,0,48,0,48,0,48,0,48,12,49,12,49,0,48,0,48,12,49,0,48,160,97,112,84,70,78,24,59,0,48,46,69,42,57,48,66,16,53,16,53,0,48,0,48,16,53,0,48,32,62,27,62,0,48,27,62,0,48,5,48
2,West Ridge,275,131,81,85,20,56,20,56,0,51,15,56,5,51,0,51,61,82,0,51,0,51,0,51,0,51,0,51,0,51,61,82,61,82,31,71,0,51,30,66,0,51,194,110,112,80,44,64,0,51,0,51,44,64,68,72,82,90,40,82,40,82,0,51,40,82,0,51,0,51,42,64,21,56,9,52,0,51,12,54,21,59
3,Uptown,277,156,118,111,0,48,0,48,0,48,0,48,0,48,0,48,118,111,0,48,0,48,0,48,0,48,0,48,0,48,118,111,118,111,0,48,52,93,66,77,0,48,159,120,64,71,29,65,29,65,0,48,0,48,35,53,95,104,37,76,0,48,0,48,0,48,0,48,37,76,58,86,0,48,0,48,0,48,0,48,58,86
4,Lincoln Square,132,84,23,43,0,40,0,40,0,40,0,40,0,40,0,40,23,43,0,40,0,40,0,40,0,40,0,40,0,40,23,43,0,40,0,40,0,40,0,40,23,43,109,77,87,73,4,39,0,40,0,40,4,39,83,74,22,45,13,44,0,40,0,40,0,40,0,40,13,44,9,41,0,40,0,40,0,40,0,40,9,41
5,North Center,58,52,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,58,52,48,50,27,47,27,47,0,43,0,43,21,43,10,44,0,43,0,43,0,43,0,43,0,43,0,43,10,44,0,43,0,43,0,43,0,43,10,44
6,Lake View,180,99,15,69,15,69,0,66,0,66,0,66,0,66,15,69,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,165,98,155,97,75,81,33,71,20,69,22,75,80,85,10,67,10,67,10,67,10,67,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66
7,Lincoln Park,108,76,3,51,0,51,0,51,0,51,0,51,0,51,0,51,3,51,0,51,0,51,0,51,0,51,0,51,0,51,3,51,3,51,0,51,0,51,3,51,0,51,105,76,105,76,57,72,24,66,15,54,18,56,48,55,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51
8,Near North Side,108,83,10,56,0,54,0,54,0,54,0,54,0,54,0,54,10,56,0,54,0,54,0,54,0,54,0,54,0,54,10,56,0,54,0,54,0,54,0,54,10,56,98,82,93,83,25,60,25,60,0,54,0,54,68,76,5,54,0,54,0,54,0,54,0,54,0,54,0,54,5,54,0,54,0,54,0,54,0,54,5,54
9,Edison Park,30,38,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,30,38,30,38,0,25,0,25,0,25,0,25,30,38,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25
10,Norwood Park,108,85,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,108,85,87,84,77,83,41,73,23,50,13,39,10,40,21,43,0,39,0,39,0,39,0,39,0,39,0,39,21,43,12,42,0,39,0,39,12,42,9,40
