area_id,area_name,b11002c001,b11002c001_moe,b11002c002,b11002c002_moe,b11002c003,b11002c003_moe,b11002c004,b11002c004_moe,b11002c005,b11002c005_moe,b11002c006,b11002c006_moe,b11002c007,b11002c007_moe,b11002c008,b11002c008_moe,b11002c009,b11002c009_moe,b11002c010,b11002c010_moe,b11002c011,b11002c011_moe,b11002c012,b11002c012_moe
1,Rogers Park,73,118,64,118,64,118,64,118,0,48,0,48,0,48,0,48,0,48,0,48,0,48,9,48
2,West Ridge,346,279,301,275,135,190,135,190,0,51,118,189,82,136,36,74,48,94,48,94,0,51,45,68
3,Uptown,192,119,106,104,41,77,41,77,0,48,42,77,42,77,0,48,23,59,23,59,0,48,86,72
4,Lincoln Square,253,202,240,201,159,156,159,156,0,40,0,40,0,40,0,40,81,133,81,133,0,40,13,43
5,North Center,169,218,19,50,19,50,19,50,0,43,0,43,0,43,0,43,0,43,0,43,0,43,150,216
6,Lake View,167,160,35,76,35,76,35,76,0,66,0,66,0,66,0,66,0,66,0,66,0,66,132,154
7,Lincoln Park,75,88,45,77,0,51,0,51,0,51,0,51,0,51,0,51,45,77,45,77,0,51,30,67
8,Near North Side,98,102,37,77,0,54,0,54,0,54,0,54,0,54,0,54,37,77,37,77,0,54,61,86
9,Edison Park,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25
10,Norwood Park,64,133,64,133,0,39,0,39,0,39,64,133,49,103,15,46,0,39,0,39,0,39,0,39
11,Jefferson Park,202,224,202,224,202,224,202,224,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29
12,Forest Glen,21,40,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,21,40
13,North Park,31,54,31,54,31,54,31,54,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
14,Albany Park,138,124,101,120,101,120,101,120,0,45,0,45,0,45,0,45,0,45,0,45,0,45,37,51
15,Portage Park,338,261,308,256,182,212,145,183,37,76,0,47,0,47,0,47,126,152,79,98,47,75,30,66
16,Irving Park,210,219,198,218,198,218,198,218,0,47,0,47,0,47,0,47,0,47,0,47,0,47,12,50
17,Dunning,118,135,118,135,54,102,54,102,0,40,0,40,0,40,0,40,64,92,64,92,0,40,0,40
18,Montclare,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23
19,Belmont Cragin,121,159,114,159,87,152,87,152,0,52,0,52,0,52,0,52,27,68,20,61,7,51,7,52
