area_id,area_name,c24010c001,c24010c001_moe,c24010c002,c24010c002_moe,c24010c003,c24010c003_moe,c24010c004,c24010c004_moe,c24010c005,c24010c005_moe,c24010c006,c24010c006_moe,c24010c007,c24010c007_moe,c24010c008,c24010c008_moe,c24010c009,c24010c009_moe,c24010c010,c24010c010_moe,c24010c011,c24010c011_moe,c24010c012,c24010c012_moe,c24010c013,c24010c013_moe
1,Rogers Park,69,86,28,65,0,48,12,49,16,52,0,48,0,48,41,56,38,57,0,48,0,48,0,48,3,47
2,West Ridge,153,130,74,89,9,53,26,66,0,51,0,51,39,77,79,84,0,51,16,57,41,73,0,51,22,62
3,Uptown,116,88,78,78,0,48,19,54,46,72,0,48,13,49,38,59,24,59,13,49,1,45,0,48,0,48
4,Lincoln Square,145,140,14,41,7,40,4,39,0,40,0,40,3,41,131,139,49,66,68,85,14,44,0,40,0,40
5,North Center,32,49,32,49,16,44,0,43,16,48,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43
6,Lake View,174,160,167,160,52,80,12,68,12,67,0,66,91,151,7,66,0,66,7,66,0,66,0,66,0,66
7,Lincoln Park,62,78,48,69,0,51,30,67,14,54,0,51,4,50,14,54,14,54,0,51,0,51,0,51,0,51
8,Near North Side,160,149,22,60,22,60,0,54,0,54,0,54,0,54,138,146,0,54,0,54,56,83,0,54,82,132
9,Edison Park,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25
10,Norwood Park,15,47,15,47,0,39,0,39,15,47,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39
11,Jefferson Park,27,45,27,45,0,29,27,45,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29
12,Forest Glen,21,40,21,40,0,29,0,29,0,29,0,29,21,40,0,29,0,29,0,29,0,29,0,29,0,29
13,North Park,24,36,15,34,0,27,0,27,15,34,0,27,0,27,9,26,0,27,0,27,9,26,0,27,0,27
14,Albany Park,68,73,58,62,9,44,10,45,11,45,0,45,28,51,10,45,10,45,0,45,0,45,0,45,0,45
15,Portage Park,117,134,69,91,0,47,40,59,0,47,16,52,13,49,48,65,28,50,0,47,20,51,0,47,0,47
16,Irving Park,86,87,74,86,1,46,0,47,0,47,66,86,7,48,12,50,12,50,0,47,0,47,0,47,0,47
17,Dunning,12,39,12,39,0,40,6,40,0,40,6,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40
18,Montclare,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23
19,Belmont Cragin,51,63,30,54,0,52,13,54,0,52,10,53,7,51,21,57,6,51,0,52,0,52,0,52,15,55
20,Hermosa,23,38,11,33,0,29,11,33,0,29,0,29,0,29,12,34,0,29,0,29,12,34,0,29,0,29
21,Avondale,168,189,70,83,0,38,0,38,70,83,0,38,0,38,98,138,29,60,24,54,45,61,0,38,0,38
22,Logan Square,23,58,12,59,0,57,0,57,0,57,0,57,12,59,11,57,8,58,0,57,3,56,0,57,0,57
23,Humboldt Park,72,79,47,72,0,51,0,51,24,64,0,51,23,61,25,60,0,51,25,60,0,51,0,51,0,51
24,West Town,173,92,98,79,19,64,16,66,7,63,11,64,45,69,75,79,19,69,31,73,25,64,0,62,0,62
25,Austin,80,123,47,97,0,61,0,61,0,61,0,61,47,97,33,70,0,61,0,61,33,70,0,61,0,61
26,West Garfield Park,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35
27,East Garfield Park,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38
28,Near West Side,96,81,64,76,64,76,0,52,0,52,0,52,0,52,32,57,0,52,25,57,7,52,0,52,0,52
29,North Lawndale,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43
30,South Lawndale,130,89,71,63,0,48,0,48,23,52,9,49,39,60,59,60,15,49,18,51,17,53,0,48,9,49
31,Lower West Side,23,41,20,41,7,42,0,42,0,42,13,41,0,42,3,41,0,42,0,42,3,41,0,42,0,42
32,Loop,17,30,17,30,0,30,10,30,7,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30
33,Near South Side,38,47,25,41,25,41,0,24,0,24,0,24,0,24,13,27,0,24,13,27,0,24,0,24,0,24
34,Armour Square,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
35,Douglas,13,35,13,35,0,35,0,35,7,35,0,35,6,35,0,35,0,35,0,35,0,35,0,35,0,35
36,Oakland,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19
37,Fuller Park,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16
38,Grand Boulevard,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43
39,Kenwood,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31
40,Washington Park,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
41,Hyde Park,19,37,9,36,5,37,0,38,0,38,4,37,0,38,10,39,10,39,0,38,0,38,0,38,0,38
42,Woodlawn,53,57,32,47,0,36,32,47,0,36,0,36,0,36,21,42,0,36,7,37,14,40,0,36,0,36
43,South Shore,19,53,0,44,0,44,0,44,0,44,0,44,0,44,19,53,0,44,19,53,0,44,0,44,0,44
44,Chatham,12,38,0,37,0,37,0,37,0,37,0,37,0,37,12,38,12,38,0,37,0,37,0,37,0,37
45,Avalon Park,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19
46,South Chicago,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37
47,Burnside,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
48,Calumet Heights,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
49,Roseland,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41
50,Pullman,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19
51,South Deering,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25
52,East Side,53,57,24,47,0,29,0,29,0,29,0,29,24,47,29,43,8,30,0,29,21,43,0,29,0,29
53,West Pullman,5,38,0,39,0,39,0,39,0,39,0,39,0,39,5,38,0,39,5,38,0,39,0,39,0,39
54,Riverdale,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16
55,Hegewisch,17,29,0,19,0,19,0,19,0,19,0,19,0,19,17,29,0,19,0,19,0,19,0,19,17,29
56,Garfield Ridge,17,45,17,45,17,45,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42
57,Archer Heights,52,62,31,48,0,27,17,34,14,31,0,27,0,27,21,31,0,27,14,31,0,27,0,27,7,27
58,Brighton Park,79,75,45,49,0,43,4,43,0,43,11,43,30,49,34,57,5,43,0,43,29,56,0,43,0,43
59,McKinley Park,75,58,17,36,0,25,17,36,0,25,0,25,0,25,58,51,8,27,21,29,29,34,0,25,0,25
60,Bridgeport,104,104,55,61,0,37,23,52,14,41,18,45,0,37,49,67,0,37,15,43,0,37,0,37,34,64
61,New City,163,138,85,79,1,46,24,59,0,47,53,68,7,47,78,87,17,49,50,81,11,49,0,47,0,47
62,West Elsdon,18,29,10,30,0,27,0,27,0,27,0,27,10,30,8,27,8,27,0,27,0,27,0,27,0,27
63,Gage Park,64,78,31,49,17,46,14,44,0,41,0,41,0,41,33,48,16,45,0,41,17,43,0,41,0,41
64,Clearing,11,30,0,31,0,31,0,31,0,31,0,31,0,31,11,30,6,31,0,31,0,31,5,31,0,31
65,West Lawn,99,79,79,72,26,47,11,35,0,34,8,33,34,63,20,35,0,34,0,34,20,35,0,34,0,34
66,Chicago Lawn,48,63,35,56,0,49,0,49,0,49,2,48,33,50,13,51,0,49,0,49,0,49,0,49,13,51
67,West Englewood,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48
68,Englewood,6,36,0,36,0,36,0,36,0,36,0,36,0,36,6,36,0,36,0,36,6,36,0,36,0,36
69,Greater Grand Crossing,148,89,92,62,0,38,0,38,0,38,0,38,92,62,56,75,49,75,7,38,0,38,0,38,0,38
70,Ashburn,45,61,45,61,10,40,35,53,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41
