area_id,area_name,b18101h001,b18101h001_moe,b18101h002,b18101h002_moe,b18101h003,b18101h003_moe,b18101h004,b18101h004_moe,b18101h005,b18101h005_moe,b18101h006,b18101h006_moe,b18101h007,b18101h007_moe,b18101h008,b18101h008_moe,b18101h009,b18101h009_moe,b18101h010,b18101h010_moe
1,Rogers Park,21255,1213,1590,323,11,45,1579,323,17732,1033,1394,289,16338,1014,1933,332,809,218,1124,232
2,West Ridge,31205,1836,7100,984,123,114,6977,977,18891,1274,1850,331,17041,1215,5214,487,2287,340,2927,396
3,Uptown,27985,1215,2032,419,55,61,1977,412,23269,1028,1397,307,21872,970,2684,358,1339,272,1345,244
4,Lincoln Square,24042,1179,2972,448,105,95,2867,423,18832,855,829,211,18003,839,2238,366,824,197,1414,289
5,North Center,26332,1042,5097,486,121,86,4976,490,19671,763,614,184,19057,744,1564,230,620,154,944,185
6,Lake View,76966,1762,6969,650,65,89,6904,646,64862,1496,2046,336,62816,1476,5135,438,1910,275,3225,374
7,Lincoln Park,52342,1652,6549,777,241,203,6308,655,42018,1224,1020,218,40998,1225,3775,368,1019,211,2756,327
8,Near North Side,57678,1599,2549,448,77,72,2472,440,44669,1460,1025,232,43644,1457,10460,620,2624,401,7836,580
9,Edison Park,10265,576,1978,308,0,25,1978,308,6717,450,450,157,6267,437,1570,161,519,120,1051,139
10,Norwood Park,29750,1044,5076,582,133,82,4943,580,18219,746,1432,270,16787,747,6455,351,2411,286,4044,321
11,Jefferson Park,18067,1180,3005,592,44,48,2961,591,11753,823,767,202,10986,816,3309,367,1157,219,2152,333
12,Forest Glen,13354,701,2741,328,84,76,2657,334,7891,508,551,165,7340,504,2722,201,891,183,1831,206
13,North Park,9256,837,1634,410,131,149,1503,356,5621,598,530,181,5091,589,2001,302,660,174,1341,303
14,Albany Park,15705,1060,2492,433,72,68,2420,425,11592,756,935,224,10657,728,1621,287,961,228,660,182
15,Portage Park,32291,1375,4485,574,130,83,4355,567,22199,1027,2002,332,20197,974,5607,466,2228,328,3379,351
16,Irving Park,24029,1170,3705,470,106,83,3599,463,17450,911,1645,296,15805,876,2874,348,1129,235,1745,253
17,Dunning,29952,1170,4361,469,125,71,4236,461,20115,927,1397,266,18718,897,5476,343,2084,249,3392,318
18,Montclare,4687,521,334,123,8,20,326,122,3232,470,336,245,2896,398,1121,224,495,154,626,152
19,Belmont Cragin,11780,991,1053,288,23,60,1030,282,7689,770,880,217,6809,734,3038,373,1453,251,1585,260
20,Hermosa,1974,418,95,81,7,30,88,77,1461,345,313,142,1148,300,418,138,163,91,255,117
21,Avondale,10994,824,1097,249,27,56,1070,246,8211,667,530,169,7681,627,1686,280,628,166,1058,223
22,Logan Square,30582,1127,3366,381,14,55,3352,380,25633,958,850,173,24783,956,1583,277,391,103,1192,256
23,Humboldt Park,3003,503,353,168,17,50,336,166,2300,379,221,100,2079,368,350,136,156,92,194,96
24,West Town,47813,1479,4184,489,59,74,4125,488,41513,1255,1245,271,40268,1242,2116,285,753,162,1363,239
25,Austin,4172,446,662,218,30,68,632,209,2726,341,217,119,2509,325,784,182,335,149,449,136
26,West Garfield Park,268,143,24,47,0,35,24,47,224,117,57,51,167,109,20,41,8,37,12,34
27,East Garfield Park,607,209,80,84,0,38,80,84,418,157,47,50,371,150,109,59,60,58,49,45
28,Near West Side,22546,1064,1692,315,40,61,1652,313,19933,908,606,202,19327,869,921,193,203,105,718,171
29,North Lawndale,699,233,100,92,16,47,84,89,551,172,175,108,376,134,48,65,45,66,3,41
30,South Lawndale,2104,515,336,252,0,48,336,252,1435,357,134,81,1301,346,333,147,194,115,139,100
31,Lower West Side,4562,566,152,81,12,45,140,79,3855,531,279,116,3576,478,555,153,285,110,270,107
32,Loop,16638,1236,917,324,34,43,883,318,14220,1141,445,159,13775,1147,1501,258,359,122,1142,232
33,Near South Side,9098,881,834,258,0,24,834,258,7843,820,385,218,7458,749,421,144,199,148,222,112
34,Armour Square,1537,300,219,132,0,27,219,132,1138,218,129,89,1009,219,180,69,58,42,122,53
35,Douglas,2050,344,113,82,0,35,113,82,1857,304,126,65,1731,298,80,53,20,36,60,44
36,Oakland,180,147,34,50,0,19,34,50,146,106,0,19,146,106,0,19,0,19,0,19
37,Fuller Park,66,50,23,25,0,16,23,25,34,34,2,12,32,33,9,17,9,17,0,16
38,Grand Boulevard,911,357,268,187,10,44,258,180,587,184,58,52,529,168,56,54,32,49,24,48
39,Kenwood,3041,380,384,132,0,31,384,132,2166,314,110,98,2056,324,491,123,114,73,377,109
40,Washington Park,19,30,0,27,0,27,0,27,19,30,10,32,9,24,0,27,0,27,0,27
41,Hyde Park,12367,861,1369,285,5,37,1364,285,9352,734,427,130,8925,730,1646,224,598,156,1048,175
42,Woodlawn,1608,277,122,66,0,36,122,66,1441,250,118,68,1323,236,45,44,15,38,30,42
43,South Shore,547,194,27,53,0,44,27,53,331,115,42,50,289,112,189,96,50,63,139,88
44,Chatham,178,105,0,37,0,37,0,37,128,95,59,80,69,63,50,52,30,45,20,43
45,Avalon Park,168,176,0,19,0,19,0,19,151,174,0,19,151,174,17,27,0,19,17,27
46,South Chicago,922,304,187,123,35,49,152,95,534,207,157,84,377,159,201,85,131,75,70,50
47,Burnside,20,31,0,11,0,11,0,11,20,31,0,11,20,31,0,11,0,11,0,11
48,Calumet Heights,195,92,0,27,0,27,0,27,109,68,10,28,99,65,86,59,38,44,48,39
49,Roseland,463,152,55,63,0,41,55,63,328,112,63,57,265,102,80,60,43,52,37,50
50,Pullman,522,143,29,65,0,19,29,65,431,121,36,34,395,116,62,34,9,18,53,34
51,South Deering,884,329,165,171,39,62,126,116,497,157,107,65,390,147,222,100,117,72,105,58
52,East Side,4091,539,416,159,0,29,416,159,2339,377,302,95,2037,364,1336,227,540,136,796,180
53,West Pullman,390,169,79,77,0,39,79,77,248,127,39,55,209,126,63,63,0,39,63,63
54,Riverdale,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16
55,Hegewisch,3977,510,310,123,38,43,272,121,2468,352,326,140,2142,314,1199,264,503,181,696,197
56,Garfield Ridge,17886,855,2790,389,60,59,2730,377,11219,648,981,214,10238,660,3877,303,1523,230,2354,271
57,Archer Heights,3002,461,402,188,14,31,388,187,1904,325,120,51,1784,319,696,129,225,76,471,108
58,Brighton Park,3617,508,201,104,27,48,174,98,2184,379,338,121,1846,342,1232,210,740,152,492,142
59,McKinley Park,2978,463,524,281,16,33,508,277,1845,287,275,115,1570,262,609,134,347,103,262,81
60,Bridgeport,10754,740,1415,288,17,37,1398,285,7681,554,554,141,7127,543,1658,237,864,161,794,155
61,New City,5757,649,1101,273,33,51,1068,268,3982,468,610,161,3372,420,674,151,365,107,309,96
62,West Elsdon,3370,449,176,80,17,32,159,74,2133,333,132,65,2001,330,1061,178,489,121,572,142
63,Gage Park,1872,382,160,146,0,41,160,146,1022,249,161,94,861,222,690,147,377,108,313,102
64,Clearing,11775,651,1554,298,0,31,1554,298,7700,549,728,186,6972,555,2521,271,814,164,1707,249
65,West Lawn,5514,651,611,287,72,57,539,272,3290,461,518,168,2772,417,1613,245,649,148,964,219
66,Chicago Lawn,1898,378,182,101,0,49,182,101,1120,267,153,91,967,240,596,164,256,95,340,122
67,West Englewood,426,190,110,109,0,48,110,109,231,103,62,59,169,89,85,66,0,48,85,66
68,Englewood,154,97,0,36,0,36,0,36,149,97,31,35,118,96,5,32,4,33,1,35
69,Greater Grand Crossing,180,113,0,38,0,38,0,38,175,113,23,40,152,111,5,38,5,38,0,38
70,Ashburn,7063,876,768,235,8,41,760,234,4176,732,433,133,3743,718,2119,218,869,159,1250,190
71,Auburn Gresham,135,79,6,46,0,46,6,46,88,69,34,50,54,63,41,58,28,52,13,45
72,Beverly,12358,583,3313,324,52,45,3261,321,7367,383,390,106,6977,376,1678,162,536,122,1142,161
73,Washington Heights,155,167,21,46,0,33,21,46,73,61,4,28,69,63,61,88,1,31,60,88
74,Mount Greenwood,16318,783,3914,406,143,85,3771,393,10362,504,503,137,9859,502,2042,225,924,185,1118,186
75,Morgan Park,7032,482,1687,231,39,42,1648,233,4227,367,293,169,3934,311,1118,222,568,168,550,153
76,O'Hare,10087,1175,1788,701,0,38,1788,701,7049,659,488,202,6561,689,1250,210,443,160,807,180
77,Edgewater,29203,1226,2367,446,28,52,2339,441,22762,1007,1511,330,21251,970,4074,394,1798,277,2276,309
