area_id,area_name,c23002c001,c23002c001_moe,c23002c002,c23002c002_moe,c23002c003,c23002c003_moe,c23002c004,c23002c004_moe,c23002c005,c23002c005_moe,c23002c006,c23002c006_moe,c23002c007,c23002c007_moe,c23002c008,c23002c008_moe,c23002c009,c23002c009_moe,c23002c010,c23002c010_moe,c23002c011,c23002c011_moe,c23002c012,c23002c012_moe,c23002c013,c23002c013_moe,c23002c014,c23002c014_moe,c23002c015,c23002c015_moe,c23002c016,c23002c016_moe,c23002c017,c23002c017_moe,c23002c018,c23002c018_moe,c23002c019,c23002c019_moe,c23002c020,c23002c020_moe,c23002c021,c23002c021_moe,c23002c022,c23002c022_moe,c23002c023,c23002c023_moe,c23002c024,c23002c024_moe,c23002c025,c23002c025_moe,c23002c026,c23002c026_moe,c23002c027,c23002c027_moe
1,Rogers Park,88,102,28,65,28,65,28,65,0,48,28,65,28,65,0,48,0,48,0,48,0,48,0,48,0,48,0,48,60,67,52,66,41,56,0,48,41,56,41,56,0,48,11,49,8,48,0,48,0,48,0,48,8,48
2,West Ridge,231,180,103,95,88,92,74,89,0,51,74,89,74,89,0,51,14,56,15,57,0,51,0,51,0,51,15,57,128,124,99,119,74,91,0,51,74,91,57,76,17,58,25,65,29,63,22,62,22,62,0,51,7,52
3,Uptown,211,119,163,110,144,97,78,78,0,48,78,78,78,78,0,48,66,74,19,53,0,48,0,48,0,48,19,53,48,61,48,61,48,61,0,48,48,61,38,59,10,48,0,48,0,48,0,48,0,48,0,48,0,48
4,Lincoln Square,216,169,40,53,27,44,18,43,0,40,18,43,14,41,4,39,9,41,13,43,0,40,0,40,0,40,13,43,176,152,176,152,131,139,0,40,131,139,131,139,0,40,45,61,0,40,0,40,0,40,0,40,0,40
5,North Center,81,70,68,68,68,68,62,68,0,43,62,68,32,49,30,63,6,43,0,43,0,43,0,43,0,43,0,43,13,46,13,46,0,43,0,43,0,43,0,43,0,43,13,46,0,43,0,43,0,43,0,43,0,43
6,Lake View,210,164,174,160,174,160,167,160,0,66,167,160,167,160,0,66,7,66,0,66,0,66,0,66,0,66,0,66,36,68,21,65,12,66,0,66,12,66,7,66,5,66,9,66,15,69,0,66,0,66,0,66,15,69
7,Lincoln Park,122,88,59,70,53,69,48,69,0,51,48,69,48,69,0,51,5,51,6,51,0,51,0,51,0,51,6,51,63,65,58,65,40,62,0,51,40,62,14,54,26,59,18,54,5,50,0,51,0,51,0,51,5,50
8,Near North Side,213,158,22,60,22,60,22,60,0,54,22,60,22,60,0,54,0,54,0,54,0,54,0,54,0,54,0,54,191,156,191,156,138,146,0,54,138,146,138,146,0,54,53,72,0,54,0,54,0,54,0,54,0,54
9,Edison Park,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25
10,Norwood Park,37,71,15,47,15,47,15,47,0,39,15,47,15,47,0,39,0,39,0,39,0,39,0,39,0,39,0,39,22,47,22,47,0,39,0,39,0,39,0,39,0,39,22,47,0,39,0,39,0,39,0,39,0,39
11,Jefferson Park,47,52,27,45,27,45,27,45,0,29,27,45,27,45,0,29,0,29,0,29,0,29,0,29,0,29,0,29,20,39,20,39,0,29,0,29,0,29,0,29,0,29,20,39,0,29,0,29,0,29,0,29,0,29
12,Forest Glen,21,40,21,40,21,40,21,40,0,29,21,40,21,40,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29
13,North Park,42,48,30,41,30,41,30,41,0,27,30,41,15,34,15,33,0,27,0,27,0,27,0,27,0,27,0,27,12,22,12,22,9,26,0,27,9,26,9,26,0,27,3,23,0,27,0,27,0,27,0,27,0,27
14,Albany Park,113,96,71,65,71,65,71,65,0,45,71,65,58,62,13,48,0,45,0,45,0,45,0,45,0,45,0,45,42,61,10,45,10,45,0,45,10,45,10,45,0,45,0,45,32,54,0,45,0,45,0,45,32,54
15,Portage Park,141,139,81,92,81,92,76,92,0,47,76,92,69,91,7,48,5,47,0,47,0,47,0,47,0,47,0,47,60,68,60,68,48,65,0,47,48,65,48,65,0,47,12,49,0,47,0,47,0,47,0,47,0,47
16,Irving Park,136,131,75,85,75,85,74,86,0,47,74,86,74,86,0,47,1,46,0,47,0,47,0,47,0,47,0,47,61,86,49,84,0,47,0,47,0,47,0,47,0,47,49,84,12,50,12,50,12,50,0,47,0,47
17,Dunning,86,97,71,80,71,80,12,39,0,40,12,39,12,39,0,40,59,80,0,40,0,40,0,40,0,40,0,40,15,44,15,44,15,44,0,40,15,44,0,40,15,44,0,40,0,40,0,40,0,40,0,40,0,40
18,Montclare,1,16,1,16,1,16,0,23,0,23,0,23,0,23,0,23,1,16,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23
19,Belmont Cragin,107,101,42,54,42,54,35,53,0,52,35,53,30,54,5,52,7,52,0,52,0,52,0,52,0,52,0,52,65,82,57,81,21,57,0,52,21,57,21,57,0,52,36,78,8,53,0,52,0,52,0,52,8,53
20,Hermosa,33,49,11,33,11,33,11,33,0,29,11,33,11,33,0,29,0,29,0,29,0,29,0,29,0,29,0,29,22,37,22,37,12,34,0,29,12,34,12,34,0,29,10,33,0,29,0,29,0,29,0,29,0,29
21,Avondale,253,240,100,115,100,115,100,115,0,38,100,115,70,83,30,61,0,38,0,38,0,38,0,38,0,38,0,38,153,150,138,145,98,138,0,38,98,138,98,138,0,38,40,60,15,45,0,38,0,38,0,38,15,45
