area_id,area_name,b19001c001,b19001c001_moe,b19001c002,b19001c002_moe,b19001c003,b19001c003_moe,b19001c004,b19001c004_moe,b19001c005,b19001c005_moe,b19001c006,b19001c006_moe,b19001c007,b19001c007_moe,b19001c008,b19001c008_moe,b19001c009,b19001c009_moe,b19001c010,b19001c010_moe,b19001c011,b19001c011_moe,b19001c012,b19001c012_moe,b19001c013,b19001c013_moe,b19001c014,b19001c014_moe,b19001c015,b19001c015_moe,b19001c016,b19001c016_moe,b19001c017,b19001c017_moe
1,Rogers Park,21,50,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,21,50,0,48,0,48,0,48,0,48,0,48,0,48
2,West Ridge,127,100,14,56,0,51,0,51,0,51,0,51,0,51,61,85,0,51,26,66,0,51,7,52,10,53,0,51,0,51,9,53,0,51
3,Uptown,139,85,70,70,0,48,19,55,13,49,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,13,49,24,59,0,48
4,Lincoln Square,98,81,0,40,0,40,0,40,13,43,0,40,0,40,3,41,0,40,0,40,31,58,34,65,13,43,4,39,0,40,0,40,0,40
5,North Center,54,68,16,48,30,63,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,8,43,0,43
6,Lake View,148,154,26,69,7,66,15,69,0,66,0,66,0,66,9,66,0,66,0,66,0,66,91,151,0,66,0,66,0,66,0,66,0,66
7,Lincoln Park,56,74,0,51,0,51,0,51,0,51,0,51,0,51,0,51,26,59,0,51,30,67,0,51,0,51,0,51,0,51,0,51,0,51
8,Near North Side,76,88,35,65,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,41,81,0,54,0,54,0,54
9,Edison Park,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25
10,Norwood Park,15,47,0,39,0,39,0,39,0,39,0,39,0,39,15,47,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39
11,Jefferson Park,47,52,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,47,52,0,29,0,29,0,29,0,29
12,Forest Glen,21,40,0,29,0,29,0,29,0,29,0,29,0,29,0,29,21,40,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29
13,North Park,15,34,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,15,34,0,27,0,27
14,Albany Park,61,56,0,45,0,45,27,51,0,45,10,45,0,45,0,45,0,45,0,45,0,45,13,48,0,45,11,45,0,45,0,45,0,45
15,Portage Park,62,60,0,47,0,47,0,47,0,47,0,47,12,49,17,53,0,47,0,47,0,47,10,47,0,47,0,47,0,47,23,51,0,47
16,Irving Park,103,107,0,47,0,47,0,47,0,47,0,47,0,47,12,50,0,47,49,84,0,47,0,47,0,47,42,79,0,47,0,47,0,47
17,Dunning,31,51,15,44,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,10,47,0,40,0,40,6,40,0,40
18,Montclare,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23
19,Belmont Cragin,26,53,7,52,0,52,0,52,13,54,0,52,0,52,0,52,0,52,0,52,0,52,0,52,6,51,0,52,0,52,0,52,0,52
20,Hermosa,10,33,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,10,33,0,29,0,29,0,29,0,29,0,29,0,29
21,Avondale,85,83,0,38,0,38,9,40,0,38,6,38,0,38,0,38,0,38,0,38,0,38,25,55,0,38,0,38,45,73,0,38,0,38
22,Logan Square,53,74,0,57,0,57,0,57,8,58,0,57,0,57,0,57,0,57,42,75,3,56,0,57,0,57,0,57,0,57,0,57,0,57
23,Humboldt Park,80,79,0,51,0,51,0,51,0,51,57,72,0,51,0,51,0,51,0,51,0,51,23,61,0,51,0,51,0,51,0,51,0,51
24,West Town,147,88,19,62,12,64,23,67,0,62,17,66,23,72,0,62,27,69,0,62,9,63,17,64,0,62,0,62,0,62,0,62,0,62
25,Austin,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61
26,West Garfield Park,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35
27,East Garfield Park,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38
28,Near West Side,99,80,20,54,0,52,0,52,15,54,0,52,0,52,4,51,0,52,0,52,0,52,0,52,19,55,0,52,0,52,41,75,0,52
29,North Lawndale,3,42,0,43,3,42,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43
30,South Lawndale,86,55,5,47,12,47,8,48,11,50,9,49,0,48,0,48,0,48,5,47,0,48,13,48,23,52,0,48,0,48,0,48,0,48
31,Lower West Side,43,45,0,42,11,44,0,42,0,42,0,42,0,42,9,42,0,42,13,41,7,42,0,42,3,41,0,42,0,42,0,42,0,42
32,Loop,24,37,17,37,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,7,30,0,30,0,30,0,30,0,30,0,30
33,Near South Side,38,47,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,13,27,25,41,0,24,0,24,0,24,0,24
34,Armour Square,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
35,Douglas,7,35,0,35,0,35,0,35,0,35,7,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35
36,Oakland,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19
37,Fuller Park,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16
38,Grand Boulevard,13,46,13,46,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43
39,Kenwood,64,62,0,31,27,46,0,31,0,31,37,50,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31
