area_id,area_name,c21001d001,c21001d001_moe,c21001d002,c21001d002_moe,c21001d003,c21001d003_moe,c21001d004,c21001d004_moe,c21001d005,c21001d005_moe,c21001d006,c21001d006_moe,c21001d007,c21001d007_moe,c21001d008,c21001d008_moe,c21001d009,c21001d009_moe,c21001d010,c21001d010_moe,c21001d011,c21001d011_moe,c21001d012,c21001d012_moe,c21001d013,c21001d013_moe,c21001d014,c21001d014_moe,c21001d015,c21001d015_moe
1,Rogers Park,3381,767,1434,342,1248,325,16,48,1232,324,186,98,0,48,186,98,1947,501,1645,477,37,68,1608,474,302,118,0,48,302,118
2,West Ridge,13180,1560,6757,950,5995,874,14,57,5981,875,762,212,89,75,673,203,6423,748,5499,657,0,51,5499,657,924,234,0,51,924,234
3,Uptown,5727,696,2674,489,2316,464,49,62,2267,466,358,151,39,60,319,149,3053,441,2189,382,0,48,2189,382,864,241,15,52,849,240
4,Lincoln Square,3325,560,1657,354,1457,312,59,60,1398,302,200,110,41,51,159,103,1668,307,1410,280,7,39,1403,278,258,99,0,40,258,99
5,North Center,1303,323,628,205,514,191,18,45,496,190,114,70,9,44,105,68,675,182,530,157,0,43,530,157,145,82,0,43,145,82
6,Lake View,5906,649,2596,367,2390,363,46,86,2344,363,206,103,0,66,206,103,3310,456,2912,432,0,66,2912,432,398,159,0,66,398,159
7,Lincoln Park,3222,425,1667,299,1576,295,60,91,1516,285,91,73,16,52,75,68,1555,268,1537,267,0,51,1537,267,18,53,0,51,18,53
8,Near North Side,8135,844,3619,514,3462,505,23,61,3439,505,157,110,0,54,157,110,4516,571,4279,556,0,54,4279,556,237,132,0,54,237,132
9,Edison Park,138,101,65,61,65,61,22,39,43,50,0,25,0,25,0,25,73,55,63,54,0,25,63,54,10,27,0,25,10,27
10,Norwood Park,1415,403,624,237,570,236,0,39,570,236,54,52,16,45,38,46,791,209,604,188,0,39,604,188,187,102,0,39,187,102
11,Jefferson Park,2000,636,936,306,811,289,5,28,806,289,125,84,0,29,125,84,1064,351,970,343,0,29,970,343,94,75,0,29,94,75
12,Forest Glen,1767,282,834,157,758,162,0,29,758,162,76,54,19,40,57,43,933,190,811,144,0,29,811,144,122,99,0,29,122,99
13,North Park,3758,511,1588,259,1326,255,75,101,1251,240,262,90,17,27,245,87,2170,321,1675,278,0,27,1675,278,495,161,18,36,477,157
14,Albany Park,5762,899,2888,537,2366,498,138,104,2228,485,522,149,60,61,462,145,2874,454,2208,394,0,45,2208,394,666,160,0,45,666,160
15,Portage Park,2357,565,1100,287,1014,278,0,47,1014,278,86,61,26,52,60,57,1257,342,1039,298,0,47,1039,298,218,98,0,47,218,98
16,Irving Park,3499,669,1464,336,1183,285,62,83,1121,265,281,131,0,47,281,131,2035,418,1747,361,0,47,1747,361,288,129,0,47,288,129
17,Dunning,1367,356,529,167,436,153,22,43,414,151,93,54,0,40,93,54,838,225,747,203,0,40,747,203,91,68,0,40,91,68
18,Montclare,329,189,135,85,135,85,0,23,135,85,0,23,0,23,0,23,194,115,189,115,0,23,189,115,5,19,0,23,5,19
19,Belmont Cragin,922,318,339,133,303,127,9,54,294,126,36,51,0,52,36,51,583,216,474,191,0,52,474,191,109,75,0,52,109,75
20,Hermosa,111,79,73,65,56,58,0,29,56,58,17,33,8,30,9,31,38,45,38,45,0,29,38,45,0,29,0,29,0,29
21,Avondale,1058,362,475,195,425,170,0,38,425,170,50,65,0,38,50,65,583,197,514,190,0,38,514,190,69,53,0,38,69,53
22,Logan Square,1922,342,830,205,808,204,27,67,781,201,22,60,0,57,22,60,1092,214,1005,207,0,57,1005,207,87,72,0,57,87,72
23,Humboldt Park,147,121,45,60,45,60,0,51,45,60,0,51,0,51,0,51,102,91,84,89,0,51,84,89,18,52,0,51,18,52
24,West Town,2925,411,1414,290,1404,290,4,62,1400,289,10,63,0,62,10,63,1511,245,1483,241,1,61,1482,241,28,64,0,62,28,64
25,Austin,341,167,150,105,128,95,11,62,117,93,22,65,0,61,22,65,191,103,148,94,0,61,148,94,43,70,0,61,43,70
26,West Garfield Park,18,41,18,41,18,41,0,35,18,41,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35
27,East Garfield Park,87,59,19,42,19,42,0,38,19,42,0,38,0,38,0,38,68,53,61,50,12,44,49,44,7,39,0,38,7,39
28,Near West Side,7401,731,3895,540,3757,538,30,58,3727,539,138,92,0,52,138,92,3506,441,3343,430,14,55,3329,429,163,98,0,52,163,98
29,North Lawndale,54,72,20,44,20,44,0,43,20,44,0,43,0,43,0,43,34,69,34,69,0,43,34,69,0,43,0,43,0,43
30,South Lawndale,102,73,74,55,74,55,0,48,74,55,0,48,0,48,0,48,28,53,11,46,0,48,11,46,17,55,0,48,17,55
31,Lower West Side,390,162,189,110,189,110,0,42,189,110,0,42,0,42,0,42,201,114,198,113,0,42,198,113,3,41,0,42,3,41
32,Loop,4234,659,1712,375,1604,375,0,30,1604,375,108,68,0,30,108,68,2522,486,2362,484,0,30,2362,484,160,106,0,30,160,106
33,Near South Side,3195,586,1438,344,1346,338,16,31,1330,336,92,76,4,18,88,75,1757,451,1512,409,0,24,1512,409,245,220,0,24,245,220
34,Armour Square,7600,578,3734,362,2855,373,133,123,2722,374,879,205,47,53,832,205,3866,341,2589,326,0,27,2589,326,1277,203,0,27,1277,203
35,Douglas,2157,462,1242,289,1221,287,0,35,1221,287,21,42,0,35,21,42,915,263,868,260,0,35,868,260,47,51,0,35,47,51
36,Oakland,57,65,4,17,4,17,0,19,4,17,0,19,0,19,0,19,53,64,34,39,0,19,34,39,19,35,0,19,19,35
37,Fuller Park,11,19,11,19,0,16,0,16,0,16,11,19,11,19,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16
38,Grand Boulevard,60,58,52,53,37,52,0,43,37,52,15,44,0,43,15,44,8,43,8,43,0,43,8,43,0,43,0,43,0,43
39,Kenwood,1001,286,474,189,430,183,0,31,430,183,44,50,0,31,44,50,527,201,514,199,0,31,514,199,13,32,0,31,13,32
40,Washington Park,9,28,0,27,0,27,0,27,0,27,0,27,0,27,0,27,9,28,0,27,0,27,0,27,9,28,0,27,9,28
41,Hyde Park,2565,388,1222,243,1119,230,5,38,1114,230,103,79,8,39,95,79,1343,234,1275,230,0,38,1275,230,68,50,0,38,68,50
42,Woodlawn,589,162,253,106,244,103,0,36,244,103,9,38,0,36,9,38,336,109,327,108,0,36,327,108,9,37,0,36,9,37
43,South Shore,85,77,6,45,0,44,0,44,0,44,6,45,0,44,6,45,79,76,67,71,0,44,67,71,12,50,0,44,12,50
44,Chatham,23,42,1,35,1,35,0,37,1,35,0,37,0,37,0,37,22,43,22,43,0,37,22,43,0,37,0,37,0,37
45,Avalon Park,34,42,13,25,13,25,0,19,13,25,0,19,0,19,0,19,21,37,21,37,0,19,21,37,0,19,0,19,0,19
