area_id,area_name,c27001g001,c27001g001_moe,c27001g002,c27001g002_moe,c27001g003,c27001g003_moe,c27001g004,c27001g004_moe,c27001g005,c27001g005_moe,c27001g006,c27001g006_moe,c27001g007,c27001g007_moe,c27001g008,c27001g008_moe,c27001g009,c27001g009_moe,c27001g010,c27001g010_moe
1,Rogers Park,2035,410,883,251,879,250,4,47,1107,260,819,232,288,118,45,61,45,61,0,48
2,West Ridge,2042,578,1218,436,1154,428,64,92,677,238,432,193,245,141,147,91,124,83,23,61
3,Uptown,1692,490,535,279,513,273,22,57,1064,303,708,255,356,173,93,74,93,74,0,48
4,Lincoln Square,1046,279,356,141,348,138,8,47,601,208,449,153,152,131,89,79,89,79,0,40
5,North Center,876,311,415,273,415,273,0,43,399,118,289,102,110,72,62,54,62,54,0,43
6,Lake View,1827,371,681,243,681,243,0,66,1129,248,937,227,192,111,17,71,17,71,0,66
7,Lincoln Park,1070,270,373,151,373,151,0,51,658,191,607,187,51,61,39,70,39,70,0,51
8,Near North Side,1379,374,364,199,321,189,43,83,936,289,710,220,226,193,79,83,79,83,0,54
9,Edison Park,196,137,78,90,78,90,0,25,94,87,94,87,0,25,24,34,24,34,0,25
10,Norwood Park,880,391,535,305,525,305,10,41,335,158,253,137,82,91,10,40,10,40,0,39
11,Jefferson Park,652,248,299,156,299,156,0,29,347,137,296,122,51,65,6,29,6,29,0,29
12,Forest Glen,447,208,303,178,303,178,0,29,144,73,104,62,40,51,0,29,0,29,0,29
13,North Park,469,211,80,74,80,74,0,27,377,191,300,173,77,71,12,26,12,26,0,27
14,Albany Park,1965,456,916,319,888,315,28,48,969,267,804,233,165,85,80,63,80,63,0,45
15,Portage Park,2379,531,1281,368,1160,336,121,152,1076,307,917,289,159,108,22,47,22,47,0,47
16,Irving Park,1301,306,594,218,572,218,22,48,668,191,597,180,71,72,39,55,39,55,0,47
17,Dunning,519,212,165,92,165,92,0,40,346,171,179,93,167,117,8,39,8,39,0,40
18,Montclare,134,76,63,51,63,51,0,23,71,57,71,57,0,23,0,23,0,23,0,23
19,Belmont Cragin,1766,567,750,289,705,282,45,72,933,349,723,296,210,119,83,73,83,73,0,52
20,Hermosa,484,177,119,64,100,61,19,33,337,143,191,105,146,102,28,33,17,30,11,33
21,Avondale,1098,339,499,239,404,218,95,79,574,223,284,118,290,149,25,43,14,42,11,40
22,Logan Square,1651,352,794,273,667,210,127,185,844,207,772,195,72,78,13,57,13,57,0,57
23,Humboldt Park,1070,349,427,212,427,212,0,51,570,208,475,198,95,73,73,73,73,73,0,51
24,West Town,1784,364,616,224,614,224,2,62,1052,225,815,195,237,117,116,91,116,91,0,62
25,Austin,662,238,301,163,237,117,64,99,279,141,165,121,114,102,82,71,82,71,0,61
26,West Garfield Park,67,67,10,36,10,36,0,35,44,49,33,48,11,37,13,39,13,39,0,35
27,East Garfield Park,120,68,50,52,50,52,0,38,50,43,50,43,0,38,20,42,20,42,0,38
28,Near West Side,1346,258,415,133,407,133,8,52,926,222,809,198,117,83,5,51,5,51,0,52
29,North Lawndale,279,147,132,90,132,90,0,43,133,89,128,88,5,42,14,47,14,47,0,43
30,South Lawndale,424,193,120,91,102,83,18,61,225,109,114,75,111,87,79,69,61,64,18,55
31,Lower West Side,976,313,323,157,314,157,9,40,639,226,543,217,96,64,14,44,14,44,0,42
32,Loop,644,256,238,160,238,160,0,30,406,155,367,152,39,43,0,30,0,30,0,30
33,Near South Side,694,353,375,260,375,260,0,24,183,125,183,125,0,24,136,171,136,171,0,24
34,Armour Square,438,329,154,145,68,65,86,131,245,197,72,77,173,184,39,41,39,41,0,27
