area_id,area_name,b19101c001,b19101c001_moe,b19101c002,b19101c002_moe,b19101c003,b19101c003_moe,b19101c004,b19101c004_moe,b19101c005,b19101c005_moe,b19101c006,b19101c006_moe,b19101c007,b19101c007_moe,b19101c008,b19101c008_moe,b19101c009,b19101c009_moe,b19101c010,b19101c010_moe,b19101c011,b19101c011_moe,b19101c012,b19101c012_moe,b19101c013,b19101c013_moe,b19101c014,b19101c014_moe,b19101c015,b19101c015_moe,b19101c016,b19101c016_moe,b19101c017,b19101c017_moe
1,Rogers Park,12,49,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,12,49,0,48,0,48,0,48,0,48,0,48,0,48
2,West Ridge,82,89,0,51,39,77,0,51,0,51,0,51,0,51,0,51,0,51,26,66,0,51,7,52,10,53,0,51,0,51,0,51,0,51
3,Uptown,53,64,29,53,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,24,59,0,48
4,Lincoln Square,85,79,0,40,0,40,0,40,0,40,0,40,0,40,3,41,0,40,0,40,31,58,34,65,13,43,4,39,0,40,0,40,0,40
5,North Center,8,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,8,43,0,43
6,Lake View,16,66,0,66,7,66,0,66,0,66,0,66,0,66,9,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66
7,Lincoln Park,26,59,0,51,0,51,0,51,0,51,0,51,0,51,0,51,26,59,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51
8,Near North Side,15,58,15,58,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54
9,Edison Park,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25
10,Norwood Park,15,47,0,39,0,39,0,39,15,47,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39
11,Jefferson Park,47,52,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,47,52,0,29,0,29,0,29,0,29
12,Forest Glen,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29
13,North Park,15,34,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,15,34,0,27,0,27
14,Albany Park,24,48,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,13,48,0,45,11,45,0,45,0,45,0,45
15,Portage Park,50,56,0,47,0,47,0,47,0,47,0,47,17,53,5,47,0,47,0,47,0,47,5,47,0,47,0,47,0,47,23,51,0,47
16,Irving Park,91,105,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,49,84,0,47,0,47,0,47,42,79,0,47,0,47,0,47
17,Dunning,31,51,15,44,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,10,47,0,40,0,40,6,40,0,40
18,Montclare,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23
19,Belmont Cragin,19,53,0,52,0,52,0,52,13,54,0,52,0,52,6,51,0,52,0,52,0,52,0,52,0,52,0,52,0,52,0,52,0,52
20,Hermosa,10,33,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,10,33,0,29,0,29,0,29,0,29,0,29,0,29
21,Avondale,85,83,9,40,0,38,0,38,0,38,6,38,0,38,0,38,0,38,0,38,0,38,25,55,0,38,0,38,45,73,0,38,0,38
22,Logan Square,42,75,0,57,0,57,0,57,0,57,0,57,0,57,0,57,0,57,42,75,0,57,0,57,0,57,0,57,0,57,0,57,0,57
23,Humboldt Park,67,76,0,51,0,51,0,51,0,51,44,68,0,51,0,51,0,51,0,51,0,51,23,61,0,51,0,51,0,51,0,51,0,51
24,West Town,54,76,8,63,0,62,0,62,17,66,0,62,23,72,0,62,0,62,0,62,0,62,6,62,0,62,0,62,0,62,0,62,0,62
25,Austin,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61
26,West Garfield Park,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35
27,East Garfield Park,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38
28,Near West Side,50,74,0,52,0,52,0,52,0,52,0,52,0,52,4,51,0,52,0,52,0,52,0,52,5,51,0,52,0,52,41,75,0,52
29,North Lawndale,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43
30,South Lawndale,62,51,13,48,12,47,0,48,0,48,9,49,0,48,0,48,0,48,5,47,0,48,13,48,10,49,0,48,0,48,0,48,0,48
31,Lower West Side,24,43,0,42,11,44,0,42,0,42,0,42,0,42,0,42,0,42,13,41,0,42,0,42,0,42,0,42,0,42,0,42,0,42
32,Loop,7,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,7,30,0,30,0,30,0,30,0,30,0,30
33,Near South Side,13,27,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,13,27,0,24,0,24,0,24,0,24,0,24
34,Armour Square,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
35,Douglas,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35
