area_id,area_name,b14007d001,b14007d001_moe,b14007d002,b14007d002_moe,b14007d003,b14007d003_moe,b14007d004,b14007d004_moe,b14007d005,b14007d005_moe,b14007d006,b14007d006_moe,b14007d007,b14007d007_moe,b14007d008,b14007d008_moe,b14007d009,b14007d009_moe,b14007d010,b14007d010_moe,b14007d011,b14007d011_moe,b14007d012,b14007d012_moe,b14007d013,b14007d013_moe,b14007d014,b14007d014_moe,b14007d015,b14007d015_moe,b14007d016,b14007d016_moe,b14007d017,b14007d017_moe,b14007d018,b14007d018_moe,b14007d019,b14007d019_moe
1,Rogers Park,3739,951,922,337,28,63,53,82,27,63,0,48,0,48,0,48,42,81,88,115,0,48,40,72,63,109,0,48,0,48,24,45,417,148,140,94,2817,727
2,West Ridge,16341,1854,4606,823,118,105,198,134,298,140,223,132,314,146,247,161,201,116,116,93,164,110,148,89,188,103,309,195,143,90,202,100,1361,443,376,242,11735,1381
3,Uptown,6230,739,1098,282,110,87,15,51,26,62,53,66,16,51,119,78,42,64,16,50,18,54,31,53,15,51,28,62,26,65,0,48,317,154,266,157,5132,643
4,Lincoln Square,3892,685,978,310,105,80,25,50,24,45,35,69,53,71,0,40,0,40,54,69,53,58,17,45,21,44,46,71,32,49,43,53,269,144,201,121,2914,500
5,North Center,1382,337,256,125,8,44,0,43,9,45,0,43,8,43,0,43,44,64,0,43,0,43,0,43,0,43,0,43,0,43,0,43,124,99,63,55,1126,281
6,Lake View,6342,720,1400,349,105,94,54,76,66,116,72,81,0,66,5,66,15,69,5,66,0,66,0,66,15,71,24,70,58,94,28,72,298,144,655,225,4942,607
7,Lincoln Park,3635,518,1183,278,87,93,39,57,54,70,42,60,56,62,0,51,27,63,29,56,0,51,5,51,9,52,20,55,10,52,20,59,529,170,256,116,2452,396
8,Near North Side,8449,868,1638,365,83,70,14,59,0,54,0,54,14,59,12,57,49,68,23,64,0,54,44,68,53,83,8,56,11,56,0,54,235,107,1092,315,6811,785
9,Edison Park,242,176,121,128,0,25,0,25,63,73,0,25,0,25,0,25,0,25,0,25,0,25,41,62,0,25,0,25,0,25,0,25,17,31,0,25,121,89
10,Norwood Park,1651,459,313,153,54,65,43,61,28,46,8,39,30,50,22,45,13,42,0,39,0,39,4,39,0,39,0,39,0,39,0,39,66,64,45,47,1338,395
11,Jefferson Park,2499,742,811,347,46,49,11,33,98,67,31,42,49,46,56,52,26,34,0,29,14,35,45,61,28,41,23,38,20,38,115,124,203,172,46,42,1688,481
12,Forest Glen,2178,391,667,206,41,58,19,32,23,36,19,39,20,33,9,32,32,42,18,39,21,33,29,44,99,88,10,30,36,42,97,85,131,76,63,81,1511,270
13,North Park,4919,712,1822,398,62,48,62,47,86,68,75,51,62,62,84,58,41,43,54,45,85,64,164,91,98,64,95,68,111,72,64,48,557,182,122,63,3097,438
14,Albany Park,6531,1012,1689,443,39,55,59,77,32,53,136,91,37,53,0,45,56,54,38,50,75,69,0,45,70,65,45,57,41,55,55,62,841,343,165,93,4842,724
15,Portage Park,2809,687,727,223,52,52,33,56,15,54,67,73,40,57,53,71,27,50,0,47,28,54,21,51,8,48,30,62,31,56,0,47,266,133,56,70,2082,543
16,Irving Park,3931,742,896,276,80,79,36,61,23,47,39,58,47,55,6,48,0,47,24,52,15,46,13,47,0,47,19,47,30,57,0,47,375,154,189,132,3035,616
17,Dunning,1591,420,375,148,0,40,11,42,23,46,0,40,12,41,37,46,53,54,0,40,33,50,19,41,0,40,0,40,0,40,26,41,95,93,66,61,1216,358
18,Montclare,505,293,205,150,0,23,0,23,31,52,0,23,29,38,13,26,0,23,10,23,22,39,0,23,23,39,0,23,23,39,24,43,30,38,0,23,300,179
19,Belmont Cragin,1110,394,261,161,13,55,30,60,0,52,0,52,32,63,34,57,0,52,0,52,13,55,10,54,17,57,0,52,10,54,16,56,86,82,0,52,849,291
20,Hermosa,111,79,17,38,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,17,38,94,74
21,Avondale,1249,438,287,152,15,38,46,62,21,46,9,39,0,38,0,38,0,38,0,38,29,52,0,38,0,38,20,50,9,40,5,38,45,52,88,93,962,357
22,Logan Square,2117,379,390,120,36,62,31,61,25,62,20,57,0,57,19,57,24,62,0,57,7,57,8,57,0,57,0,57,12,59,0,57,94,72,114,68,1727,336
23,Humboldt Park,147,121,62,70,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,26,53,36,55,85,80
24,West Town,3171,460,532,180,44,68,0,62,12,63,44,70,11,62,4,62,13,63,15,66,9,63,26,67,0,62,15,66,36,72,7,62,136,106,160,105,2639,386
