area_id,area_name,b06004c001,b06004c001_moe,b06004c002,b06004c002_moe,b06004c003,b06004c003_moe,b06004c004,b06004c004_moe,b06004c005,b06004c005_moe
1,Rogers Park,118,130,51,68,12,47,0,48,55,82
2,West Ridge,264,215,171,195,62,87,0,51,31,64
3,Uptown,249,146,137,100,70,74,23,57,19,54
4,Lincoln Square,242,175,81,70,72,83,8,41,81,133
5,North Center,81,70,81,70,0,43,0,43,0,43
6,Lake View,221,167,19,67,168,161,0,66,34,76
7,Lincoln Park,154,112,125,98,29,54,0,51,0,51
8,Near North Side,225,164,162,150,63,85,0,54,0,54
9,Edison Park,0,25,0,25,0,25,0,25,0,25
10,Norwood Park,71,133,34,76,7,39,0,39,30,71
11,Jefferson Park,74,82,74,82,0,29,0,29,0,29
12,Forest Glen,21,40,21,40,0,29,0,29,0,29
13,North Park,42,48,42,48,0,27,0,27,0,27
14,Albany Park,123,111,19,44,18,51,0,45,86,93
15,Portage Park,175,179,78,71,17,51,0,47,80,130
16,Irving Park,150,134,105,107,31,57,0,47,14,48
17,Dunning,86,97,61,74,25,51,0,40,0,40
18,Montclare,42,54,33,54,8,20,0,23,1,16
19,Belmont Cragin,171,165,97,117,14,52,0,52,60,72
20,Hermosa,33,49,0,29,0,29,23,38,10,33
21,Avondale,285,278,181,197,31,59,0,38,73,96
22,Logan Square,136,114,34,60,34,65,28,73,40,73
23,Humboldt Park,168,159,34,68,13,53,69,87,52,97
24,West Town,231,109,113,81,70,80,8,63,40,72
25,Austin,142,152,107,121,35,72,0,61,0,61
26,West Garfield Park,14,45,14,45,0,35,0,35,0,35
27,East Garfield Park,13,43,13,43,0,38,0,38,0,38
28,Near West Side,161,112,96,83,17,55,0,52,48,75
29,North Lawndale,21,52,18,51,3,42,0,43,0,43
30,South Lawndale,318,177,110,92,46,74,0,48,162,99
31,Lower West Side,113,74,25,40,29,44,0,42,59,57
32,Loop,34,37,17,30,17,37,0,30,0,30
33,Near South Side,53,62,40,48,13,27,0,24,0,24
34,Armour Square,5,26,0,27,0,27,0,27,5,26
35,Douglas,22,38,6,35,7,35,0,35,9,38
36,Oakland,0,19,0,19,0,19,0,19,0,19
37,Fuller Park,0,16,0,16,0,16,0,16,0,16
38,Grand Boulevard,14,45,1,41,13,46,0,43,0,43
39,Kenwood,73,63,33,48,40,50,0,31,0,31
40,Washington Park,0,27,0,27,0,27,0,27,0,27
41,Hyde Park,93,75,36,55,18,37,19,45,20,45
42,Woodlawn,60,57,7,36,38,46,0,36,15,42
43,South Shore,108,86,45,60,63,76,0,44,0,44
44,Chatham,28,43,16,42,12,38,0,37,0,37
45,Avalon Park,0,19,0,19,0,19,0,19,0,19
46,South Chicago,0,37,0,37,0,37,0,37,0,37
47,Burnside,0,11,0,11,0,11,0,11,0,11
48,Calumet Heights,9,29,9,29,0,27,0,27,0,27
49,Roseland,20,54,20,54,0,41,0,41,0,41
50,Pullman,0,19,0,19,0,19,0,19,0,19
51,South Deering,17,35,17,35,0,25,0,25,0,25
52,East Side,80,67,72,62,0,29,0,29,8,28
53,West Pullman,27,47,27,47,0,39,0,39,0,39
54,Riverdale,3,13,3,13,0,16,0,16,0,16
55,Hegewisch,45,45,37,44,8,21,0,19,0,19
56,Garfield Ridge,17,45,4,41,13,45,0,42,0,42
57,Archer Heights,91,78,63,51,0,27,0,27,28,45
58,Brighton Park,109,91,50,59,0,43,0,43,59,66
59,McKinley Park,250,195,245,196,5,23,0,25,0,25
60,Bridgeport,226,180,174,137,34,64,0,37,18,43
61,New City,309,244,103,96,36,59,15,51,155,174
62,West Elsdon,18,29,0,27,8,27,0,27,10,30
63,Gage Park,129,152,81,101,20,46,0,41,28,60
64,Clearing,93,155,93,155,0,31,0,31,0,31
65,West Lawn,353,287,232,173,0,34,0,34,121,155
66,Chicago Lawn,118,129,68,92,0,49,0,49,50,64
67,West Englewood,21,51,21,51,0,48,0,48,0,48
68,Englewood,79,80,79,80,0,36,0,36,0,36
69,Greater Grand Crossing,211,107,155,86,56,75,0,38,0,38
70,Ashburn,152,183,33,52,22,49,0,41,97,118
71,Auburn Gresham,53,82,53,82,0,46,0,46,0,46
72,Beverly,24,30,19,30,5,28,0,29,0,29
73,Washington Heights,0,33,0,33,0,33,0,33,0,33
74,Mount Greenwood,18,37,18,37,0,25,0,25,0,25
75,Morgan Park,51,42,42,40,9,33,0,31,0,31
76,O'Hare,46,64,30,60,0,38,0,38,16,46
77,Edgewater,149,131,106,99,17,54,0,48,26,62
