area_id,area_name,c15002d001,c15002d001_moe,c15002d002,c15002d002_moe,c15002d003,c15002d003_moe,c15002d004,c15002d004_moe,c15002d005,c15002d005_moe,c15002d006,c15002d006_moe,c15002d007,c15002d007_moe,c15002d008,c15002d008_moe,c15002d009,c15002d009_moe,c15002d010,c15002d010_moe,c15002d011,c15002d011_moe
1,Rogers Park,2761,657,1233,302,385,175,128,90,155,130,565,179,1528,408,442,282,208,109,341,168,537,167
2,West Ridge,11408,1312,5530,733,1003,268,806,231,1202,300,2519,466,5878,689,1723,353,902,245,999,267,2254,401
3,Uptown,5167,642,2371,475,238,109,412,158,445,333,1276,305,2796,413,612,229,526,220,338,143,1320,266
4,Lincoln Square,3055,512,1493,312,114,74,118,101,429,169,832,197,1562,292,220,110,115,70,296,159,931,213
5,North Center,1171,282,551,177,52,76,42,54,69,59,388,134,620,176,43,53,116,85,84,78,377,132
6,Lake View,5291,614,2370,346,46,72,67,76,237,133,2020,319,2921,421,88,99,284,163,265,129,2284,359
7,Lincoln Park,2271,376,1105,249,14,54,126,108,57,63,908,219,1166,239,15,54,52,72,78,69,1021,224
8,Near North Side,7585,818,3412,507,28,62,12,57,90,76,3282,505,4173,534,8,55,91,73,151,105,3923,529
9,Edison Park,129,96,65,61,0,25,6,25,16,36,43,46,64,49,0,25,7,25,10,27,47,47
10,Norwood Park,1318,397,587,232,104,89,41,47,162,138,280,113,731,206,125,104,144,124,110,72,352,124
11,Jefferson Park,1761,531,762,240,35,45,42,55,162,88,523,178,999,343,106,76,147,114,225,120,521,191
12,Forest Glen,1578,273,717,144,85,56,124,93,149,90,359,118,861,180,67,57,166,105,130,71,498,139
13,North Park,3349,465,1440,235,189,75,148,81,490,154,613,158,1909,291,336,136,399,119,337,134,837,195
14,Albany Park,5335,836,2650,502,564,250,304,120,967,361,815,202,2685,418,689,195,295,114,655,239,1046,228
15,Portage Park,2209,549,1032,277,77,64,22,54,453,182,480,165,1177,329,98,73,121,110,277,129,681,204
16,Irving Park,3055,621,1345,311,70,71,224,125,401,165,650,186,1710,378,136,87,235,152,402,158,937,247
17,Dunning,1337,351,511,163,0,40,19,42,84,57,408,142,826,223,31,46,92,65,161,89,542,175
18,Montclare,305,177,111,76,0,23,16,24,55,63,40,38,194,115,0,23,14,27,16,30,164,111
19,Belmont Cragin,879,289,332,129,23,57,82,88,122,81,105,70,547,190,48,63,54,65,143,104,302,123
20,Hermosa,111,79,73,65,0,29,9,31,37,55,27,43,38,45,0,29,8,30,0,29,30,43
21,Avondale,948,323,475,195,91,91,97,79,77,59,210,104,473,169,42,45,34,50,110,78,287,141
22,Logan Square,1727,308,717,172,0,57,51,75,100,89,566,145,1010,205,24,59,44,71,109,86,833,186
23,Humboldt Park,101,74,35,54,0,51,14,53,5,50,16,53,66,56,0,51,0,51,14,48,52,58
24,West Town,2676,376,1280,262,0,62,22,64,102,81,1156,250,1396,228,21,66,30,71,86,81,1259,215
25,Austin,333,161,142,99,21,66,11,62,35,71,75,70,191,103,43,74,12,62,47,73,89,77
26,West Garfield Park,18,41,18,41,0,35,0,35,1,33,17,43,0,35,0,35,0,35,0,35,0,35
27,East Garfield Park,80,58,19,42,0,38,0,38,0,38,19,42,61,51,0,38,7,39,0,38,54,48
28,Near West Side,5721,651,3108,453,53,71,38,58,273,253,2744,382,2613,369,107,84,21,54,101,66,2384,352
29,North Lawndale,54,72,20,44,0,43,7,44,6,43,7,43,34,69,0,43,0,43,0,43,34,69
30,South Lawndale,79,66,57,51,2,47,40,55,1,47,14,44,22,53,7,48,15,48,0,48,0,48
31,Lower West Side,273,113,138,78,0,42,0,42,32,55,106,68,135,79,7,42,0,42,29,51,99,73
32,Loop,3210,560,1343,301,0,30,77,83,22,37,1244,295,1867,400,65,71,33,42,136,107,1633,379
33,Near South Side,2893,512,1256,287,18,21,69,65,174,130,995,259,1637,403,218,218,39,44,134,92,1246,343
34,Armour Square,6793,509,3295,328,1188,307,927,211,311,131,869,246,3498,337,1607,253,1147,230,216,93,528,176
35,Douglas,1152,296,603,175,13,36,38,60,23,36,529,165,549,180,31,44,23,43,45,51,450,171
36,Oakland,57,65,4,17,0,19,0,19,0,19,4,17,53,64,0,19,19,35,16,30,18,30
37,Fuller Park,11,19,11,19,0,16,0,16,0,16,11,19,0,16,0,16,0,16,0,16,0,16
38,Grand Boulevard,60,58,52,53,15,44,0,43,1,41,36,53,8,43,0,43,0,43,0,43,8,43
39,Kenwood,645,202,304,115,11,37,0,31,25,39,268,109,341,147,12,34,0,31,0,31,329,143
40,Washington Park,9,28,0,27,0,27,0,27,0,27,0,27,9,28,0,27,9,28,0,27,0,27
41,Hyde Park,1731,307,806,183,42,54,40,73,75,81,649,144,925,188,10,37,26,42,77,60,812,176
42,Woodlawn,300,118,112,96,39,71,0,36,36,55,37,59,188,77,0,36,9,37,8,37,171,76
43,South Shore,62,68,6,45,6,45,0,44,0,44,0,44,56,68,0,44,0,44,45,66,11,45
44,Chatham,23,42,1,35,0,37,0,37,0,37,1,35,22,43,0,37,0,37,11,38,11,42
45,Avalon Park,34,42,13,25,13,25,0,19,0,19,0,19,21,37,0,19,21,37,0,19,0,19
46,South Chicago,25,53,25,53,0,37,0,37,0,37,25,53,0,37,0,37,0,37,0,37,0,37
47,Burnside,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
48,Calumet Heights,14,31,0,27,0,27,0,27,0,27,0,27,14,31,0,27,0,27,0,27,14,31
49,Roseland,145,100,82,64,0,41,0,41,7,42,75,59,63,59,17,47,17,49,0,41,29,49
50,Pullman,26,34,14,21,0,19,7,20,7,20,0,19,12,19,0,19,0,19,6,20,6,18
51,South Deering,49,58,10,27,0,25,10,27,0,25,0,25,39,56,0,25,0,25,0,25,39,56
52,East Side,60,60,31,38,0,29,13,32,17,38,1,27,29,40,17,37,0,29,0,29,12,33
53,West Pullman,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39
54,Riverdale,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16
55,Hegewisch,17,30,0,19,0,19,0,19,0,19,0,19,17,30,0,19,0,19,17,30,0,19
56,Garfield Ridge,434,214,191,115,7,40,52,59,40,51,92,81,243,129,9,43,20,44,110,86,104,80
57,Archer Heights,117,92,61,48,4,26,15,32,0,27,42,46,56,48,14,31,6,27,36,46,0,27
58,Brighton Park,1812,338,865,169,164,71,276,105,234,101,191,80,947,188,227,114,281,95,135,66,304,108
59,McKinley Park,1737,290,850,151,226,61,326,123,99,52,199,80,887,167,199,71,430,134,107,59,151,65
60,Bridgeport,7496,710,3730,440,898,183,996,238,524,143,1312,304,3766,388,1128,212,1198,178,604,182,836,189
61,New City,313,88,181,63,30,53,42,50,30,50,79,53,132,56,29,56,13,43,41,57,49,54
62,West Elsdon,248,124,120,58,32,35,21,30,23,31,44,36,128,77,25,28,28,34,16,30,59,49
63,Gage Park,292,135,132,97,20,46,9,44,11,41,92,93,160,81,17,40,36,47,32,49,75,55
64,Clearing,94,97,40,53,0,31,1,30,27,54,12,30,54,55,5,31,3,28,39,55,7,31
65,West Lawn,95,88,38,51,0,34,0,34,0,34,38,51,57,64,9,34,0,34,22,46,26,43
66,Chicago Lawn,390,283,186,142,0,49,25,62,3,48,158,137,204,150,0,49,4,46,24,62,176,144
67,West Englewood,41,65,15,52,0,48,0,48,0,48,15,52,26,61,0,48,26,61,0,48,0,48
68,Englewood,18,38,3,35,3,35,0,36,0,36,0,36,15,37,3,35,0,36,8,37,4,36
69,Greater Grand Crossing,19,44,8,39,0,38,0,38,0,38,8,39,11,38,0,38,0,38,0,38,11,38
70,Ashburn,73,70,21,41,10,41,0,41,11,41,0,41,52,53,13,43,18,45,21,44,0,41
71,Auburn Gresham,57,93,24,60,0,46,0,46,0,46,24,60,33,62,0,46,23,51,0,46,10,48
72,Beverly,16,32,0,29,0,29,0,29,0,29,0,29,16,32,0,29,0,29,0,29,16,32
73,Washington Heights,2,30,1,30,0,33,0,33,0,33,1,30,1,29,0,33,0,33,1,29,0,33
74,Mount Greenwood,64,92,19,36,0,25,0,25,0,25,19,36,45,65,0,25,4,24,24,42,17,34
75,Morgan Park,105,87,49,51,0,31,0,31,6,30,43,51,56,69,0,31,0,31,0,31,56,69
76,O'Hare,907,322,464,187,12,42,15,41,100,87,337,163,443,199,6,42,82,89,31,63,324,173
77,Edgewater,5023,648,2498,377,183,107,351,145,301,130,1663,306,2525,374,431,176,244,127,471,176,1379,260
