area_id,area_name,b25032d001,b25032d001_moe,b25032d002,b25032d002_moe,b25032d003,b25032d003_moe,b25032d004,b25032d004_moe,b25032d005,b25032d005_moe,b25032d006,b25032d006_moe,b25032d007,b25032d007_moe,b25032d008,b25032d008_moe,b25032d009,b25032d009_moe,b25032d010,b25032d010_moe,b25032d011,b25032d011_moe
1,Rogers Park,1289,265,85,67,113,78,42,56,173,109,204,119,112,90,122,92,438,166,0,48,0,48
2,West Ridge,4435,437,722,167,338,142,558,153,1232,306,782,213,170,94,497,186,133,92,3,52,0,51
3,Uptown,3327,387,75,66,41,53,237,102,129,91,490,178,208,97,486,181,1661,282,0,48,0,48
4,Lincoln Square,1607,275,255,89,107,80,136,68,192,115,363,141,211,109,248,127,95,80,0,40,0,40
5,North Center,650,164,192,95,24,44,152,74,162,97,45,53,12,45,35,61,28,47,0,43,0,43
6,Lake View,3933,453,115,80,92,72,223,120,515,204,509,163,221,98,540,187,1704,309,14,69,0,66
7,Lincoln Park,1917,302,88,66,207,84,88,78,223,101,181,106,142,91,221,113,745,214,0,51,22,61
8,Near North Side,5671,590,90,109,129,81,0,54,47,76,41,70,72,73,374,183,4918,557,0,54,0,54
9,Edison Park,74,53,33,33,0,25,0,25,0,25,19,29,0,25,22,39,0,25,0,25,0,25
10,Norwood Park,522,152,297,85,54,53,84,94,63,89,0,39,24,43,0,39,0,39,0,39,0,39
11,Jefferson Park,625,165,395,125,4,29,112,83,20,31,20,34,46,63,19,42,9,31,0,29,0,29
12,Forest Glen,653,116,564,104,25,38,8,30,36,53,0,29,0,29,0,29,20,41,0,29,0,29
13,North Park,1433,190,428,106,41,59,214,87,281,103,96,70,198,94,115,86,60,41,0,27,0,27
14,Albany Park,2020,270,442,115,28,48,363,127,352,148,413,138,121,69,150,92,151,78,0,45,0,45
15,Portage Park,758,173,396,111,8,48,165,104,120,87,11,47,22,51,36,53,0,47,0,47,0,47
16,Irving Park,1395,250,273,112,95,76,304,110,341,138,173,98,90,81,105,78,14,48,0,47,0,47
17,Dunning,416,110,269,88,19,40,7,41,18,42,11,43,11,42,19,44,62,65,0,40,0,40
18,Montclare,137,81,74,57,0,23,11,23,0,23,47,58,0,23,0,23,5,18,0,23,0,23
19,Belmont Cragin,391,123,256,99,0,52,50,72,27,57,38,65,0,52,15,57,5,52,0,52,0,52
20,Hermosa,76,61,26,36,0,29,13,35,37,55,0,29,0,29,0,29,0,29,0,29,0,29
21,Avondale,455,144,128,78,26,45,76,68,59,64,102,77,24,52,14,42,26,47,0,38,0,38
22,Logan Square,1016,187,199,94,61,63,133,75,285,106,157,88,47,72,83,75,51,68,0,57,0,57
23,Humboldt Park,66,58,31,50,0,51,21,53,0,51,14,54,0,51,0,51,0,51,0,51,0,51
24,West Town,1620,257,116,86,50,69,197,102,656,186,317,107,61,69,68,79,155,117,0,62,0,62
25,Austin,188,95,100,83,0,61,15,64,19,63,11,63,0,61,33,67,10,62,0,61,0,61
26,West Garfield Park,17,43,0,35,0,35,0,35,0,35,0,35,17,43,0,35,0,35,0,35,0,35
27,East Garfield Park,38,44,0,38,18,42,0,38,20,40,0,38,0,38,0,38,0,38,0,38,0,38
28,Near West Side,3662,348,197,116,279,106,152,96,355,113,352,118,98,71,341,146,1888,272,0,52,0,52
29,North Lawndale,7,43,0,43,7,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43
30,South Lawndale,5,47,0,48,0,48,5,47,0,48,0,48,0,48,0,48,0,48,0,48,0,48
31,Lower West Side,207,89,31,45,0,42,50,54,82,72,35,51,0,42,6,41,3,41,0,42,0,42
32,Loop,2501,442,0,30,6,30,0,30,17,37,17,38,0,30,55,53,2406,442,0,30,0,30
33,Near South Side,1805,361,36,34,132,95,0,24,7,25,0,24,8,25,73,45,1549,358,0,24,0,24
34,Armour Square,3457,225,186,74,578,157,407,111,704,156,190,86,334,126,116,57,933,174,9,27,0,27
35,Douglas,842,161,9,33,35,41,8,32,9,35,0,35,8,35,44,51,729,152,0,35,0,35
36,Oakland,4,17,0,19,4,17,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19
37,Fuller Park,11,19,0,16,0,16,0,16,0,16,0,16,0,16,0,16,11,19,0,16,0,16
38,Grand Boulevard,26,47,0,43,0,43,0,43,0,43,12,43,0,43,0,43,14,47,0,43,0,43
39,Kenwood,511,147,36,37,12,34,0,31,0,31,0,31,5,31,9,31,449,139,0,31,0,31
40,Washington Park,9,28,9,28,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
41,Hyde Park,1202,211,104,72,99,57,22,43,81,67,152,94,111,73,112,53,521,142,0,38,0,38
42,Woodlawn,150,73,12,38,7,36,0,36,35,51,8,37,0,36,8,37,80,66,0,36,0,36
43,South Shore,56,69,5,43,0,44,0,44,0,44,0,44,0,44,28,62,23,55,0,44,0,44
44,Chatham,11,42,0,37,0,37,0,37,0,37,11,42,0,37,0,37,0,37,0,37,0,37
45,Avalon Park,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19
46,South Chicago,32,52,0,37,0,37,0,37,26,52,0,37,6,37,0,37,0,37,0,37,0,37
47,Burnside,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
48,Calumet Heights,14,31,14,31,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
49,Roseland,61,56,45,52,0,41,0,41,16,46,0,41,0,41,0,41,0,41,0,41,0,41
50,Pullman,7,20,0,19,0,19,0,19,7,20,0,19,0,19,0,19,0,19,0,19,0,19
51,South Deering,10,27,10,27,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25
52,East Side,25,36,17,38,0,29,0,29,0,29,0,29,8,27,0,29,0,29,0,29,0,29
