area_id,area_name,b16005g001,b16005g001_moe,b16005g002,b16005g002_moe,b16005g003,b16005g003_moe,b16005g004,b16005g004_moe,b16005g005,b16005g005_moe,b16005g006,b16005g006_moe,b16005g007,b16005g007_moe,b16005g008,b16005g008_moe,b16005g009,b16005g009_moe,b16005g010,b16005g010_moe,b16005g011,b16005g011_moe
1,Rogers Park,1546,348,1293,312,1142,309,151,98,134,93,17,52,253,160,36,61,217,155,171,139,46,85
2,West Ridge,1619,492,1290,439,1056,420,234,121,210,119,24,55,329,194,0,51,329,194,116,89,213,172
3,Uptown,1405,386,1205,377,1052,355,153,123,153,123,0,48,200,109,68,83,132,83,89,76,43,58
4,Lincoln Square,869,249,738,222,666,207,72,63,58,63,14,41,131,102,49,67,82,87,50,82,32,50
5,North Center,728,288,659,283,555,264,104,103,28,47,76,101,69,55,13,42,56,55,47,50,9,44
6,Lake View,1397,298,1214,260,1136,253,78,88,78,88,0,66,183,145,54,83,129,135,37,77,92,129
7,Lincoln Park,867,229,802,218,752,215,50,57,50,57,0,51,65,72,5,50,60,72,55,71,5,51
8,Near North Side,1257,342,1081,319,930,285,151,146,151,146,0,54,176,113,50,72,126,97,70,77,56,75
9,Edison Park,196,137,196,137,196,137,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25
10,Norwood Park,664,266,593,256,425,227,168,132,168,132,0,39,71,64,0,39,71,64,42,52,29,44
11,Jefferson Park,550,224,396,168,270,117,126,122,105,118,21,40,154,107,0,29,154,107,116,89,38,51
12,Forest Glen,280,126,237,114,204,107,33,46,33,46,0,29,43,47,16,37,27,40,27,40,0,29
13,North Park,456,206,432,205,367,186,65,86,65,86,0,27,24,32,0,27,24,32,5,26,19,31
14,Albany Park,1623,375,1133,282,718,269,415,201,203,102,212,168,490,205,15,48,475,201,155,82,320,156
15,Portage Park,1814,417,1555,385,1145,354,410,169,376,164,34,50,259,123,41,62,218,127,85,70,133,111
16,Irving Park,1034,260,829,234,612,209,217,101,158,91,59,62,205,112,16,53,189,109,97,78,92,81
17,Dunning,475,200,334,167,278,157,56,68,41,59,15,42,141,113,0,40,141,113,51,54,90,100
18,Montclare,95,64,95,64,87,64,8,21,8,21,0,23,0,23,0,23,0,23,0,23,0,23
19,Belmont Cragin,1418,532,826,294,338,139,488,234,319,188,169,137,592,308,0,52,592,308,207,200,385,219
20,Hermosa,459,168,424,154,252,112,172,103,137,74,35,46,35,52,0,29,35,52,9,31,26,41
21,Avondale,854,295,555,212,392,190,163,97,150,92,13,42,299,186,7,37,292,185,66,66,226,165
22,Logan Square,1411,302,1357,287,1066,250,291,140,214,119,77,86,54,75,0,57,54,75,19,59,35,72
23,Humboldt Park,984,328,887,315,563,270,324,165,300,163,24,52,97,86,35,68,62,73,22,54,40,68
