area_id,area_name,c24010g001,c24010g001_moe,c24010g002,c24010g002_moe,c24010g003,c24010g003_moe,c24010g004,c24010g004_moe,c24010g005,c24010g005_moe,c24010g006,c24010g006_moe,c24010g007,c24010g007_moe,c24010g008,c24010g008_moe,c24010g009,c24010g009_moe,c24010g010,c24010g010_moe,c24010g011,c24010g011_moe,c24010g012,c24010g012_moe,c24010g013,c24010g013_moe
1,Rogers Park,832,235,388,139,192,100,40,54,81,80,43,64,32,58,444,174,158,88,84,76,166,110,36,73,0,48
2,West Ridge,481,197,287,134,30,58,60,67,122,102,55,76,20,60,194,126,71,83,17,55,106,105,0,51,0,51
3,Uptown,764,260,269,154,76,96,84,92,62,94,17,52,30,50,495,190,177,114,168,132,140,95,0,48,10,49
4,Lincoln Square,438,154,158,98,49,54,19,44,17,44,55,75,18,48,280,121,131,84,62,55,78,78,0,40,9,41
5,North Center,361,111,205,90,127,79,29,48,41,51,8,43,0,43,156,79,96,62,13,46,47,59,0,43,0,43
6,Lake View,891,221,459,168,287,142,62,79,47,67,0,66,63,99,432,141,211,108,80,82,141,94,0,66,0,66
7,Lincoln Park,535,173,351,156,168,96,9,51,169,133,0,51,5,51,184,82,126,70,15,51,43,59,0,51,0,51
8,Near North Side,582,193,312,144,210,125,40,62,23,59,39,81,0,54,270,127,143,100,18,57,109,91,0,54,0,54
9,Edison Park,94,87,66,79,48,55,0,25,18,36,0,25,0,25,28,37,13,28,15,31,0,25,0,25,0,25
10,Norwood Park,258,140,166,123,52,62,5,38,46,80,55,81,8,39,92,80,50,74,31,50,0,39,0,39,11,41
11,Jefferson Park,231,105,145,88,32,44,27,46,36,63,30,43,20,34,86,62,67,58,0,29,19,36,0,29,0,29
12,Forest Glen,122,70,15,34,0,29,0,29,15,34,0,29,0,29,107,67,89,61,0,29,18,39,0,29,0,29
13,North Park,218,123,161,113,56,85,47,64,39,42,0,27,19,41,57,46,22,34,6,25,29,36,0,27,0,27
14,Albany Park,817,236,424,146,84,65,82,69,72,67,70,69,116,76,393,137,130,81,136,85,73,65,0,45,54,67
15,Portage Park,825,245,394,155,99,67,57,78,93,78,22,49,123,110,431,156,257,106,89,102,65,68,7,48,13,47
16,Irving Park,608,184,326,138,68,58,110,95,51,65,22,53,75,70,282,103,137,83,73,72,72,55,0,47,0,47
17,Dunning,212,101,86,56,6,40,20,42,9,41,26,47,25,45,126,83,47,54,10,41,59,70,0,40,10,40
18,Montclare,66,56,7,23,0,23,7,23,0,23,0,23,0,23,59,53,59,53,0,23,0,23,0,23,0,23
19,Belmont Cragin,640,256,327,149,40,59,83,79,85,85,30,51,89,65,313,152,129,102,41,56,106,94,0,52,37,61
20,Hermosa,196,96,141,92,38,47,15,36,38,57,0,29,50,60,55,54,14,31,38,52,3,28,0,29,0,29
21,Avondale,283,111,123,65,35,43,43,52,16,39,22,44,7,39,160,85,56,55,57,63,39,53,0,38,8,39
22,Logan Square,668,175,271,101,155,85,49,63,21,60,17,62,29,59,397,139,170,98,76,76,141,96,0,57,10,58
23,Humboldt Park,372,170,175,105,71,74,0,51,43,65,0,51,61,64,197,110,81,71,16,52,100,75,0,51,0,51
24,West Town,896,209,552,173,344,138,93,91,56,70,0,62,59,81,344,127,178,91,37,67,118,102,0,62,11,64
25,Austin,161,97,58,73,0,61,0,61,0,61,0,61,58,73,103,82,36,72,13,64,54,70,0,61,0,61
26,West Garfield Park,23,40,5,34,0,35,5,34,0,35,0,35,0,35,18,38,0,35,18,38,0,35,0,35,0,35
27,East Garfield Park,16,40,6,38,0,38,0,38,0,38,0,38,6,38,10,40,0,38,0,38,10,40,0,38,0,38
28,Near West Side,739,173,297,112,161,95,19,50,93,73,15,55,9,52,442,140,155,78,83,73,196,100,0,52,8,52
29,North Lawndale,69,56,15,44,0,43,0,43,0,43,0,43,15,44,54,51,13,42,22,48,13,46,0,43,6,42
30,South Lawndale,164,100,122,77,30,61,0,48,50,58,9,49,33,58,42,58,0,48,0,48,17,50,0,48,25,56
31,Lower West Side,487,186,147,83,36,51,29,48,6,41,24,49,52,61,340,164,133,101,152,106,30,52,7,43,18,48
32,Loop,288,133,164,110,107,86,45,70,12,31,0,30,0,30,124,65,79,56,0,30,30,40,0,30,15,36
33,Near South Side,178,126,13,25,13,25,0,24,0,24,0,24,0,24,165,124,107,97,17,25,41,70,0,24,0,24
34,Armour Square,141,131,78,91,0,27,0,27,21,42,57,85,0,27,63,60,0,27,63,60,0,27,0,27,0,27
35,Douglas,113,62,75,52,19,38,10,34,10,37,26,46,10,37,38,44,12,40,4,34,22,37,0,35,0,35
36,Oakland,3,16,3,16,0,19,3,16,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19
37,Fuller Park,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16
38,Grand Boulevard,89,57,57,51,43,49,0,43,0,43,0,43,14,43,32,44,28,45,4,42,0,43,0,43,0,43
39,Kenwood,92,78,43,53,37,51,6,31,0,31,0,31,0,31,49,65,12,32,37,65,0,31,0,31,0,31
40,Washington Park,37,37,11,31,11,31,0,27,0,27,0,27,0,27,26,33,16,28,10,30,0,27,0,27,0,27
41,Hyde Park,352,126,229,107,150,77,17,40,23,41,29,59,10,40,123,68,69,49,28,52,26,45,0,38,0,38
42,Woodlawn,162,84,122,79,55,60,13,40,54,61,0,36,0,36,40,42,24,40,16,39,0,36,0,36,0,36
43,South Shore,409,200,137,95,31,59,49,70,24,50,33,62,0,44,272,152,86,72,17,51,169,119,0,44,0,44
44,Chatham,130,94,9,38,9,38,0,37,0,37,0,37,0,37,121,92,32,55,29,49,60,68,0,37,0,37
45,Avalon Park,57,42,0,19,0,19,0,19,0,19,0,19,0,19,57,42,31,33,26,31,0,19,0,19,0,19
46,South Chicago,131,126,0,37,0,37,0,37,0,37,0,37,0,37,131,126,0,37,68,101,63,83,0,37,0,37
47,Burnside,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
