area_id,area_name,b25085001,b25085001_moe,b25085002,b25085002_moe,b25085003,b25085003_moe,b25085004,b25085004_moe,b25085005,b25085005_moe,b25085006,b25085006_moe,b25085007,b25085007_moe,b25085008,b25085008_moe,b25085009,b25085009_moe,b25085010,b25085010_moe,b25085011,b25085011_moe,b25085012,b25085012_moe,b25085013,b25085013_moe,b25085014,b25085014_moe,b25085015,b25085015_moe,b25085016,b25085016_moe,b25085017,b25085017_moe,b25085018,b25085018_moe,b25085019,b25085019_moe,b25085020,b25085020_moe,b25085021,b25085021_moe,b25085022,b25085022_moe,b25085023,b25085023_moe,b25085024,b25085024_moe,b25085025,b25085025_moe
1,Rogers Park,470,190,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,48,67,0,48,30,66,0,48,42,81,127,110,42,72,10,47,24,60,25,60,24,61,74,96,0,48,24,59,0,48,0,48
2,West Ridge,506,208,0,51,0,51,0,51,0,51,0,51,0,51,0,51,10,52,40,79,0,51,31,72,0,51,0,51,35,75,80,101,27,67,33,74,53,76,22,61,118,119,16,56,41,81,0,51,0,51
3,Uptown,478,186,0,48,0,48,0,48,0,48,13,50,0,48,0,48,0,48,0,48,24,60,0,48,0,48,0,48,0,48,92,101,0,48,0,48,70,81,120,106,59,80,12,49,49,91,0,48,39,79
4,Lincoln Square,193,112,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,10,40,0,40,0,40,65,80,0,40,44,63,42,60,0,40,24,54,8,41,0,40,0,40
5,North Center,357,160,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,61,81,10,45,124,100,31,64,39,74,22,54,70,74
6,Lake View,879,280,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,77,124,214,172,0,66,294,172,32,74,192,112,9,67,61,94
7,Lincoln Park,488,184,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,64,88,0,51,0,51,9,52,29,58,111,105,0,51,19,59,116,111,41,62,99,83
8,Near North Side,1313,332,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,13,56,0,54,14,58,31,69,221,160,112,107,207,143,194,138,163,123,180,137,178,147
9,Edison Park,82,66,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,28,48,37,45,0,25,0,25,17,33
10,Norwood Park,275,159,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,36,70,0,39,0,39,0,39,72,94,0,39,121,102,46,79,0,39,0,39,0,39
