area_id,area_name,c27001d001,c27001d001_moe,c27001d002,c27001d002_moe,c27001d003,c27001d003_moe,c27001d004,c27001d004_moe,c27001d005,c27001d005_moe,c27001d006,c27001d006_moe,c27001d007,c27001d007_moe,c27001d008,c27001d008_moe,c27001d009,c27001d009_moe,c27001d010,c27001d010_moe
1,Rogers Park,3880,992,538,323,538,323,0,48,2893,726,2288,658,605,228,449,189,412,175,37,62
2,West Ridge,17120,2021,3955,708,3623,691,332,167,11492,1399,6422,929,5070,1088,1673,379,1555,367,118,99
3,Uptown,6381,763,698,236,698,236,0,48,4461,662,3132,514,1329,414,1222,291,1164,288,58,69
4,Lincoln Square,4023,721,702,300,698,300,4,41,2863,500,2047,384,816,283,458,165,426,153,32,53
5,North Center,1400,341,97,80,97,80,0,43,1044,279,898,244,146,103,259,118,259,118,0,43
6,Lake View,6708,799,804,265,804,265,0,66,5302,623,4626,560,676,255,602,199,586,198,16,67
7,Lincoln Park,3728,536,506,232,506,232,0,51,3113,416,2840,395,273,132,109,75,109,75,0,51
8,Near North Side,8780,965,645,293,645,293,0,54,7741,815,7120,761,621,265,394,215,349,163,45,91
9,Edison Park,242,176,104,126,104,126,0,25,128,100,128,100,0,25,10,27,10,27,0,25
10,Norwood Park,1752,540,346,184,346,184,0,39,1174,397,935,305,239,132,232,119,232,119,0,39
11,Jefferson Park,2537,748,537,194,491,183,46,45,1781,614,1023,317,758,396,219,114,125,86,94,85
12,Forest Glen,2269,411,502,185,449,185,53,79,1569,255,1363,298,206,218,198,116,198,116,0,29
13,North Park,5228,744,1503,343,1383,307,120,103,2996,464,2227,362,769,251,729,212,712,210,17,34
14,Albany Park,6713,1070,971,287,894,281,77,78,4574,805,3008,557,1566,456,1168,259,1096,238,72,94
15,Portage Park,2862,695,505,207,505,207,0,47,2053,510,1721,471,332,166,304,118,290,113,14,51
16,Irving Park,4057,775,558,193,471,168,87,100,2930,559,2011,453,919,283,569,229,514,210,55,102
17,Dunning,1635,448,297,138,218,98,79,103,1154,315,995,294,159,99,184,85,150,72,34,52
18,Montclare,547,316,223,140,223,140,0,23,324,189,225,127,99,81,0,23,0,23,0,23
