area_id,area_name,b07004d001,b07004d001_moe,b07004d002,b07004d002_moe,b07004d003,b07004d003_moe,b07004d004,b07004d004_moe,b07004d005,b07004d005_moe,b07004d006,b07004d006_moe
1,Rogers Park,3884,987,3017,881,288,132,0,48,90,79,489,413
2,West Ridge,16821,1948,14059,1691,2051,804,280,307,36,67,395,241
3,Uptown,6366,756,5145,715,728,255,24,60,333,317,136,127
4,Lincoln Square,3985,711,3473,660,396,228,0,40,88,78,28,48
5,North Center,1392,341,1257,335,107,62,9,44,12,43,7,43
6,Lake View,6674,797,4711,672,1023,270,132,108,333,150,475,280
7,Lincoln Park,3695,529,2361,452,883,247,83,65,220,105,148,96
8,Near North Side,8578,902,5704,761,1363,365,155,119,582,225,774,344
9,Edison Park,242,176,233,173,0,25,9,27,0,25,0,25
10,Norwood Park,1761,541,1415,499,299,220,20,50,12,36,15,42
11,Jefferson Park,2537,748,2372,729,97,87,0,29,0,29,68,79
12,Forest Glen,2259,409,2142,397,55,82,0,29,0,29,62,71
13,North Park,5114,714,4459,674,458,228,87,102,9,30,101,75
14,Albany Park,6627,1035,5579,950,901,365,34,69,70,70,43,58
15,Portage Park,2841,691,2517,663,238,192,47,78,25,52,14,51
16,Irving Park,4017,765,3714,750,139,87,21,57,41,70,102,103
17,Dunning,1642,436,1554,426,40,50,23,48,0,40,25,54
18,Montclare,505,293,415,248,67,99,0,23,0,23,23,38
19,Belmont Cragin,1124,396,1071,392,40,72,0,52,11,55,2,50
20,Hermosa,111,79,81,71,30,43,0,29,0,29,0,29
21,Avondale,1311,448,1171,437,76,71,0,38,23,42,41,51
22,Logan Square,2126,379,1600,307,442,210,37,61,28,58,19,59
23,Humboldt Park,147,121,147,121,0,51,0,51,0,51,0,51
24,West Town,3305,490,2531,440,570,174,68,93,93,97,43,72
25,Austin,351,184,284,177,57,73,0,61,10,62,0,61
26,West Garfield Park,18,41,1,33,17,43,0,35,0,35,0,35
27,East Garfield Park,92,61,85,59,0,38,0,38,0,38,7,38
28,Near West Side,7854,783,5134,640,1519,350,257,162,171,86,773,345
29,North Lawndale,72,86,66,85,6,43,0,43,0,43,0,43
30,South Lawndale,115,80,90,77,22,51,0,48,2,47,1,47
31,Lower West Side,390,162,142,84,209,128,36,71,0,42,3,42
32,Loop,4333,666,2734,487,630,288,92,88,361,259,516,295
33,Near South Side,3588,651,2241,468,546,284,176,259,362,197,263,245
34,Armour Square,9106,746,7844,721,775,311,24,51,116,94,347,218
35,Douglas,2289,488,856,250,512,182,73,73,126,81,722,320
36,Oakland,57,65,41,59,16,30,0,19,0,19,0,19
37,Fuller Park,11,19,0,16,11,19,0,16,0,16,0,16
38,Grand Boulevard,68,64,39,52,19,49,0,43,0,43,10,44
39,Kenwood,1065,300,517,201,298,154,42,74,122,95,86,80
40,Washington Park,9,28,9,28,0,27,0,27,0,27,0,27
41,Hyde Park,2821,445,1580,326,648,244,44,47,281,122,268,108
42,Woodlawn,598,165,429,132,60,59,5,36,72,72,32,43
43,South Shore,85,77,62,68,0,44,0,44,0,44,23,55
44,Chatham,23,42,23,42,0,37,0,37,0,37,0,37
45,Avalon Park,34,42,34,42,0,19,0,19,0,19,0,19
46,South Chicago,86,102,0,37,86,102,0,37,0,37,0,37
47,Burnside,0,11,0,11,0,11,0,11,0,11,0,11
48,Calumet Heights,14,31,14,31,0,27,0,27,0,27,0,27
49,Roseland,217,152,186,131,17,46,0,41,7,42,7,42
50,Pullman,39,53,39,53,0,19,0,19,0,19,0,19
51,South Deering,49,58,49,58,0,25,0,25,0,25,0,25
52,East Side,101,109,79,107,0,29,22,38,0,29,0,29
53,West Pullman,0,39,0,39,0,39,0,39,0,39,0,39
54,Riverdale,0,16,0,16,0,16,0,16,0,16,0,16
55,Hegewisch,34,57,34,57,0,19,0,19,0,19,0,19
56,Garfield Ridge,647,310,584,292,47,71,0,42,16,48,0,42
57,Archer Heights,212,178,212,178,0,27,0,27,0,27,0,27
58,Brighton Park,2712,497,2436,442,201,194,22,45,0,43,53,70
59,McKinley Park,2623,424,2206,382,374,196,0,25,7,25,36,47
60,Bridgeport,10684,977,9383,927,696,238,47,57,192,138,366,170
61,New City,563,153,524,145,24,53,15,51,0,47,0,47
62,West Elsdon,322,174,281,155,31,50,10,31,0,27,0,27
63,Gage Park,471,240,375,218,61,87,0,41,24,55,11,43
64,Clearing,186,231,186,231,0,31,0,31,0,31,0,31
65,West Lawn,95,88,77,85,17,40,0,34,1,32,0,34
66,Chicago Lawn,439,304,426,301,13,68,0,49,0,49,0,49
67,West Englewood,41,65,26,61,0,48,0,48,0,48,15,52
68,Englewood,21,40,12,38,9,38,0,36,0,36,0,36
69,Greater Grand Crossing,25,50,12,38,13,43,0,38,0,38,0,38
70,Ashburn,110,88,101,80,0,41,0,41,0,41,9,40
71,Auburn Gresham,77,126,77,126,0,46,0,46,0,46,0,46
72,Beverly,61,59,61,59,0,29,0,29,0,29,0,29
73,Washington Heights,2,30,0,33,1,29,0,33,0,33,1,30
74,Mount Greenwood,169,172,116,167,30,33,0,25,6,23,17,31
75,Morgan Park,124,91,124,91,0,31,0,31,0,31,0,31
76,O'Hare,1159,433,834,351,159,121,0,38,16,46,150,193
77,Edgewater,6833,931,4960,743,1105,391,117,109,71,65,580,325
