area_id,area_name,b12002g001,b12002g001_moe,b12002g002,b12002g002_moe,b12002g003,b12002g003_moe,b12002g004,b12002g004_moe,b12002g005,b12002g005_moe,b12002g006,b12002g006_moe,b12002g007,b12002g007_moe,b12002g008,b12002g008_moe,b12002g009,b12002g009_moe,b12002g010,b12002g010_moe,b12002g011,b12002g011_moe,b12002g012,b12002g012_moe,b12002g013,b12002g013_moe
1,Rogers Park,1256,295,563,165,354,134,176,98,0,48,0,48,33,57,693,217,482,175,139,99,15,53,0,48,57,66
2,West Ridge,971,305,425,156,171,109,224,113,0,51,0,51,30,56,546,232,309,181,188,121,23,61,0,51,26,65
3,Uptown,1218,317,502,198,276,160,162,121,12,49,0,48,52,61,716,230,423,190,131,83,49,82,17,52,96,83
4,Lincoln Square,711,233,273,131,96,74,140,87,0,40,0,40,37,71,438,162,167,95,161,93,0,40,0,40,110,88
5,North Center,471,128,274,99,173,83,90,62,0,43,0,43,11,44,197,84,122,75,65,50,0,43,0,43,10,44
6,Lake View,1146,250,592,189,429,170,120,88,0,66,0,66,43,83,554,155,366,131,140,95,0,66,0,66,48,74
7,Lincoln Park,721,200,434,168,271,144,98,75,27,62,29,71,9,51,287,111,181,94,82,67,0,51,0,51,24,57
8,Near North Side,1015,297,442,195,232,165,126,94,7,55,0,54,77,87,573,212,371,188,144,88,14,57,5,54,39,62
9,Edison Park,131,96,90,82,44,55,34,37,0,25,12,30,0,25,41,51,13,28,28,37,0,25,0,25,0,25
10,Norwood Park,450,203,246,148,185,138,61,60,0,39,0,39,0,39,204,125,91,83,101,100,0,39,0,39,12,42
11,Jefferson Park,369,143,193,101,35,47,158,90,0,29,0,29,0,29,176,83,26,34,150,80,0,29,0,29,0,29
12,Forest Glen,144,73,33,41,18,38,15,34,0,29,0,29,0,29,111,69,26,45,85,58,0,29,0,29,0,29
13,North Park,404,196,231,163,146,151,45,42,0,27,0,27,40,64,173,84,95,63,15,29,0,27,9,22,54,69
14,Albany Park,1099,285,516,161,308,133,208,85,0,45,0,45,0,45,583,166,264,115,257,107,0,45,27,52,35,52
15,Portage Park,1263,332,696,208,531,178,152,81,11,49,0,47,2,43,567,179,201,115,245,108,43,69,29,61,49,59
16,Irving Park,751,200,382,144,167,99,215,109,0,47,0,47,0,47,369,121,134,81,145,80,26,58,16,51,48,51
17,Dunning,386,177,188,99,115,85,73,62,0,40,0,40,0,40,198,93,76,69,101,62,0,40,0,40,21,43
18,Montclare,71,57,12,19,7,23,5,18,0,23,0,23,0,23,59,53,16,30,15,29,0,23,0,23,28,49
19,Belmont Cragin,1126,409,532,217,255,138,208,101,5,52,0,52,64,65,594,233,244,148,294,125,0,52,25,62,31,55
20,Hermosa,393,151,178,93,102,74,41,36,0,29,0,29,35,40,215,108,138,93,36,38,10,32,0,29,31,38
21,Avondale,647,239,332,177,183,153,142,71,0,38,0,38,7,39,315,130,175,106,112,66,0,38,0,38,28,42
22,Logan Square,1006,233,380,128,200,99,123,76,0,57,0,57,57,75,626,179,424,147,129,81,4,57,20,59,49,67
23,Humboldt Park,712,233,339,135,191,110,92,72,46,70,0,51,10,49,373,155,162,95,123,90,31,69,4,50,53,61
24,West Town,1199,259,639,184,459,152,124,84,0,62,6,62,50,82,560,158,333,124,104,84,34,81,39,67,50,74
25,Austin,393,158,159,107,106,107,53,63,0,61,0,61,0,61,234,100,123,82,86,67,13,64,0,61,12,63
26,West Garfield Park,67,67,44,49,25,41,0,35,0,35,19,45,0,35,23,40,5,34,13,39,0,35,0,35,5,34
27,East Garfield Park,74,46,40,43,24,40,0,38,0,38,0,38,16,41,34,42,10,40,8,38,0,38,10,40,6,38
28,Near West Side,1019,232,469,150,271,123,111,71,0,52,15,57,72,73,550,164,402,154,106,76,7,52,5,51,30,57
29,North Lawndale,179,105,62,64,47,58,4,42,0,43,0,43,11,45,117,73,63,61,18,46,0,43,28,50,8,43
30,South Lawndale,356,168,217,114,104,78,98,66,0,48,0,48,15,52,139,84,70,64,62,59,7,48,0,48,0,48
31,Lower West Side,664,229,214,96,125,78,79,62,0,42,0,42,10,41,450,199,403,194,25,46,10,44,4,41,8,41
32,Loop,435,160,207,119,97,86,96,79,0,30,0,30,14,38,228,103,157,91,38,40,18,38,0,30,15,36
33,Near South Side,337,231,139,172,33,35,0,24,106,170,0,24,0,24,198,132,158,131,21,26,0,24,9,25,10,23
34,Armour Square,294,205,161,108,93,67,68,86,0,27,0,27,0,27,133,111,54,59,50,61,0,27,29,40,0,27
35,Douglas,171,80,92,57,30,38,18,37,0,35,0,35,44,52,79,52,23,39,37,43,0,35,0,35,19,39
36,Oakland,3,16,3,16,0,19,0,19,0,19,0,19,3,16,0,19,0,19,0,19,0,19,0,19,0,19
37,Fuller Park,11,20,11,20,11,20,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16
38,Grand Boulevard,232,100,102,65,46,60,29,47,11,45,7,43,9,41,130,82,80,71,19,44,0,43,21,44,10,41
39,Kenwood,198,100,88,66,12,36,61,50,0,31,0,31,15,36,110,80,19,30,11,32,37,65,17,37,26,39
40,Washington Park,60,52,11,31,11,31,0,27,0,27,0,27,0,27,49,50,39,38,0,27,0,27,0,27,10,30
41,Hyde Park,576,165,343,135,250,96,78,63,0,38,0,38,15,44,233,84,100,50,59,51,20,52,39,50,15,40
42,Woodlawn,240,96,138,80,75,63,28,40,7,36,0,36,28,55,102,58,37,44,35,47,0,36,11,39,19,39
43,South Shore,763,319,277,138,152,95,44,63,57,92,24,57,0,44,486,224,280,166,106,88,39,60,23,49,38,55
44,Chatham,325,169,50,51,29,46,21,41,0,37,0,37,0,37,275,152,183,116,43,60,0,37,7,37,42,53
45,Avalon Park,69,52,0,19,0,19,0,19,0,19,0,19,0,19,69,52,35,37,12,26,9,23,0,19,13,22
46,South Chicago,303,177,92,88,68,85,7,37,0,37,17,44,0,37,211,135,113,112,58,75,0,37,14,37,26,44
47,Burnside,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
48,Calumet Heights,55,52,29,37,29,37,0,27,0,27,0,27,0,27,26,34,26,34,0,27,0,27,0,27,0,27
49,Roseland,373,198,160,77,125,76,26,47,6,41,0,41,3,40,213,172,98,121,5,42,55,73,40,52,15,42
50,Pullman,14,29,8,20,0,19,8,20,0,19,0,19,0,19,6,19,0,19,6,19,0,19,0,19,0,19
51,South Deering,148,91,41,37,10,27,10,28,21,30,0,25,0,25,107,73,7,23,38,49,0,25,24,34,38,49
52,East Side,336,139,123,74,26,36,88,67,0,29,0,29,9,29,213,97,87,65,73,60,12,31,18,30,23,29
