area_id,area_name,b19001g001,b19001g001_moe,b19001g002,b19001g002_moe,b19001g003,b19001g003_moe,b19001g004,b19001g004_moe,b19001g005,b19001g005_moe,b19001g006,b19001g006_moe,b19001g007,b19001g007_moe,b19001g008,b19001g008_moe,b19001g009,b19001g009_moe,b19001g010,b19001g010_moe,b19001g011,b19001g011_moe,b19001g012,b19001g012_moe,b19001g013,b19001g013_moe,b19001g014,b19001g014_moe,b19001g015,b19001g015_moe,b19001g016,b19001g016_moe,b19001g017,b19001g017_moe
1,Rogers Park,572,167,124,89,35,60,15,50,13,49,66,70,13,51,30,56,41,57,11,49,84,67,34,59,28,57,32,62,0,48,46,69,0,48
2,West Ridge,464,170,104,95,11,52,34,74,0,51,51,67,25,59,40,71,0,51,14,55,50,77,46,82,28,54,24,62,0,51,37,60,0,51
3,Uptown,750,245,200,144,164,114,19,53,20,54,28,56,0,48,10,49,16,52,13,49,26,53,8,48,41,76,111,120,37,66,57,78,0,48
4,Lincoln Square,312,128,0,40,23,43,43,65,0,40,8,40,21,44,43,71,27,42,24,49,34,53,12,43,52,63,6,40,0,40,13,44,6,40
5,North Center,233,94,7,43,44,57,13,46,8,43,29,50,24,54,0,43,9,44,10,44,17,47,10,44,0,43,11,45,20,52,4,42,27,47
6,Lake View,752,192,92,88,10,67,0,66,11,66,75,75,86,101,8,67,73,83,0,66,62,74,93,99,57,74,65,87,17,70,54,80,49,77
7,Lincoln Park,461,167,31,55,0,51,29,71,13,52,8,51,0,51,0,51,16,53,37,58,36,63,7,51,25,52,53,63,62,72,130,127,14,51
8,Near North Side,646,248,44,66,26,60,99,148,49,67,0,54,0,54,0,54,76,132,17,56,53,82,63,85,98,93,42,65,55,76,0,54,24,58
9,Edison Park,67,55,0,25,0,25,0,25,0,25,0,25,12,30,0,25,0,25,0,25,21,40,0,25,0,25,4,24,12,28,0,25,18,36
10,Norwood Park,153,110,0,39,0,39,0,39,0,39,0,39,0,39,0,39,50,80,0,39,0,39,22,41,40,56,0,39,41,73,0,39,0,39
11,Jefferson Park,173,83,6,29,0,29,19,33,13,34,0,29,0,29,0,29,0,29,0,29,0,29,33,50,30,36,45,47,0,29,27,46,0,29
12,Forest Glen,58,55,0,29,0,29,22,45,0,29,0,29,0,29,0,29,0,29,0,29,16,37,4,29,0,29,0,29,0,29,0,29,16,37
13,North Park,186,114,55,70,0,27,0,27,5,26,0,27,0,27,0,27,4,26,0,27,106,93,12,29,0,27,4,27,0,27,0,27,0,27
14,Albany Park,368,109,13,47,42,50,10,46,20,42,7,45,0,45,0,45,0,45,22,43,61,65,12,45,91,65,48,52,9,46,20,48,13,49
15,Portage Park,244,93,12,47,9,48,0,47,0,47,4,46,24,46,15,51,0,47,0,47,22,48,26,52,48,60,67,64,12,48,5,46,0,47
16,Irving Park,266,100,0,47,11,47,10,47,10,48,34,62,7,46,8,48,16,53,39,63,9,49,14,48,46,53,0,47,45,54,17,47,0,47
17,Dunning,110,66,0,40,14,45,7,40,0,40,0,40,11,42,0,40,0,40,10,40,16,46,23,53,0,40,13,38,16,39,0,40,0,40
18,Montclare,5,18,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,5,18,0,23,0,23,0,23,0,23
19,Belmont Cragin,316,108,65,76,0,52,18,58,11,53,0,52,0,52,17,53,0,52,0,52,38,57,5,52,37,55,48,64,31,60,46,65,0,52
20,Hermosa,133,66,0,29,13,31,15,30,10,32,10,32,34,60,17,30,9,31,0,29,7,27,0,29,0,29,4,29,14,35,0,29,0,29
21,Avondale,295,109,64,64,34,50,26,43,13,39,22,43,0,38,20,53,0,38,15,42,34,51,23,42,8,39,22,41,7,37,7,38,0,38
22,Logan Square,469,135,35,61,24,70,9,58,13,61,33,62,49,73,3,57,17,62,16,58,53,74,26,60,37,65,30,63,63,66,40,69,21,60
23,Humboldt Park,320,127,50,72,36,67,17,53,12,53,37,64,0,51,0,51,0,51,8,52,46,73,52,68,36,61,9,52,17,59,0,51,0,51
24,West Town,541,138,59,74,0,62,38,69,24,68,31,73,30,65,13,65,16,63,0,62,35,66,54,68,100,74,64,73,29,69,29,69,19,62
25,Austin,111,73,0,61,22,64,39,64,0,61,18,62,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,12,63,10,62,10,62
26,West Garfield Park,18,38,5,34,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,13,39,0,35,0,35,0,35,0,35
27,East Garfield Park,40,42,6,38,0,38,10,40,0,38,0,38,0,38,0,38,0,38,0,38,10,39,6,38,8,38,0,38,0,38,0,38,0,38
28,Near West Side,439,125,56,62,7,52,41,66,5,51,0,52,40,61,9,53,0,52,11,54,33,59,9,53,61,70,52,61,24,56,66,59,25,58
29,North Lawndale,73,65,12,46,23,54,14,47,5,42,0,43,0,43,0,43,8,43,0,43,0,43,11,45,0,43,0,43,0,43,0,43,0,43
30,South Lawndale,174,83,22,53,0,48,40,55,0,48,0,48,31,56,24,61,0,48,4,47,23,52,30,52,0,48,0,48,0,48,0,48,0,48
31,Lower West Side,336,128,55,48,23,53,15,43,0,42,22,52,57,66,18,43,12,42,25,56,13,45,79,80,10,40,0,42,4,41,3,40,0,42
32,Loop,200,93,37,63,0,30,0,30,0,30,22,36,0,30,23,35,0,30,0,30,12,31,13,35,38,43,25,38,0,30,0,30,30,39
33,Near South Side,242,200,106,170,22,32,0,24,11,27,3,22,7,25,0,24,9,25,41,70,0,24,30,35,0,24,0,24,13,26,0,24,0,24
34,Armour Square,140,104,52,63,0,27,52,85,0,27,4,26,0,27,9,27,0,27,5,27,0,27,0,27,18,35,0,27,0,27,0,27,0,27
35,Douglas,108,64,13,39,4,34,7,35,0,35,0,35,11,37,10,37,0,35,0,35,22,44,22,47,12,38,0,35,0,35,7,35,0,35
