area_id,area_name,b05003e001,b05003e001_moe,b05003e002,b05003e002_moe,b05003e003,b05003e003_moe,b05003e004,b05003e004_moe,b05003e005,b05003e005_moe,b05003e006,b05003e006_moe,b05003e007,b05003e007_moe,b05003e008,b05003e008_moe,b05003e009,b05003e009_moe,b05003e010,b05003e010_moe,b05003e011,b05003e011_moe,b05003e012,b05003e012_moe,b05003e013,b05003e013_moe,b05003e014,b05003e014_moe,b05003e015,b05003e015_moe,b05003e016,b05003e016_moe,b05003e017,b05003e017_moe,b05003e018,b05003e018_moe,b05003e019,b05003e019_moe,b05003e020,b05003e020_moe,b05003e021,b05003e021_moe,b05003e022,b05003e022_moe,b05003e023,b05003e023_moe
1,Rogers Park,14,51,14,51,0,48,0,48,0,48,0,48,0,48,14,51,0,48,14,51,0,48,14,51,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48
2,West Ridge,8,68,8,68,0,51,0,51,0,51,0,51,0,51,8,68,8,68,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51
3,Uptown,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48
4,Lincoln Square,48,77,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,48,77,0,40,0,40,0,40,0,40,0,40,48,77,48,77,0,40,0,40,0,40
5,North Center,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43
6,Lake View,32,78,28,79,0,66,0,66,0,66,0,66,0,66,28,79,28,79,0,66,0,66,0,66,4,66,0,66,0,66,0,66,0,66,0,66,4,66,4,66,0,66,0,66,0,66
7,Lincoln Park,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51
8,Near North Side,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54
9,Edison Park,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25
10,Norwood Park,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39
11,Jefferson Park,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29
12,Forest Glen,43,75,43,75,17,40,17,40,0,29,0,29,0,29,26,51,26,51,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29
