area_id,area_name,b02010001,b02010001_moe
1,Rogers Park,509,208
2,West Ridge,769,386
3,Uptown,642,256
4,Lincoln Square,388,197
5,North Center,227,105
6,Lake View,461,207
7,Lincoln Park,276,131
8,Near North Side,488,200
9,Edison Park,16,27
10,Norwood Park,163,175
11,Jefferson Park,292,190
12,Forest Glen,95,103
13,North Park,83,60
14,Albany Park,379,184
15,Portage Park,280,200
16,Irving Park,282,154
17,Dunning,143,105
18,Montclare,63,63
19,Belmont Cragin,289,187
20,Hermosa,130,95
21,Avondale,399,290
22,Logan Square,323,147
23,Humboldt Park,516,302
24,West Town,506,162
25,Austin,283,187
26,West Garfield Park,29,49
27,East Garfield Park,43,49
28,Near West Side,525,186
29,North Lawndale,172,130
30,South Lawndale,413,189
31,Lower West Side,240,98
32,Loop,123,84
33,Near South Side,171,119
34,Armour Square,253,305
35,Douglas,58,53
36,Oakland,3,16
37,Fuller Park,0,16
38,Grand Boulevard,159,87
39,Kenwood,152,91
40,Washington Park,39,46
41,Hyde Park,195,98
42,Woodlawn,227,107
43,South Shore,574,342
44,Chatham,259,144
45,Avalon Park,52,46
46,South Chicago,34,46
47,Burnside,0,11
48,Calumet Heights,26,36
49,Roseland,356,268
50,Pullman,0,19
51,South Deering,200,242
52,East Side,183,103
53,West Pullman,42,51
54,Riverdale,3,13
55,Hegewisch,96,89
56,Garfield Ridge,235,153
57,Archer Heights,112,79
58,Brighton Park,192,133
59,McKinley Park,266,195
60,Bridgeport,318,191
61,New City,500,312
62,West Elsdon,97,69
63,Gage Park,139,152
64,Clearing,93,155
65,West Lawn,418,296
66,Chicago Lawn,198,146
67,West Englewood,153,104
68,Englewood,126,89
69,Greater Grand Crossing,290,139
70,Ashburn,211,196
71,Auburn Gresham,131,106
72,Beverly,96,67
73,Washington Heights,91,79
74,Mount Greenwood,59,46
75,Morgan Park,192,87
76,O'Hare,204,189
77,Edgewater,420,251
