area_id,area_name,b20005g001,b20005g001_moe,b20005g002,b20005g002_moe,b20005g003,b20005g003_moe,b20005g004,b20005g004_moe,b20005g005,b20005g005_moe,b20005g006,b20005g006_moe,b20005g007,b20005g007_moe,b20005g008,b20005g008_moe,b20005g009,b20005g009_moe,b20005g010,b20005g010_moe,b20005g011,b20005g011_moe,b20005g012,b20005g012_moe,b20005g013,b20005g013_moe,b20005g014,b20005g014_moe,b20005g015,b20005g015_moe,b20005g016,b20005g016_moe,b20005g017,b20005g017_moe,b20005g018,b20005g018_moe,b20005g019,b20005g019_moe,b20005g020,b20005g020_moe,b20005g021,b20005g021_moe,b20005g022,b20005g022_moe,b20005g023,b20005g023_moe,b20005g024,b20005g024_moe,b20005g025,b20005g025_moe,b20005g026,b20005g026_moe,b20005g027,b20005g027_moe,b20005g028,b20005g028_moe,b20005g029,b20005g029_moe,b20005g030,b20005g030_moe,b20005g031,b20005g031_moe,b20005g032,b20005g032_moe,b20005g033,b20005g033_moe,b20005g034,b20005g034_moe,b20005g035,b20005g035_moe,b20005g036,b20005g036_moe,b20005g037,b20005g037_moe,b20005g038,b20005g038_moe,b20005g039,b20005g039_moe,b20005g040,b20005g040_moe,b20005g041,b20005g041_moe,b20005g042,b20005g042_moe,b20005g043,b20005g043_moe,b20005g044,b20005g044_moe,b20005g045,b20005g045_moe,b20005g046,b20005g046_moe,b20005g047,b20005g047_moe,b20005g048,b20005g048_moe,b20005g049,b20005g049_moe,b20005g050,b20005g050_moe,b20005g051,b20005g051_moe,b20005g052,b20005g052_moe,b20005g053,b20005g053_moe,b20005g054,b20005g054_moe,b20005g055,b20005g055_moe,b20005g056,b20005g056_moe,b20005g057,b20005g057_moe,b20005g058,b20005g058_moe,b20005g059,b20005g059_moe,b20005g060,b20005g060_moe,b20005g061,b20005g061_moe,b20005g062,b20005g062_moe,b20005g063,b20005g063_moe,b20005g064,b20005g064_moe,b20005g065,b20005g065_moe,b20005g066,b20005g066_moe,b20005g067,b20005g067_moe,b20005g068,b20005g068_moe,b20005g069,b20005g069_moe,b20005g070,b20005g070_moe,b20005g071,b20005g071_moe,b20005g072,b20005g072_moe,b20005g073,b20005g073_moe,b20005g074,b20005g074_moe,b20005g075,b20005g075_moe,b20005g076,b20005g076_moe,b20005g077,b20005g077_moe,b20005g078,b20005g078_moe,b20005g079,b20005g079_moe,b20005g080,b20005g080_moe,b20005g081,b20005g081_moe,b20005g082,b20005g082_moe,b20005g083,b20005g083_moe,b20005g084,b20005g084_moe,b20005g085,b20005g085_moe,b20005g086,b20005g086_moe,b20005g087,b20005g087_moe,b20005g088,b20005g088_moe,b20005g089,b20005g089_moe,b20005g090,b20005g090_moe,b20005g091,b20005g091_moe,b20005g092,b20005g092_moe,b20005g093,b20005g093_moe,b20005g094,b20005g094_moe,b20005g095,b20005g095_moe
1,Rogers Park,1256,295,563,165,206,96,0,48,206,96,0,48,0,48,0,48,0,48,29,55,0,48,0,48,17,53,0,48,0,48,15,51,0,48,0,48,14,50,7,49,25,51,0,48,49,63,12,50,38,61,357,138,174,94,183,110,0,48,52,78,18,55,24,60,0,48,13,52,19,54,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,11,49,46,69,693,217,222,119,0,48,222,119,0,48,0,48,0,48,0,48,17,52,0,48,0,48,0,48,0,48,13,49,26,52,29,56,15,54,36,73,0,48,13,49,20,49,53,83,0,48,0,48,471,169,127,88,344,154,102,93,72,78,13,52,36,60,25,51,0,48,0,48,11,49,0,48,0,48,23,50,0,48,35,59,0,48,0,48,0,48,0,48,0,48,27,62,0,48
2,West Ridge,907,292,406,155,155,107,0,51,155,107,0,51,0,51,0,51,0,51,0,51,0,51,34,74,0,51,50,82,0,51,21,58,5,51,0,51,0,51,0,51,0,51,15,53,16,55,14,55,0,51,251,117,88,68,163,96,22,57,0,51,9,51,15,56,28,56,0,51,0,51,30,71,2,50,0,51,24,62,33,61,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,501,217,162,121,0,51,162,121,0,51,0,51,0,51,0,51,0,51,0,51,0,51,30,71,0,51,0,51,0,51,41,75,28,66,0,51,14,55,0,51,37,76,0,51,0,51,12,54,339,183,224,134,115,95,74,90,0,51,3,51,0,51,0,51,21,59,0,51,0,51,0,51,0,51,0,51,8,52,0,51,0,51,0,51,9,52,0,51,0,51,0,51,0,51
3,Uptown,1195,311,479,188,159,142,0,48,159,142,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,36,90,0,48,0,48,9,50,8,48,17,53,37,76,0,48,0,48,52,96,320,134,185,119,135,81,34,57,38,61,17,51,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,21,51,8,47,17,52,0,48,0,48,0,48,0,48,716,230,261,145,0,48,261,145,52,89,0,48,0,48,0,48,7,48,0,48,0,48,0,48,0,48,10,49,0,48,28,75,22,49,80,90,29,65,0,48,14,51,0,48,12,50,7,48,455,179,221,133,234,129,0,48,20,54,18,50,0,48,52,79,80,91,0,48,0,48,34,57,0,48,0,48,0,48,0,48,30,54,0,48,0,48,0,48,0,48,0,48,0,48
4,Lincoln Square,690,230,252,124,100,81,0,40,100,81,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,8,40,12,43,0,40,55,75,0,40,0,40,0,40,0,40,0,40,25,46,152,95,35,54,117,86,18,44,0,40,0,40,0,40,0,40,13,44,29,50,0,40,15,46,0,40,33,61,9,41,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,438,162,207,109,0,40,207,109,0,40,0,40,0,40,0,40,9,41,0,40,0,40,13,44,0,40,0,40,0,40,0,40,69,81,55,52,0,40,0,40,10,43,41,64,4,39,6,40,231,117,136,95,95,64,0,40,29,50,0,40,0,40,0,40,30,43,7,40,0,40,0,40,0,40,0,40,15,44,0,40,0,40,14,46,0,40,0,40,0,40,0,40,0,40
5,North Center,461,127,264,98,182,86,0,43,182,86,0,43,0,43,0,43,29,48,0,43,31,58,0,43,0,43,0,43,0,43,19,45,0,43,11,44,0,43,0,43,0,43,29,53,38,59,5,42,20,43,82,60,59,55,23,49,0,43,0,43,0,43,8,43,0,43,0,43,0,43,0,43,15,48,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,197,84,109,73,0,43,109,73,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,37,56,24,54,0,43,0,43,0,43,17,47,0,43,10,44,10,44,11,45,88,56,26,47,62,53,7,43,0,43,14,44,0,43,8,43,0,43,7,43,0,43,0,43,0,43,13,46,0,43,0,43,7,43,0,43,0,43,6,43,0,43,0,43,0,43
6,Lake View,1146,250,592,189,419,166,0,66,419,166,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,16,70,0,66,10,67,89,105,0,66,65,83,25,68,8,66,15,66,32,83,18,71,141,117,173,103,53,86,120,84,42,76,9,67,15,69,19,68,0,66,0,66,0,66,10,67,25,68,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,554,155,280,115,0,66,280,115,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,23,68,35,71,24,70,55,79,34,79,14,69,36,73,24,73,9,67,26,68,274,118,101,84,173,104,37,80,15,67,6,66,25,70,0,66,0,66,12,68,0,66,12,69,0,66,26,69,0,66,0,66,0,66,0,66,0,66,0,66,31,82,0,66,9,67
7,Lincoln Park,715,200,434,168,247,143,0,51,247,143,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,8,51,42,73,13,54,9,51,35,58,140,128,187,103,60,73,127,84,35,55,15,52,0,51,0,51,0,51,0,51,0,51,0,51,10,52,0,51,7,51,0,51,0,51,9,52,0,51,0,51,27,62,0,51,24,66,0,51,281,110,158,77,0,51,158,77,0,51,0,51,0,51,0,51,7,51,3,51,9,52,0,51,0,51,0,51,0,51,21,56,14,51,0,51,8,51,0,51,32,60,0,51,32,56,32,53,123,83,56,66,67,70,5,50,48,65,6,51,0,51,0,51,8,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51
8,Near North Side,1015,297,442,195,257,137,0,54,257,137,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,40,85,0,54,11,55,18,58,0,54,78,93,110,94,185,145,42,65,143,139,21,63,0,54,9,55,0,54,0,54,13,59,0,54,0,54,0,54,12,57,0,54,0,54,76,132,12,57,0,54,0,54,0,54,0,54,0,54,0,54,573,212,185,116,0,54,185,116,0,54,11,56,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,5,54,0,54,17,59,37,79,38,81,35,65,42,64,388,179,173,92,215,160,15,57,0,54,42,62,86,147,32,66,0,54,13,58,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,27,59
9,Edison Park,131,96,90,82,43,50,0,25,43,50,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,39,51,0,25,0,25,4,24,0,25,47,47,24,34,23,42,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,23,42,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,41,51,28,37,0,25,28,37,0,25,0,25,0,25,0,25,15,31,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,13,28,13,28,13,28,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25
10,Norwood Park,389,175,222,133,131,118,0,39,131,118,0,39,0,39,0,39,0,39,0,39,45,80,0,39,0,39,0,39,0,39,0,39,0,39,0,39,13,39,0,39,0,39,46,80,0,39,27,53,0,39,91,72,11,41,80,71,45,62,0,39,0,39,25,51,0,39,0,39,0,39,0,39,0,39,0,39,10,40,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,167,109,92,80,0,39,92,80,0,39,0,39,0,39,19,47,0,39,0,39,0,39,0,39,0,39,0,39,11,41,0,39,0,39,0,39,0,39,0,39,12,42,41,73,9,40,0,39,75,84,75,84,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39
