area_id,area_name,b10051h001,b10051h001_moe,b10051h002,b10051h002_moe,b10051h003,b10051h003_moe,b10051h004,b10051h004_moe,b10051h005,b10051h005_moe,b10051h006,b10051h006_moe,b10051h007,b10051h007_moe
1,Rogers Park,152,107,0,48,0,48,0,48,152,107,71,82,81,84
2,West Ridge,401,161,101,88,101,88,0,51,300,137,96,81,204,116
3,Uptown,180,168,104,158,0,48,104,158,76,75,66,64,10,51
4,Lincoln Square,275,210,83,113,83,113,0,40,192,180,17,46,175,178
5,North Center,23,49,10,44,10,44,0,43,13,47,6,43,7,43
6,Lake View,67,83,0,66,0,66,0,66,67,83,10,68,57,76
7,Lincoln Park,9,53,0,51,0,51,0,51,9,53,1,49,8,54
8,Near North Side,50,66,17,60,0,54,17,60,33,61,9,55,24,60
9,Edison Park,136,91,60,69,39,41,21,37,76,58,25,29,51,54
10,Norwood Park,369,161,25,44,12,41,13,42,344,159,96,88,248,133
11,Jefferson Park,241,123,9,29,9,29,0,29,232,122,57,72,175,94
12,Forest Glen,201,114,16,37,0,29,16,37,185,111,89,91,96,63
13,North Park,151,93,29,42,15,36,14,33,122,89,32,36,90,84
14,Albany Park,184,116,19,46,0,45,19,46,165,112,76,95,89,73
15,Portage Park,845,266,326,135,224,108,102,97,519,233,161,124,358,162
16,Irving Park,138,79,70,69,42,56,28,61,68,61,46,53,22,48
17,Dunning,894,241,218,145,131,112,87,101,676,191,153,102,523,163
18,Montclare,127,87,41,51,28,50,13,26,86,72,21,38,65,65
19,Belmont Cragin,330,140,62,67,47,63,15,57,268,129,118,89,150,103
20,Hermosa,58,49,7,30,0,29,7,30,51,48,23,34,28,44
21,Avondale,86,77,61,70,21,45,40,60,25,43,5,38,20,42
22,Logan Square,128,82,67,75,40,63,27,70,61,64,27,62,34,60
23,Humboldt Park,51,63,30,60,22,59,8,51,21,53,9,52,12,52
24,West Town,103,84,32,67,0,62,32,67,71,80,31,70,40,68
25,Austin,212,128,139,107,102,104,37,65,73,93,42,88,31,66
26,West Garfield Park,18,40,0,35,0,35,0,35,18,40,0,35,18,40
27,East Garfield Park,0,38,0,38,0,38,0,38,0,38,0,38,0,38
28,Near West Side,107,91,19,58,0,52,19,58,88,86,9,53,79,85
29,North Lawndale,4,42,0,43,0,43,0,43,4,42,4,42,0,43
30,South Lawndale,0,48,0,48,0,48,0,48,0,48,0,48,0,48
31,Lower West Side,0,42,0,42,0,42,0,42,0,42,0,42,0,42
32,Loop,0,30,0,30,0,30,0,30,0,30,0,30,0,30
33,Near South Side,62,67,54,67,0,24,54,67,8,25,0,24,8,25
34,Armour Square,9,29,5,26,5,26,0,27,4,26,4,26,0,27
35,Douglas,0,35,0,35,0,35,0,35,0,35,0,35,0,35
36,Oakland,0,19,0,19,0,19,0,19,0,19,0,19,0,19
37,Fuller Park,0,16,0,16,0,16,0,16,0,16,0,16,0,16
38,Grand Boulevard,27,52,0,43,0,43,0,43,27,52,0,43,27,52
39,Kenwood,0,31,0,31,0,31,0,31,0,31,0,31,0,31
40,Washington Park,0,27,0,27,0,27,0,27,0,27,0,27,0,27
41,Hyde Park,0,38,0,38,0,38,0,38,0,38,0,38,0,38
42,Woodlawn,0,36,0,36,0,36,0,36,0,36,0,36,0,36
43,South Shore,84,84,21,55,0,44,21,55,63,73,0,44,63,73
44,Chatham,0,37,0,37,0,37,0,37,0,37,0,37,0,37
45,Avalon Park,0,19,0,19,0,19,0,19,0,19,0,19,0,19
46,South Chicago,52,63,0,37,0,37,0,37,52,63,41,62,11,38
47,Burnside,0,11,0,11,0,11,0,11,0,11,0,11,0,11
48,Calumet Heights,0,27,0,27,0,27,0,27,0,27,0,27,0,27
49,Roseland,0,41,0,41,0,41,0,41,0,41,0,41,0,41
50,Pullman,11,26,11,26,11,26,0,19,0,19,0,19,0,19
51,South Deering,43,61,6,24,6,24,0,25,37,61,0,25,37,61
52,East Side,112,65,22,36,6,29,16,36,90,60,57,53,33,39
53,West Pullman,0,39,0,39,0,39,0,39,0,39,0,39,0,39
54,Riverdale,0,16,0,16,0,16,0,16,0,16,0,16,0,16
55,Hegewisch,49,45,12,25,0,19,12,25,37,42,0,19,37,42
56,Garfield Ridge,354,172,78,90,68,89,10,44,276,151,70,71,206,131
57,Archer Heights,87,63,11,28,11,28,0,27,76,57,46,47,30,41
58,Brighton Park,78,59,44,50,38,50,6,44,34,52,23,50,11,46
59,McKinley Park,49,54,33,53,33,53,0,25,16,25,6,24,10,25
60,Bridgeport,148,69,49,43,36,39,13,40,99,56,38,45,61,48
61,New City,228,118,53,58,50,59,3,46,175,102,148,100,27,52
62,West Elsdon,35,38,0,27,0,27,0,27,35,38,0,27,35,38
