area_id,area_name,b18101c001,b18101c001_moe,b18101c002,b18101c002_moe,b18101c003,b18101c003_moe,b18101c004,b18101c004_moe,b18101c005,b18101c005_moe,b18101c006,b18101c006_moe,b18101c007,b18101c007_moe,b18101c008,b18101c008_moe,b18101c009,b18101c009_moe,b18101c010,b18101c010_moe
1,Rogers Park,110,130,30,56,0,48,30,56,80,102,0,48,80,102,0,48,0,48,0,48
2,West Ridge,257,215,33,66,0,51,33,66,187,166,14,56,173,165,37,67,22,62,15,57
3,Uptown,249,146,38,76,0,48,38,76,192,107,89,75,103,84,19,53,19,53,0,48
4,Lincoln Square,242,175,26,58,0,40,26,58,203,160,87,93,116,92,13,43,0,40,13,43
5,North Center,81,70,0,43,0,43,0,43,81,70,6,43,75,70,0,43,0,43,0,43
6,Lake View,221,167,11,67,0,66,11,67,195,163,12,68,183,159,15,69,0,66,15,69
7,Lincoln Park,149,112,32,71,0,51,32,71,111,87,5,50,106,86,6,51,6,51,0,51
8,Near North Side,225,164,22,64,0,54,22,64,203,156,43,71,160,149,0,54,0,54,0,54
9,Edison Park,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25
10,Norwood Park,71,133,34,76,0,39,34,76,37,71,15,46,22,47,0,39,0,39,0,39
11,Jefferson Park,74,82,27,45,0,29,27,45,47,52,0,29,47,52,0,29,0,29,0,29
12,Forest Glen,21,40,0,29,0,29,0,29,21,40,0,29,21,40,0,29,0,29,0,29
13,North Park,42,48,0,27,0,27,0,27,42,48,3,23,39,50,0,27,0,27,0,27
14,Albany Park,123,111,10,45,0,45,10,45,81,76,0,45,81,76,32,54,32,54,0,45
15,Portage Park,175,179,34,62,0,47,34,62,141,139,12,49,129,136,0,47,0,47,0,47
16,Irving Park,150,134,14,51,0,47,14,51,124,130,0,47,124,130,12,50,0,47,12,50
17,Dunning,86,97,0,40,0,40,0,40,86,97,0,40,86,97,0,40,0,40,0,40
18,Montclare,42,54,41,53,0,23,41,53,1,16,0,23,1,16,0,23,0,23,0,23
19,Belmont Cragin,171,165,88,117,0,52,88,117,75,73,0,52,75,73,8,53,0,52,8,53
20,Hermosa,33,49,0,29,0,29,0,29,33,49,0,29,33,49,0,29,0,29,0,29
21,Avondale,285,278,32,54,0,38,32,54,238,237,38,59,200,234,15,45,6,38,9,39
22,Logan Square,136,114,17,59,5,57,12,57,119,112,28,71,91,82,0,57,0,57,0,57
23,Humboldt Park,168,159,0,51,0,51,0,51,126,121,26,59,100,99,42,69,42,69,0,51
24,West Town,231,109,14,62,0,62,14,62,207,102,39,71,168,95,10,62,3,62,7,63
25,Austin,142,152,41,71,13,64,28,68,101,124,14,62,87,122,0,61,0,61,0,61
26,West Garfield Park,14,45,0,35,0,35,0,35,14,45,14,45,0,35,0,35,0,35,0,35
27,East Garfield Park,13,43,0,38,0,38,0,38,13,43,0,38,13,43,0,38,0,38,0,38
28,Near West Side,161,112,21,59,0,52,21,59,140,103,27,66,113,84,0,52,0,52,0,52
29,North Lawndale,21,52,0,43,0,43,0,43,18,51,0,43,18,51,3,42,0,43,3,42
30,South Lawndale,314,177,106,88,0,48,106,88,155,89,7,49,148,89,53,59,37,57,16,49
31,Lower West Side,113,74,26,45,0,42,26,45,66,50,5,40,61,52,21,51,21,51,0,42
32,Loop,34,37,0,30,0,30,0,30,34,37,7,30,27,37,0,30,0,30,0,30
33,Near South Side,53,62,0,24,0,24,0,24,53,62,0,24,53,62,0,24,0,24,0,24
34,Armour Square,5,26,0,27,0,27,0,27,5,26,0,27,5,26,0,27,0,27,0,27
35,Douglas,22,38,0,35,0,35,0,35,22,38,0,35,22,38,0,35,0,35,0,35
36,Oakland,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19
37,Fuller Park,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16
38,Grand Boulevard,14,45,0,43,0,43,0,43,1,41,1,41,0,43,13,46,0,43,13,46
39,Kenwood,73,63,9,33,0,31,9,33,0,31,0,31,0,31,64,62,40,50,24,46
40,Washington Park,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
41,Hyde Park,93,75,29,54,0,38,29,54,51,51,0,38,51,51,13,43,0,38,13,43
42,Woodlawn,60,57,7,36,0,36,7,36,53,57,8,37,45,51,0,36,0,36,0,36
43,South Shore,108,86,0,44,0,44,0,44,108,86,63,76,45,60,0,44,0,44,0,44
44,Chatham,28,43,0,37,0,37,0,37,28,43,0,37,28,43,0,37,0,37,0,37
45,Avalon Park,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19
46,South Chicago,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37
47,Burnside,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
48,Calumet Heights,9,29,0,27,0,27,0,27,0,27,0,27,0,27,9,29,4,26,5,26
49,Roseland,20,54,20,54,0,41,20,54,0,41,0,41,0,41,0,41,0,41,0,41
50,Pullman,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19
51,South Deering,17,35,0,25,0,25,0,25,17,35,10,27,7,25,0,25,0,25,0,25
52,East Side,80,67,7,33,0,29,7,33,73,66,20,41,53,57,0,29,0,29,0,29
53,West Pullman,27,47,9,41,0,39,9,41,5,38,0,39,5,38,13,42,13,42,0,39
54,Riverdale,3,13,0,16,0,16,0,16,3,13,0,16,3,13,0,16,0,16,0,16
55,Hegewisch,45,45,0,19,0,19,0,19,45,45,17,29,28,36,0,19,0,19,0,19
56,Garfield Ridge,17,45,0,42,0,42,0,42,17,45,0,42,17,45,0,42,0,42,0,42
57,Archer Heights,91,78,31,35,0,27,31,35,52,62,0,27,52,62,8,28,8,28,0,27
58,Brighton Park,109,91,17,51,0,43,17,51,92,82,29,49,63,72,0,43,0,43,0,43
59,McKinley Park,250,195,149,131,9,28,140,126,101,75,5,28,96,74,0,25,0,25,0,25
60,Bridgeport,226,180,82,89,0,37,82,89,104,104,15,43,89,102,40,50,0,37,40,50
61,New City,309,244,60,84,0,47,60,84,249,216,23,51,226,212,0,47,0,47,0,47
62,West Elsdon,18,29,0,27,0,27,0,27,18,29,0,27,18,29,0,27,0,27,0,27
63,Gage Park,129,152,45,85,0,41,45,85,84,103,0,41,84,103,0,41,0,41,0,41
64,Clearing,93,155,0,31,0,31,0,31,77,125,0,31,77,125,16,41,16,41,0,31
65,West Lawn,353,287,189,147,0,34,189,147,140,121,34,63,106,77,24,50,24,50,0,34
66,Chicago Lawn,118,129,48,87,0,49,48,87,70,81,0,49,70,81,0,49,0,49,0,49
67,West Englewood,21,51,0,48,0,48,0,48,9,49,0,48,9,49,12,50,12,50,0,48
68,Englewood,79,80,0,36,0,36,0,36,61,76,6,36,55,74,18,45,18,45,0,36
69,Greater Grand Crossing,211,107,0,38,0,38,0,38,211,107,35,40,176,98,0,38,0,38,0,38
70,Ashburn,152,183,45,74,0,41,45,74,107,125,0,41,107,125,0,41,0,41,0,41
71,Auburn Gresham,53,82,0,46,0,46,0,46,53,82,0,46,53,82,0,46,0,46,0,46
72,Beverly,24,30,7,30,0,29,7,30,12,30,0,29,12,30,5,28,5,28,0,29
73,Washington Heights,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33
74,Mount Greenwood,18,37,0,25,0,25,0,25,18,37,0,25,18,37,0,25,0,25,0,25
75,Morgan Park,51,42,0,31,0,31,0,31,42,40,0,31,42,40,9,33,0,31,9,33
76,O'Hare,46,64,0,38,0,38,0,38,46,64,0,38,46,64,0,38,0,38,0,38
77,Edgewater,149,131,25,62,0,48,25,62,107,99,0,48,107,99,17,54,0,48,17,54
