area_id,area_name,b17001c001,b17001c001_moe,b17001c002,b17001c002_moe,b17001c003,b17001c003_moe,b17001c004,b17001c004_moe,b17001c005,b17001c005_moe,b17001c006,b17001c006_moe,b17001c007,b17001c007_moe,b17001c008,b17001c008_moe,b17001c009,b17001c009_moe,b17001c010,b17001c010_moe,b17001c011,b17001c011_moe,b17001c012,b17001c012_moe,b17001c013,b17001c013_moe,b17001c014,b17001c014_moe,b17001c015,b17001c015_moe,b17001c016,b17001c016_moe,b17001c017,b17001c017_moe,b17001c018,b17001c018_moe,b17001c019,b17001c019_moe,b17001c020,b17001c020_moe,b17001c021,b17001c021_moe,b17001c022,b17001c022_moe,b17001c023,b17001c023_moe,b17001c024,b17001c024_moe,b17001c025,b17001c025_moe,b17001c026,b17001c026_moe,b17001c027,b17001c027_moe,b17001c028,b17001c028_moe,b17001c029,b17001c029_moe,b17001c030,b17001c030_moe,b17001c031,b17001c031_moe,b17001c032,b17001c032_moe,b17001c033,b17001c033_moe,b17001c034,b17001c034_moe,b17001c035,b17001c035_moe,b17001c036,b17001c036_moe,b17001c037,b17001c037_moe,b17001c038,b17001c038_moe,b17001c039,b17001c039_moe,b17001c040,b17001c040_moe,b17001c041,b17001c041_moe,b17001c042,b17001c042_moe,b17001c043,b17001c043_moe,b17001c044,b17001c044_moe,b17001c045,b17001c045_moe,b17001c046,b17001c046_moe,b17001c047,b17001c047_moe,b17001c048,b17001c048_moe,b17001c049,b17001c049_moe,b17001c050,b17001c050_moe,b17001c051,b17001c051_moe,b17001c052,b17001c052_moe,b17001c053,b17001c053_moe,b17001c054,b17001c054_moe,b17001c055,b17001c055_moe,b17001c056,b17001c056_moe,b17001c057,b17001c057_moe,b17001c058,b17001c058_moe,b17001c059,b17001c059_moe
BK09,Brooklyn Heights-Cobble Hill,80,72,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,80,72,26,39,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,16,37,10,32,0,29,0,29,0,29,54,57,0,29,0,29,0,29,0,29,0,29,0,29,23,44,0,29,0,29,31,45,0,29,0,29,0,29
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,25,61,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,25,61,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,25,61,0,55,0,55,0,55,0,55,0,55,0,55,9,56,0,55,0,55,0,55,0,55,16,60,0,55
BK19,Brighton Beach,74,76,33,65,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,33,65,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,33,65,0,38,0,38,0,38,0,38,41,54,7,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,7,38,0,38,0,38,0,38,34,52,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,21,50,0,38,0,38,13,42
BK21,Seagate-Coney Island,187,151,75,114,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,75,114,38,75,0,38,12,41,0,38,0,38,0,38,0,38,13,42,0,38,0,38,12,39,0,38,0,38,112,106,71,84,0,38,0,38,0,38,0,38,0,38,10,39,0,38,26,55,0,38,0,38,0,38,35,63,0,38,41,59,0,38,0,38,0,38,0,38,11,40,0,38,0,38,30,58,0,38,0,38,0,38,0,38,0,38
BK23,West Brighton,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
BK25,Homecrest,55,62,16,52,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,16,52,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,16,52,39,59,20,57,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,20,57,0,48,0,48,19,50,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,9,49,0,48,10,49,0,48,0,48
BK26,Gravesend,107,107,46,79,26,52,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,26,52,0,36,0,36,20,46,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,20,46,0,36,0,36,61,80,14,39,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,14,39,0,36,0,36,47,62,0,36,0,36,0,36,0,36,0,36,0,36,21,47,14,40,0,36,0,36,12,38,0,36,0,36
BK27,Bath Beach,74,119,14,44,14,44,0,40,0,40,0,40,0,40,0,40,0,40,0,40,14,44,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,60,97,5,39,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,5,39,0,40,0,40,0,40,55,98,12,42,0,40,22,52,0,40,0,40,0,40,0,40,21,53,0,40,0,40,0,40,0,40,0,40
BK28,Bensonhurst West,621,434,140,137,78,84,12,65,0,64,10,64,0,64,0,64,0,64,0,64,14,66,42,70,0,64,0,64,0,64,0,64,62,94,12,65,0,64,18,69,0,64,10,64,0,64,0,64,22,66,0,64,0,64,0,64,0,64,0,64,481,405,388,313,25,73,23,72,0,64,0,64,0,64,0,64,72,90,146,135,51,103,61,95,10,63,0,64,0,64,93,114,0,64,0,64,0,64,0,64,0,64,0,64,29,77,37,75,27,74,0,64,0,64,0,64,0,64
BK29,Bensonhurst East,58,80,12,53,12,53,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,12,53,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,46,78,46,78,0,51,0,51,0,51,0,51,0,51,0,51,9,52,13,55,0,51,24,55,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51
