area_id,area_name,b11001g001,b11001g001_moe,b11001g002,b11001g002_moe,b11001g003,b11001g003_moe,b11001g004,b11001g004_moe,b11001g005,b11001g005_moe,b11001g006,b11001g006_moe,b11001g007,b11001g007_moe,b11001g008,b11001g008_moe,b11001g009,b11001g009_moe
BK09,Brooklyn Heights-Cobble Hill,224,129,83,64,72,61,11,32,11,32,0,29,141,115,141,115,0,29
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,125,84,79,78,33,60,46,74,30,70,16,60,46,61,46,61,0,55
BK19,Brighton Beach,304,139,215,122,116,79,99,101,0,38,99,101,89,78,89,78,0,38
BK21,Seagate-Coney Island,87,62,42,54,14,43,28,51,0,38,28,51,45,45,45,45,0,38
BK23,West Brighton,14,31,14,31,7,26,7,27,0,27,7,27,0,27,0,27,0,27
BK25,Homecrest,131,89,92,85,55,62,37,75,0,48,37,75,39,53,39,53,0,48
BK26,Gravesend,77,55,77,55,56,53,21,39,0,36,21,39,0,36,0,36,0,36
BK27,Bath Beach,121,68,80,61,74,62,6,37,1,38,5,39,41,46,20,42,21,44
BK28,Bensonhurst West,238,95,180,91,96,77,84,78,32,71,52,71,58,69,39,68,19,64
BK29,Bensonhurst East,236,97,177,88,143,81,34,58,18,57,16,52,59,62,59,62,0,51
BK30,Dyker Heights,71,60,61,60,46,57,15,53,0,51,15,53,10,50,4,50,6,50
BK31,Bay Ridge,451,131,255,108,173,95,82,79,63,79,19,65,196,93,133,81,63,73
BK32,Sunset Park West,369,128,195,96,120,83,75,66,25,54,50,63,174,88,119,80,55,59
BK33,Carroll Gardens-Columbia Street-Red Hook,416,146,166,107,63,56,103,100,33,54,70,86,250,107,130,74,120,86
BK34,Sunset Park East,304,105,178,84,95,69,83,75,27,66,56,66,126,77,99,73,27,58
BK35,Stuyvesant Heights,406,133,270,115,101,84,169,92,65,72,104,75,136,76,94,69,42,61
BK37,Park Slope-Gowanus,763,179,340,111,221,89,119,84,58,71,61,72,423,146,307,129,116,86
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,508,147,191,87,88,72,103,71,0,42,103,71,317,119,250,109,67,58
BK40,Windsor Terrace,102,81,47,45,18,36,29,41,11,33,18,41,55,72,55,72,0,32
BK41,Kensington-Ocean Parkway,250,114,169,96,118,90,51,44,14,38,37,44,81,67,68,64,13,43
BK42,Flatbush,653,173,472,150,254,111,218,117,75,95,143,95,181,103,144,90,37,82
BK43,Midwood,256,100,198,88,166,84,32,54,13,53,19,53,58,66,58,66,0,51
BK44,Madison,105,65,90,61,70,57,20,48,10,47,10,47,15,50,0,46,15,50
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,109,71,84,67,53,61,31,59,13,58,18,56,25,57,25,57,0,55
BK46,Ocean Parkway South,57,48,33,39,14,36,19,40,0,36,19,40,24,44,24,44,0,36
BK50,Canarsie,206,99,112,82,25,71,87,80,16,70,71,80,94,86,76,84,18,71
BK58,Flatlands,304,108,207,102,136,87,71,79,45,74,26,68,97,70,97,70,0,62
BK60,Prospect Lefferts Gardens-Wingate,429,163,222,120,52,67,170,113,38,77,132,100,207,117,162,101,45,77
BK61,Crown Heights North,855,212,303,116,110,82,193,102,32,75,161,96,552,187,357,148,195,130
BK63,Crown Heights South,132,67,76,58,25,45,51,54,0,40,51,54,56,50,43,45,13,43
BK64,Prospect Heights,203,82,52,44,41,40,11,35,0,32,11,35,151,74,93,61,58,48
BK68,Fort Greene,530,163,209,90,103,55,106,78,0,38,106,78,321,140,286,135,35,52
BK69,Clinton Hill,669,186,334,139,204,120,130,74,54,62,76,56,335,129,257,108,78,79
BK72,Williamsburg,129,84,55,59,13,38,42,58,0,36,42,58,74,66,63,66,11,37
BK73,North Side-South Side,497,154,249,108,87,75,162,89,11,51,151,87,248,103,169,85,79,75
BK75,Bedford,408,121,260,102,128,79,132,76,35,61,97,72,148,76,132,74,16,58
BK76,Greenpoint,238,112,62,50,38,43,24,49,0,42,24,49,176,105,55,58,121,98
BK77,Bushwick North,468,131,308,104,131,73,177,85,60,66,117,74,160,81,68,70,92,64
BK78,Bushwick South,574,162,375,138,117,77,258,118,24,60,234,117,199,93,173,91,26,57
BK79,Ocean Hill,215,126,100,63,73,58,27,42,17,41,10,39,115,114,115,114,0,38
BK81,Brownsville,319,114,122,79,54,64,68,62,29,53,39,60,197,88,187,87,10,52
BK82,East New York,348,111,210,93,61,65,149,89,53,75,96,76,138,86,120,85,18,66
BK83,Cypress Hills-City Line,177,70,132,62,63,57,69,52,16,50,53,51,45,57,33,55,12,51
BK85,East New York (Pennsylvania Ave),68,48,35,43,17,37,18,39,0,36,18,39,33,42,33,42,0,36
BK88,Borough Park,127,89,60,75,45,72,15,71,15,71,0,68,67,84,13,70,54,82
BK90,East Williamsburg,240,90,109,66,68,56,41,50,0,40,41,50,131,71,77,51,54,61
BK91,East Flatbush-Farragut,372,113,279,103,167,86,112,76,41,57,71,72,93,64,84,63,9,54
BK93,Starrett City,109,76,52,44,14,29,38,38,14,29,24,34,57,62,57,62,0,24
BK95,Erasmus,191,86,125,74,37,48,88,66,0,36,88,66,66,52,30,42,36,45
BK96,Rugby-Remsen Village,225,104,124,84,41,58,83,82,49,78,34,55,101,74,78,66,23,64
BK99,park-cemetery-etc-Brooklyn,27,51,7,40,0,40,7,40,0,40,7,40,20,49,0,40,20,49
BX01,Claremont-Bathgate,288,110,145,80,38,48,107,72,11,42,96,71,143,81,143,81,0,40
BX03,Eastchester-Edenwald-Baychester,231,120,201,113,161,107,40,54,0,40,40,54,30,47,30,47,0,40
BX05,Bedford Park-Fordham North,413,131,237,96,105,62,132,76,21,58,111,68,176,99,148,92,28,60
BX06,Belmont,291,137,187,125,97,105,90,71,46,54,44,54,104,100,104,100,0,34
BX07,Bronxdale,501,157,368,150,61,60,307,140,0,38,307,140,133,71,115,70,18,39
BX08,West Farms-Bronx River,816,218,601,187,234,121,367,153,82,73,285,142,215,111,173,99,42,64
BX09,Soundview-Castle Hill-Clason Point-Harding Park,339,111,247,101,115,70,132,81,0,50,132,81,92,56,65,55,27,50
BX10,Pelham Bay-Country Club-City Island,130,103,72,62,24,48,48,54,0,34,48,54,58,81,0,34,58,81
BX13,Co-op City,381,181,236,147,137,132,99,69,14,34,85,64,145,103,145,103,0,33
BX14,East Concourse-Concourse Village,494,151,323,132,160,95,163,102,35,59,128,92,171,81,151,77,20,53
BX17,East Tremont,434,127,300,110,145,82,155,88,31,66,124,73,134,70,126,71,8,43
BX22,North Riverdale-Fieldston-Riverdale,146,73,74,56,12,40,62,54,0,38,62,54,72,55,72,55,0,38
BX26,Highbridge,293,103,127,62,78,53,49,44,0,42,49,44,166,87,134,80,32,51
BX27,Hunts Point,288,101,253,95,98,60,155,74,3,34,152,74,35,43,22,37,13,41
BX28,Van Cortlandt Village,560,149,411,134,192,97,219,95,9,43,210,94,149,72,142,72,7,44
BX29,Spuyten Duyvil-Kingsbridge,318,121,162,102,27,41,135,101,77,81,58,71,156,68,132,62,24,40
BX30,Kingsbridge Heights,409,127,284,108,67,52,217,97,0,38,217,97,125,71,111,68,14,39
BX31,Allerton-Pelham Gardens,197,84,150,73,54,47,96,68,28,51,68,60,47,54,47,54,0,42
BX33,Longwood,215,80,154,65,51,41,103,54,9,36,94,54,61,52,61,52,0,36
BX34,Melrose South-Mott Haven North,274,105,163,83,53,61,110,68,0,42,110,68,111,69,93,65,18,48
BX35,Morrisania-Melrose,544,144,374,115,80,51,294,106,51,57,243,93,170,82,146,73,24,52
BX36,University Heights-Morris Heights,601,170,419,146,89,61,330,137,83,80,247,119,182,93,177,92,5,49
BX37,Van Nest-Morris Park-Westchester Square,327,113,263,102,134,71,129,82,40,53,89,74,64,61,36,50,28,54
BX39,Mott Haven-Port Morris,379,120,218,92,108,71,110,70,0,50,110,70,161,81,151,79,10,50
BX40,Fordham South,173,95,120,79,29,44,91,72,0,32,91,72,53,60,32,58,21,36
BX41,Mount Hope,502,139,268,100,113,75,155,74,36,56,119,67,234,110,185,105,49,55
BX43,Norwood,622,170,399,127,113,69,286,117,32,49,254,113,223,112,148,94,75,71
BX44,Williamsbridge-Olinville,302,111,213,101,55,59,158,97,12,56,146,94,89,63,89,63,0,54
BX46,Parkchester,666,198,403,152,200,113,203,109,94,72,109,84,263,121,221,110,42,56
BX49,Pelham Parkway,202,96,107,71,48,48,59,61,10,39,49,60,95,72,56,56,39,57
BX52,Schuylerville-Throgs Neck-Edgewater Park,448,146,233,97,72,63,161,86,0,52,161,86,215,116,142,92,73,84
BX55,Soundview-Bruckner,835,194,599,168,160,83,439,149,101,78,338,131,236,103,218,100,18,46
BX59,Westchester-Unionport,470,146,325,124,131,82,194,109,47,59,147,97,145,80,113,70,32,50
BX62,Woodlawn-Wakefield,170,76,92,67,60,55,32,60,24,60,8,48,78,56,55,53,23,52
BX63,West Concourse,376,129,238,106,109,84,129,72,4,40,125,71,138,78,117,70,21,51
BX75,Crotona Park East,124,58,89,49,22,33,67,44,10,31,57,41,35,39,35,39,0,29
BX98,Rikers Island,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
