area_id,area_name,b07004f001,b07004f001_moe,b07004f002,b07004f002_moe,b07004f003,b07004f003_moe,b07004f004,b07004f004_moe,b07004f005,b07004f005_moe,b07004f006,b07004f006_moe
BK09,Brooklyn Heights-Cobble Hill,682,272,476,204,147,172,11,35,31,43,17,34
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,958,440,909,438,31,57,18,56,0,55,0,55
BK19,Brighton Beach,691,421,289,254,318,276,11,43,24,48,49,84
BK21,Seagate-Coney Island,2587,662,2538,655,29,44,20,49,0,38,0,38
BK23,West Brighton,1,24,0,27,0,27,0,27,1,24,0,27
BK25,Homecrest,1046,432,922,388,12,50,16,52,46,97,50,88
BK26,Gravesend,1673,581,1673,581,0,36,0,36,0,36,0,36
BK27,Bath Beach,1709,653,1470,605,234,243,5,39,0,40,0,40
BK28,Bensonhurst West,4031,1041,3726,979,257,224,0,64,0,64,48,99
BK29,Bensonhurst East,2177,621,1836,563,135,134,26,61,0,51,180,214
BK30,Dyker Heights,1024,421,814,338,169,229,0,51,2,50,39,72
BK31,Bay Ridge,4486,849,3941,813,457,273,66,90,12,63,10,67
BK32,Sunset Park West,16297,1508,15076,1471,840,322,220,144,47,54,114,74
BK33,Carroll Gardens-Columbia Street-Red Hook,4862,896,4216,822,471,223,10,43,72,107,93,140
BK34,Sunset Park East,10092,1308,8220,1180,1379,541,170,128,162,110,161,151
BK35,Stuyvesant Heights,5049,888,4643,878,289,198,54,70,55,78,8,52
BK37,Park Slope-Gowanus,6502,1073,6091,1060,224,138,138,92,0,58,49,85
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,4084,741,3711,697,154,129,109,86,90,71,20,47
BK40,Windsor Terrace,1277,456,1242,452,24,38,11,32,0,32,0,32
BK41,Kensington-Ocean Parkway,3143,936,3048,931,49,62,29,58,0,40,17,48
BK42,Flatbush,10739,1604,10193,1587,337,274,46,86,96,125,67,123
BK43,Midwood,1807,633,1687,635,67,98,43,77,10,57,0,51
BK44,Madison,640,326,635,327,1,45,1,45,2,45,1,45
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,1253,526,1090,405,163,275,0,55,0,55,0,55
BK46,Ocean Parkway South,931,436,905,436,17,37,9,35,0,36,0,36
BK50,Canarsie,3748,827,3566,813,87,101,61,83,10,72,24,77
BK58,Flatlands,1904,557,1664,510,218,216,22,71,0,62,0,62
BK60,Prospect Lefferts Gardens-Wingate,3709,911,2881,800,572,386,256,206,0,58,0,58
BK61,Crown Heights North,6297,1111,5548,1051,308,188,387,226,16,94,38,87
BK63,Crown Heights South,1801,540,1513,477,59,64,72,71,0,40,157,123
BK64,Prospect Heights,1210,408,1070,406,25,41,107,103,4,30,4,30
BK68,Fort Greene,2385,516,2049,497,193,130,143,109,0,38,0,38
BK69,Clinton Hill,2605,576,2248,549,101,118,210,131,29,60,17,43
BK72,Williamsburg,1168,443,1123,442,13,39,17,41,0,36,15,40
BK73,North Side-South Side,3695,823,3344,796,88,85,213,152,3,47,47,56
BK75,Bedford,6174,936,5557,907,361,194,157,134,45,63,54,67
BK76,Greenpoint,1676,409,1540,410,46,64,46,69,37,71,7,41
BK77,Bushwick North,26127,1938,23536,1873,1917,620,318,180,149,141,207,153
BK78,Bushwick South,16470,1727,14666,1628,1392,500,257,167,40,75,115,102
BK79,Ocean Hill,3922,808,3549,782,274,204,87,81,10,35,2,36
BK81,Brownsville,4543,806,3623,696,812,398,82,71,19,65,7,51
BK82,East New York,6877,1037,6074,981,472,278,224,125,19,69,88,89
BK83,Cypress Hills-City Line,6137,925,5517,867,350,170,113,144,107,127,50,65
BK85,East New York (Pennsylvania Ave),3906,807,3417,762,262,191,118,91,52,69,57,72
BK88,Borough Park,6024,1144,5720,1120,281,239,3,66,8,68,12,69
BK90,East Williamsburg,4149,682,3889,671,215,136,33,72,12,45,0,40
BK91,East Flatbush-Farragut,1032,397,948,389,71,83,2,52,11,55,0,54
BK93,Starrett City,817,587,817,587,0,24,0,24,0,24,0,24
BK95,Erasmus,1139,535,688,310,378,373,18,52,0,36,55,74
BK96,Rugby-Remsen Village,1239,455,1150,443,88,100,1,52,0,54,0,54
BK99,park-cemetery-etc-Brooklyn,0,40,0,40,0,40,0,40,0,40,0,40
BX01,Claremont-Bathgate,12132,1226,10500,1191,1126,423,381,174,31,49,94,79
BX03,Eastchester-Edenwald-Baychester,5805,1115,5268,1092,429,253,56,74,37,71,15,41
BX05,Bedford Park-Fordham North,28032,1904,24137,1870,3052,818,557,246,161,177,125,105
BX06,Belmont,10780,1327,9014,1245,1329,444,76,71,97,80,264,240
BX07,Bronxdale,11068,1211,9694,1186,1256,435,26,44,56,76,36,47
BX08,West Farms-Bronx River,14992,1595,12935,1483,1464,533,446,409,35,66,112,118
BX09,Soundview-Castle Hill-Clason Point-Harding Park,21585,1849,19231,1739,1404,540,429,274,277,357,244,204
BX10,Pelham Bay-Country Club-City Island,5208,937,3876,900,802,297,325,272,113,129,92,93
BX13,Co-op City,5484,1079,5126,1064,201,159,121,181,29,49,7,32
BX14,East Concourse-Concourse Village,24830,2092,21407,2011,2125,649,636,321,219,190,443,205
BX17,East Tremont,19084,1601,16929,1516,1292,418,322,209,133,122,408,409
BX22,North Riverdale-Fieldston-Riverdale,2446,577,2189,558,167,143,78,66,12,40,0,38
BX26,Highbridge,15414,1301,13152,1229,1067,420,720,354,149,128,326,208
BX27,Hunts Point,10854,984,9383,940,857,275,513,250,22,40,79,80
BX28,Van Cortlandt Village,22033,1603,19132,1523,1534,546,555,260,348,205,464,277
BX29,Spuyten Duyvil-Kingsbridge,6217,815,5239,790,582,347,315,195,0,38,81,113
BX30,Kingsbridge Heights,16744,1378,13722,1211,1872,640,747,474,36,56,367,261
BX31,Allerton-Pelham Gardens,5916,905,5496,893,225,133,141,86,33,62,21,44
BX33,Longwood,11903,1374,9967,1186,1469,602,385,326,40,56,42,51
BX34,Melrose South-Mott Haven North,14603,1608,12185,1481,1469,533,344,280,288,290,317,439
BX35,Morrisania-Melrose,15605,1463,14434,1464,716,266,176,119,153,232,126,103
BX36,University Heights-Morris Heights,25080,1697,20868,1598,2460,662,989,355,468,250,295,154
BX37,Van Nest-Morris Park-Westchester Square,12015,1209,9631,1132,1680,545,448,313,107,109,149,97
BX39,Mott Haven-Port Morris,14721,1310,13222,1294,922,296,303,119,194,210,80,81
BX40,Fordham South,12490,1450,10504,1317,1110,481,431,263,190,163,255,187
BX41,Mount Hope,24562,1703,20728,1605,2070,527,1039,471,362,291,363,209
BX43,Norwood,16480,2094,14597,2016,1343,543,239,197,160,159,141,124
BX44,Williamsbridge-Olinville,8326,1011,6955,883,1127,523,182,165,43,78,19,58
BX46,Parkchester,6384,865,5795,803,298,174,247,227,26,40,18,42
BX49,Pelham Parkway,7461,975,6288,887,787,433,131,118,68,114,187,161
BX52,Schuylerville-Throgs Neck-Edgewater Park,10567,1362,9252,1263,756,329,128,109,354,317,77,106
BX55,Soundview-Bruckner,13311,1410,10329,1302,2409,765,152,140,160,193,261,158
BX59,Westchester-Unionport,12055,1222,10322,1180,1324,493,225,133,76,107,108,87
BX62,Woodlawn-Wakefield,4365,767,3942,723,386,255,31,63,0,48,6,47
BX63,West Concourse,17927,1759,16000,1689,1261,512,173,110,176,146,317,184
BX75,Crotona Park East,11053,1009,9456,1016,1307,533,62,60,170,178,58,55
BX98,Rikers Island,2205,219,446,108,555,122,1078,194,126,79,0,17
BX99,park-cemetery-etc-Bronx,493,207,312,162,150,141,23,33,8,34,0,32
MN01,Marble Hill-Inwood,22721,2187,19826,2120,1505,723,493,304,226,145,671,358
MN03,Central Harlem North-Polo Grounds,7346,1116,6657,1056,343,201,191,135,39,70,116,155
MN04,Hamilton Heights,7717,1409,6659,1232,852,696,73,67,56,68,77,119
MN06,Manhattanville,6917,1187,6722,1190,95,81,76,115,10,36,14,37
MN09,Morningside Heights,4913,973,4483,956,201,148,31,58,111,94,87,82
MN11,Central Harlem South,4571,816,4429,805,35,65,18,48,63,66,26,45
MN12,Upper West Side,4217,917,4073,890,28,77,28,80,0,68,88,108
