area_id,area_name,b19037g001,b19037g001_moe,b19037g002,b19037g002_moe,b19037g003,b19037g003_moe,b19037g004,b19037g004_moe,b19037g005,b19037g005_moe,b19037g006,b19037g006_moe,b19037g007,b19037g007_moe,b19037g008,b19037g008_moe,b19037g009,b19037g009_moe,b19037g010,b19037g010_moe,b19037g011,b19037g011_moe,b19037g012,b19037g012_moe,b19037g013,b19037g013_moe,b19037g014,b19037g014_moe,b19037g015,b19037g015_moe,b19037g016,b19037g016_moe,b19037g017,b19037g017_moe,b19037g018,b19037g018_moe,b19037g019,b19037g019_moe,b19037g020,b19037g020_moe,b19037g021,b19037g021_moe,b19037g022,b19037g022_moe,b19037g023,b19037g023_moe,b19037g024,b19037g024_moe,b19037g025,b19037g025_moe,b19037g026,b19037g026_moe,b19037g027,b19037g027_moe,b19037g028,b19037g028_moe,b19037g029,b19037g029_moe,b19037g030,b19037g030_moe,b19037g031,b19037g031_moe,b19037g032,b19037g032_moe,b19037g033,b19037g033_moe,b19037g034,b19037g034_moe,b19037g035,b19037g035_moe,b19037g036,b19037g036_moe,b19037g037,b19037g037_moe,b19037g038,b19037g038_moe,b19037g039,b19037g039_moe,b19037g040,b19037g040_moe,b19037g041,b19037g041_moe,b19037g042,b19037g042_moe,b19037g043,b19037g043_moe,b19037g044,b19037g044_moe,b19037g045,b19037g045_moe,b19037g046,b19037g046_moe,b19037g047,b19037g047_moe,b19037g048,b19037g048_moe,b19037g049,b19037g049_moe,b19037g050,b19037g050_moe,b19037g051,b19037g051_moe,b19037g052,b19037g052_moe,b19037g053,b19037g053_moe,b19037g054,b19037g054_moe,b19037g055,b19037g055_moe,b19037g056,b19037g056_moe,b19037g057,b19037g057_moe,b19037g058,b19037g058_moe,b19037g059,b19037g059_moe,b19037g060,b19037g060_moe,b19037g061,b19037g061_moe,b19037g062,b19037g062_moe,b19037g063,b19037g063_moe,b19037g064,b19037g064_moe,b19037g065,b19037g065_moe,b19037g066,b19037g066_moe,b19037g067,b19037g067_moe,b19037g068,b19037g068_moe,b19037g069,b19037g069_moe
BK09,Brooklyn Heights-Cobble Hill,224,129,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,201,123,18,37,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,52,73,10,31,20,43,101,95,23,46,0,29,0,29,0,29,0,29,23,46,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,125,84,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,46,74,0,55,0,55,30,70,0,55,0,55,0,55,0,55,0,55,0,55,16,60,0,55,0,55,0,55,0,55,0,55,0,55,62,66,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,15,60,6,55,15,55,12,57,0,55,0,55,14,58,0,55,17,56,10,56,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,7,55,0,55
BK19,Brighton Beach,304,139,27,42,0,38,0,38,0,38,17,43,0,38,0,38,0,38,0,38,0,38,0,38,10,38,0,38,0,38,0,38,0,38,0,38,106,88,41,73,7,38,0,38,17,44,0,38,0,38,0,38,0,38,0,38,0,38,0,38,41,54,0,38,0,38,0,38,0,38,171,113,11,40,0,38,0,38,0,38,88,99,14,43,0,38,0,38,0,38,0,38,8,38,0,38,28,57,0,38,22,43,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38
BK21,Seagate-Coney Island,87,62,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,34,50,6,37,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,24,52,0,38,0,38,4,37,0,38,0,38,14,43,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,14,43,0,38,0,38,0,38,0,38,39,47,0,38,0,38,0,38,3,37,22,44,0,38,0,38,0,38,14,40,0,38,0,38,0,38,0,38,0,38,0,38,0,38
BK23,West Brighton,14,31,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,7,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,7,27,0,27,0,27,0,27,7,26,0,27,7,26,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
BK25,Homecrest,131,89,5,47,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,5,47,0,48,0,48,0,48,30,57,0,48,0,48,0,48,0,48,0,48,0,48,11,49,0,48,0,48,0,48,0,48,0,48,19,56,0,48,0,48,0,48,67,79,37,75,0,48,0,48,0,48,0,48,0,48,16,53,0,48,0,48,0,48,5,47,0,48,0,48,0,48,0,48,9,49,29,52,12,51,11,50,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,6,47,0,48,0,48,0,48,0,48,0,48
BK26,Gravesend,77,55,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,19,44,19,44,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,37,44,0,36,0,36,0,36,0,36,0,36,0,36,11,36,0,36,0,36,0,36,9,38,17,43,0,36,0,36,0,36,0,36,21,39,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,7,35,0,36,14,40,0,36,0,36,0,36,0,36
BK27,Bath Beach,121,68,1,38,0,40,0,40,0,40,0,40,0,40,1,38,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,77,61,0,40,0,40,0,40,0,40,22,52,0,40,3,40,0,40,0,40,0,40,0,40,42,48,10,42,0,40,0,40,0,40,26,43,0,40,0,40,0,40,11,42,0,40,0,40,0,40,0,40,0,40,10,42,0,40,5,39,0,40,0,40,0,40,0,40,17,41,0,40,11,42,6,39,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40
BK28,Bensonhurst West,238,95,16,63,0,64,0,64,0,64,0,64,0,64,8,63,8,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,94,78,0,64,0,64,11,65,10,64,17,69,0,64,0,64,17,68,3,63,12,65,14,63,10,64,0,64,0,64,0,64,0,64,101,79,8,64,0,64,7,63,0,64,0,64,8,64,0,64,0,64,0,64,0,64,30,70,30,70,18,67,0,64,0,64,0,64,27,65,13,66,0,64,0,64,8,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,6,63,0,64,0,64,0,64,0,64
BK29,Bensonhurst East,236,97,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,144,83,14,54,0,51,45,58,13,54,0,51,0,51,0,51,0,51,9,52,36,66,0,51,27,57,0,51,0,51,0,51,0,51,81,67,0,51,16,56,0,51,0,51,11,53,6,50,11,53,0,51,0,51,27,58,10,52,0,51,0,51,0,51,0,51,0,51,11,51,7,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,4,50,0,51,0,51,0,51,0,51
