area_id,area_name,b25032g001,b25032g001_moe,b25032g002,b25032g002_moe,b25032g003,b25032g003_moe,b25032g004,b25032g004_moe,b25032g005,b25032g005_moe,b25032g006,b25032g006_moe,b25032g007,b25032g007_moe,b25032g008,b25032g008_moe,b25032g009,b25032g009_moe,b25032g010,b25032g010_moe,b25032g011,b25032g011_moe
BK09,Brooklyn Heights-Cobble Hill,224,129,23,46,0,29,0,29,0,29,81,59,0,29,41,72,79,90,0,29,0,29
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,125,84,62,73,15,60,16,60,0,55,8,55,7,55,17,56,0,55,0,55,0,55
BK19,Brighton Beach,304,139,93,90,38,49,8,39,17,43,0,38,18,37,0,38,130,105,0,38,0,38
BK21,Seagate-Coney Island,87,62,14,43,0,38,0,38,24,45,0,38,0,38,7,35,42,53,0,38,0,38
BK23,West Brighton,14,31,0,27,0,27,0,27,0,27,0,27,0,27,0,27,14,31,0,27,0,27
BK25,Homecrest,131,89,37,75,6,47,0,48,12,51,5,47,16,53,24,55,31,52,0,48,0,48
BK26,Gravesend,77,55,9,38,14,40,7,35,0,36,0,36,0,36,0,36,47,52,0,36,0,36
BK27,Bath Beach,121,68,0,40,13,44,51,57,7,37,0,40,9,39,1,38,40,49,0,40,0,40
BK28,Bensonhurst West,238,95,61,77,37,67,55,70,7,63,17,68,0,64,29,65,32,64,0,64,0,64
BK29,Bensonhurst East,236,97,9,52,51,63,42,58,23,55,34,59,24,62,46,60,7,51,0,51,0,51
BK30,Dyker Heights,71,60,0,51,11,50,17,49,22,60,0,51,4,50,6,50,11,52,0,51,0,51
BK31,Bay Ridge,451,131,24,71,33,70,57,78,39,66,57,69,2,65,132,88,107,86,0,66,0,66
BK32,Sunset Park West,369,128,8,50,35,57,103,77,90,75,51,58,53,75,0,49,29,52,0,49,0,49
BK33,Carroll Gardens-Columbia Street-Red Hook,416,146,16,49,0,45,32,51,89,66,85,61,68,75,77,63,49,82,0,45,0,45
BK34,Sunset Park East,304,105,55,63,9,58,77,72,39,62,51,68,16,59,7,59,50,71,0,59,0,59
BK35,Stuyvesant Heights,406,133,33,64,13,54,47,67,133,83,65,70,18,56,34,58,63,72,0,51,0,51
BK37,Park Slope-Gowanus,763,179,10,58,31,61,110,92,215,111,130,82,147,100,78,73,42,60,0,58,0,58
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,508,147,0,42,12,41,37,57,57,51,111,69,0,42,144,93,147,84,0,42,0,42
BK40,Windsor Terrace,102,81,73,77,3,31,0,32,0,32,0,32,0,32,0,32,26,38,0,32,0,32
BK41,Kensington-Ocean Parkway,250,114,37,47,9,40,91,88,15,40,0,40,0,40,19,43,79,62,0,40,0,40
BK42,Flatbush,653,173,75,82,0,68,93,92,12,69,31,69,13,67,137,91,292,125,0,68,0,68
BK43,Midwood,256,100,13,53,15,52,19,58,13,53,11,52,5,50,75,66,105,74,0,51,0,51
BK44,Madison,105,65,15,48,10,47,0,46,0,46,33,52,26,55,9,47,12,49,0,46,0,46
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,109,71,22,56,14,55,21,58,46,64,0,55,0,55,0,55,6,55,0,55,0,55
BK46,Ocean Parkway South,57,48,15,40,0,36,0,36,14,39,0,36,14,38,14,36,0,36,0,36,0,36
BK50,Canarsie,206,99,47,72,27,74,78,86,11,71,4,70,13,70,16,73,10,70,0,70,0,70
BK58,Flatlands,304,108,79,78,38,66,41,66,21,62,0,62,18,64,31,66,72,82,4,65,0,62
BK60,Prospect Lefferts Gardens-Wingate,429,163,6,57,46,80,20,59,14,59,8,58,39,69,179,118,98,88,19,61,0,58
BK61,Crown Heights North,855,212,18,71,39,79,51,86,209,127,179,104,54,76,198,125,100,79,7,67,0,67
BK63,Crown Heights South,132,67,0,40,0,40,0,40,0,40,10,41,0,40,53,54,69,53,0,40,0,40
BK64,Prospect Heights,203,82,0,32,0,32,31,46,55,43,49,51,22,36,20,36,26,38,0,32,0,32
BK68,Fort Greene,530,163,0,38,16,41,84,54,51,62,116,96,15,42,84,77,164,94,0,38,0,38
BK69,Clinton Hill,669,186,32,64,8,40,32,46,117,82,104,100,86,62,43,47,228,109,0,40,19,47
BK72,Williamsburg,129,84,26,44,0,36,0,36,5,35,4,34,0,36,52,60,42,58,0,36,0,36
BK73,North Side-South Side,497,154,0,48,19,55,52,64,0,48,70,58,63,68,209,123,84,56,0,48,0,48
BK75,Bedford,408,121,0,56,37,63,64,72,111,76,61,62,25,53,65,71,45,62,0,56,0,56
BK76,Greenpoint,238,112,0,42,0,42,26,52,104,92,104,64,4,41,0,42,0,42,0,42,0,42
BK77,Bushwick North,468,131,22,55,29,57,68,66,78,58,209,95,20,57,35,60,7,54,0,54,0,54
BK78,Bushwick South,574,162,41,64,10,57,84,84,107,75,65,69,71,80,54,64,131,89,11,57,0,56
BK79,Ocean Hill,215,126,15,42,15,42,134,114,21,41,0,38,0,38,9,39,21,38,0,38,0,38
BK81,Brownsville,319,114,0,51,14,51,0,51,19,52,44,56,40,58,95,71,107,83,0,51,0,51
BK82,East New York,348,111,48,75,73,74,30,63,35,68,8,65,21,66,14,63,119,87,0,65,0,65
BK83,Cypress Hills-City Line,177,70,33,54,17,50,40,49,26,53,5,49,0,49,28,51,28,54,0,49,0,49
BK85,East New York (Pennsylvania Ave),68,48,4,35,6,35,0,36,0,36,9,37,38,44,0,36,11,38,0,36,0,36
BK88,Borough Park,127,89,20,70,0,68,15,69,39,78,0,68,22,75,31,72,0,68,0,68,0,68
BK90,East Williamsburg,240,90,0,40,13,43,0,40,48,60,76,56,52,51,41,46,10,41,0,40,0,40
BK91,East Flatbush-Farragut,372,113,110,88,126,74,40,54,57,67,14,56,0,54,0,54,25,55,0,54,0,54
BK93,Starrett City,109,76,0,24,0,24,0,24,0,24,17,32,0,24,0,24,92,71,0,24,0,24
BK95,Erasmus,191,86,19,39,9,37,16,43,30,57,14,38,19,38,37,50,47,48,0,36,0,36
BK96,Rugby-Remsen Village,225,104,11,55,13,55,0,54,71,79,42,65,0,54,25,55,63,66,0,54,0,54
BK99,park-cemetery-etc-Brooklyn,27,51,0,40,0,40,0,40,20,49,0,40,0,40,7,40,0,40,0,40,0,40
BX01,Claremont-Bathgate,288,110,10,39,5,39,15,45,21,44,27,46,27,45,68,53,115,79,0,40,0,40
BX03,Eastchester-Edenwald-Baychester,231,120,82,90,50,54,14,43,38,63,2,38,20,41,0,40,25,48,0,40,0,40
BX05,Bedford Park-Fordham North,413,131,0,50,9,49,48,53,7,48,8,48,63,76,131,80,127,72,20,60,0,50
BX06,Belmont,291,137,39,51,0,34,0,34,35,39,0,34,89,105,53,59,75,93,0,34,0,34
BX07,Bronxdale,501,157,69,72,10,39,15,38,43,58,33,52,23,48,113,83,195,100,0,38,0,38
BX08,West Farms-Bronx River,816,218,42,48,11,42,99,77,163,102,105,108,135,90,113,73,148,99,0,40,0,40
BX09,Soundview-Castle Hill-Clason Point-Harding Park,339,111,81,59,27,54,40,56,13,53,0,50,0,50,28,54,150,85,0,50,0,50
BX10,Pelham Bay-Country Club-City Island,130,103,14,36,0,34,1,43,58,81,0,34,0,34,0,34,57,52,0,34,0,34
BX13,Co-op City,381,181,0,33,28,50,74,117,11,33,36,63,0,33,31,43,201,103,0,33,0,33
