area_id,area_name,b19001g001,b19001g001_moe,b19001g002,b19001g002_moe,b19001g003,b19001g003_moe,b19001g004,b19001g004_moe,b19001g005,b19001g005_moe,b19001g006,b19001g006_moe,b19001g007,b19001g007_moe,b19001g008,b19001g008_moe,b19001g009,b19001g009_moe,b19001g010,b19001g010_moe,b19001g011,b19001g011_moe,b19001g012,b19001g012_moe,b19001g013,b19001g013_moe,b19001g014,b19001g014_moe,b19001g015,b19001g015_moe,b19001g016,b19001g016_moe,b19001g017,b19001g017_moe
BK09,Brooklyn Heights-Cobble Hill,224,129,18,37,0,29,0,29,0,29,23,46,0,29,0,29,0,29,0,29,0,29,0,29,0,29,52,73,10,31,20,43,101,95
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,125,84,10,56,0,55,30,70,0,55,0,55,0,55,0,55,0,55,15,60,22,59,15,55,12,57,0,55,0,55,21,58,0,55
BK19,Brighton Beach,304,139,52,74,7,38,0,38,34,49,88,99,14,43,0,38,0,38,0,38,0,38,18,37,41,54,28,57,0,38,22,43,0,38
BK21,Seagate-Coney Island,87,62,6,37,0,38,0,38,3,37,22,44,0,38,0,38,0,38,14,40,0,38,24,52,14,43,0,38,4,37,0,38,0,38
BK23,West Brighton,14,31,0,27,7,26,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,7,27,0,27,0,27,0,27
BK25,Homecrest,131,89,49,77,11,50,0,48,0,48,0,48,0,48,27,54,0,48,0,48,0,48,11,48,0,48,24,55,0,48,0,48,9,49
BK26,Gravesend,77,55,19,44,0,36,0,36,0,36,0,36,0,36,11,36,0,36,0,36,7,35,9,38,31,46,0,36,0,36,0,36,0,36
BK27,Bath Beach,121,68,0,40,11,42,6,39,11,42,22,52,1,38,3,40,0,40,0,40,10,42,0,40,47,48,10,42,0,40,0,40,0,40
BK28,Bensonhurst West,238,95,21,66,0,64,18,65,18,64,17,69,16,63,8,64,17,68,3,63,12,65,44,70,46,70,18,67,0,64,0,64,0,64
BK29,Bensonhurst East,236,97,21,54,16,56,45,58,13,54,11,53,6,50,11,53,0,51,9,52,63,71,10,52,31,58,0,51,0,51,0,51,0,51
BK30,Dyker Heights,71,60,0,51,0,51,0,51,0,51,22,60,0,51,0,51,0,51,0,51,4,51,26,52,4,50,0,51,9,49,6,51,0,51
BK31,Bay Ridge,451,131,39,72,14,66,40,76,13,65,10,67,28,69,25,76,53,73,32,75,32,69,21,65,89,81,25,64,18,66,12,65,0,66
BK32,Sunset Park West,369,128,42,55,0,49,10,51,20,52,33,55,18,49,7,50,18,51,21,52,23,54,79,83,10,51,9,51,65,78,0,49,14,50
BK33,Carroll Gardens-Columbia Street-Red Hook,416,146,0,45,20,49,0,45,18,52,44,82,26,50,15,49,35,47,10,46,0,45,4,44,35,48,63,62,66,62,67,77,13,45
BK34,Sunset Park East,304,105,36,60,30,64,43,67,16,59,42,67,8,58,0,59,0,59,8,59,23,58,79,75,9,58,0,59,0,59,10,58,0,59
BK35,Stuyvesant Heights,406,133,28,56,11,52,58,64,0,51,9,52,0,51,20,59,25,57,47,64,80,79,21,55,54,72,40,60,0,51,13,55,0,51
BK37,Park Slope-Gowanus,763,179,13,60,73,87,0,58,20,62,0,58,27,59,9,58,18,58,8,58,29,60,85,91,136,85,96,77,79,74,103,91,67,72
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,508,147,38,48,45,59,90,74,0,42,0,42,22,41,0,42,51,64,37,54,36,48,77,74,17,43,20,49,33,54,23,42,19,44
BK40,Windsor Terrace,102,81,0,32,29,43,0,32,0,32,0,32,0,32,55,73,0,32,15,37,0,32,0,32,0,32,0,32,3,31,0,32,0,32
BK41,Kensington-Ocean Parkway,250,114,0,40,9,40,0,40,43,49,0,40,0,40,18,42,15,43,0,40,63,84,19,41,35,58,23,46,0,40,12,42,13,43
BK42,Flatbush,653,173,159,99,12,68,29,69,36,76,0,68,0,68,21,70,16,71,33,77,58,80,103,87,108,102,9,68,15,70,15,71,39,78
BK43,Midwood,256,100,6,50,0,51,25,58,30,58,25,58,49,68,11,52,15,55,18,53,19,53,35,55,23,54,0,51,0,51,0,51,0,51
BK44,Madison,105,65,15,50,0,46,15,47,12,49,0,46,16,51,10,47,0,46,0,46,0,46,0,46,12,48,10,47,5,46,10,47,0,46
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,109,71,0,55,23,60,0,55,0,55,0,55,0,55,0,55,8,55,0,55,0,55,0,55,22,55,20,59,13,55,10,56,13,57
BK46,Ocean Parkway South,57,48,14,38,0,36,0,36,4,35,0,36,0,36,0,36,15,40,0,36,0,36,14,39,0,36,10,37,0,36,0,36,0,36
BK50,Canarsie,206,99,39,73,25,80,0,70,20,73,4,69,34,78,8,70,0,70,18,71,16,70,16,70,5,69,0,70,17,71,0,70,4,69
BK58,Flatlands,304,108,18,62,0,62,9,64,15,62,9,63,0,62,23,66,13,64,42,76,15,63,68,72,35,64,42,77,0,62,15,62,0,62
BK60,Prospect Lefferts Gardens-Wingate,429,163,30,62,14,60,14,57,29,62,0,58,19,63,60,85,2,57,16,60,37,66,128,109,34,67,39,80,0,58,7,57,0,58
BK61,Crown Heights North,855,212,165,121,46,73,36,69,66,86,68,103,27,69,25,70,89,101,61,80,66,81,39,75,51,76,80,82,20,69,0,67,16,69
BK63,Crown Heights South,132,67,25,44,0,40,32,48,0,40,8,40,0,40,8,40,8,40,0,40,10,41,28,51,0,40,0,40,13,43,0,40,0,40
BK64,Prospect Heights,203,82,9,33,22,45,0,32,11,35,9,33,22,36,0,32,0,32,0,32,16,37,33,47,11,33,42,41,21,36,0,32,7,31
BK68,Fort Greene,530,163,85,69,31,50,0,38,6,37,10,40,37,69,0,38,20,38,25,46,22,45,27,40,74,89,132,86,15,42,11,40,35,43
BK69,Clinton Hill,669,186,85,80,13,43,42,53,75,70,12,42,11,42,12,43,0,40,16,45,37,43,49,54,109,74,34,48,39,61,98,102,37,55
BK72,Williamsburg,129,84,80,76,9,34,0,36,0,36,11,37,0,36,0,36,0,36,0,36,0,36,21,47,8,36,0,36,0,36,0,36,0,36
BK73,North Side-South Side,497,154,49,58,23,52,85,92,43,70,29,55,11,51,0,48,11,48,6,47,0,48,40,63,34,52,58,67,39,50,38,50,31,55
BK75,Bedford,408,121,61,64,25,55,3,55,49,69,17,57,10,57,26,55,23,56,64,72,42,60,15,57,25,61,37,64,11,57,0,56,0,56
BK76,Greenpoint,238,112,23,46,0,42,0,42,0,42,11,43,0,42,0,42,3,40,4,40,33,47,0,42,97,77,0,42,43,73,0,42,24,51
