area_id,area_name,b11001c001,b11001c001_moe,b11001c002,b11001c002_moe,b11001c003,b11001c003_moe,b11001c004,b11001c004_moe,b11001c005,b11001c005_moe,b11001c006,b11001c006_moe,b11001c007,b11001c007_moe,b11001c008,b11001c008_moe,b11001c009,b11001c009_moe
1,Rogers Park,21,50,12,49,12,49,0,48,0,48,0,48,9,48,9,48,0,48
2,West Ridge,127,100,82,89,36,67,46,78,39,77,7,52,45,68,45,68,0,51
3,Uptown,139,85,53,64,24,59,29,53,19,53,10,48,86,72,86,72,0,48
4,Lincoln Square,98,81,85,79,51,60,34,65,0,40,34,65,13,43,13,43,0,40
5,North Center,54,68,8,43,8,43,0,43,0,43,0,43,46,66,16,48,30,63
6,Lake View,148,154,16,66,16,66,0,66,0,66,0,66,132,154,132,154,0,66
7,Lincoln Park,56,74,26,59,0,51,26,59,0,51,26,59,30,67,30,67,0,51
8,Near North Side,76,88,15,58,0,54,15,58,0,54,15,58,61,86,61,86,0,54
9,Edison Park,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25
10,Norwood Park,15,47,15,47,0,39,15,47,15,47,0,39,0,39,0,39,0,39
11,Jefferson Park,47,52,47,52,47,52,0,29,0,29,0,29,0,29,0,29,0,29
12,Forest Glen,21,40,0,29,0,29,0,29,0,29,0,29,21,40,21,40,0,29
13,North Park,15,34,15,34,15,34,0,27,0,27,0,27,0,27,0,27,0,27
14,Albany Park,61,56,24,48,24,48,0,45,0,45,0,45,37,51,37,51,0,45
15,Portage Park,62,60,50,56,30,55,20,49,0,47,20,49,12,49,0,47,12,49
16,Irving Park,103,107,91,105,91,105,0,47,0,47,0,47,12,50,12,50,0,47
17,Dunning,31,51,31,51,16,47,15,44,0,40,15,44,0,40,0,40,0,40
18,Montclare,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23
19,Belmont Cragin,26,53,19,53,13,54,6,51,0,52,6,51,7,52,7,52,0,52
20,Hermosa,10,33,10,33,10,33,0,29,0,29,0,29,0,29,0,29,0,29
21,Avondale,85,83,85,83,70,83,15,40,0,38,15,40,0,38,0,38,0,38
22,Logan Square,53,74,42,75,42,75,0,57,0,57,0,57,11,57,8,58,3,56
23,Humboldt Park,80,79,67,76,24,64,43,66,43,66,0,51,13,53,0,51,13,53
24,West Town,147,88,54,76,0,62,54,76,17,66,37,72,93,76,84,76,9,63
25,Austin,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61
26,West Garfield Park,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35
27,East Garfield Park,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38
28,Near West Side,99,80,50,74,45,74,5,51,5,51,0,52,49,60,36,58,13,54
29,North Lawndale,3,42,0,43,0,43,0,43,0,43,0,43,3,42,3,42,0,43
30,South Lawndale,86,55,62,51,37,48,25,49,10,49,15,48,24,53,11,50,13,51
31,Lower West Side,43,45,24,43,11,44,13,41,13,41,0,42,19,41,16,42,3,41
32,Loop,24,37,7,30,7,30,0,30,0,30,0,30,17,37,17,37,0,30
33,Near South Side,38,47,13,27,0,24,13,27,0,24,13,27,25,41,25,41,0,24
34,Armour Square,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
35,Douglas,7,35,0,35,0,35,0,35,0,35,0,35,7,35,7,35,0,35
36,Oakland,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19
37,Fuller Park,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16
38,Grand Boulevard,13,46,0,43,0,43,0,43,0,43,0,43,13,46,13,46,0,43
39,Kenwood,64,62,24,46,0,31,24,46,0,31,24,46,40,50,40,50,0,31
40,Washington Park,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
41,Hyde Park,45,53,4,37,4,37,0,38,0,38,0,38,41,54,36,55,5,37
42,Woodlawn,22,42,22,42,22,42,0,36,0,36,0,36,0,36,0,36,0,36
43,South Shore,89,81,58,70,32,64,26,52,14,51,12,46,31,60,31,60,0,44
44,Chatham,28,43,0,37,0,37,0,37,0,37,0,37,28,43,16,42,12,38
45,Avalon Park,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19
46,South Chicago,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37
