area_id,area_name,b13002g001,b13002g001_moe,b13002g002,b13002g002_moe,b13002g003,b13002g003_moe,b13002g004,b13002g004_moe,b13002g005,b13002g005_moe,b13002g006,b13002g006_moe,b13002g007,b13002g007_moe
1,Rogers Park,555,196,0,48,0,48,0,48,555,196,59,58,496,192
2,West Ridge,399,197,35,70,3,51,32,71,364,192,124,101,240,170
3,Uptown,597,214,0,48,0,48,0,48,597,214,147,103,450,192
4,Lincoln Square,339,140,25,49,25,49,0,40,314,136,111,79,203,109
5,North Center,141,72,0,43,0,43,0,43,141,72,50,49,91,66
6,Lake View,499,148,15,67,7,66,8,67,484,147,133,95,351,128
7,Lincoln Park,249,106,10,52,10,52,0,51,239,105,65,66,174,93
8,Near North Side,420,192,14,56,14,56,0,54,406,191,56,62,350,186
9,Edison Park,41,51,0,25,0,25,0,25,41,51,28,37,13,28
10,Norwood Park,172,123,0,39,0,39,0,39,172,123,90,99,82,82
11,Jefferson Park,137,68,17,30,17,30,0,29,120,65,94,60,26,34
12,Forest Glen,91,64,11,31,11,31,0,29,80,63,58,51,22,45
13,North Park,105,68,0,27,0,27,0,27,105,68,11,29,94,64
14,Albany Park,478,151,27,50,13,48,14,47,451,144,201,97,250,111
15,Portage Park,447,168,49,56,19,54,30,49,398,161,234,109,164,111
16,Irving Park,320,109,27,61,27,61,0,47,293,102,133,78,160,83
17,Dunning,180,91,5,40,5,40,0,40,175,90,78,58,97,75
18,Montclare,59,53,0,23,0,23,0,23,59,53,15,29,44,52
19,Belmont Cragin,478,201,60,70,27,61,33,63,418,187,198,106,220,144
20,Hermosa,186,100,0,29,0,29,0,29,186,100,28,35,158,96
21,Avondale,256,119,7,39,0,38,7,39,249,118,68,59,181,106
22,Logan Square,548,168,0,57,0,57,0,57,548,168,124,81,424,147
23,Humboldt Park,274,131,1,49,1,49,0,51,273,131,95,85,178,97
24,West Town,408,131,0,62,0,62,0,62,408,131,67,69,341,126
25,Austin,131,85,0,61,0,61,0,61,131,85,21,64,110,80
26,West Garfield Park,10,36,0,35,0,35,0,35,10,36,0,35,10,36
27,East Garfield Park,18,40,0,38,0,38,0,38,18,40,8,38,10,40
28,Near West Side,530,162,13,54,4,51,9,54,517,161,109,76,408,147
29,North Lawndale,89,64,23,54,0,43,23,54,66,55,18,46,48,51
30,South Lawndale,96,67,5,47,0,48,5,47,91,68,48,58,43,59
31,Lower West Side,432,196,0,42,0,42,0,42,432,196,21,44,411,194
32,Loop,213,100,0,30,0,30,0,30,213,100,56,47,157,91
33,Near South Side,171,124,0,24,0,24,0,24,171,124,21,26,150,123
34,Armour Square,100,104,0,27,0,27,0,27,100,104,46,62,54,59
35,Douglas,57,47,4,34,4,34,0,35,53,47,24,41,29,39
36,Oakland,0,19,0,19,0,19,0,19,0,19,0,19,0,19
37,Fuller Park,0,16,0,16,0,16,0,16,0,16,0,16,0,16
38,Grand Boulevard,99,72,0,43,0,43,0,43,99,72,13,43,86,71
39,Kenwood,30,32,0,31,0,31,0,31,30,32,11,32,19,30
40,Washington Park,39,38,0,27,0,27,0,27,39,38,0,27,39,38
41,Hyde Park,154,69,0,38,0,38,0,38,154,69,54,56,100,50
42,Woodlawn,82,55,0,36,0,36,0,36,82,55,35,47,47,47
43,South Shore,380,202,0,44,0,44,0,44,380,202,97,86,283,169
44,Chatham,197,130,26,54,26,54,0,37,171,105,17,44,154,102
45,Avalon Park,35,37,0,19,0,19,0,19,35,37,0,19,35,37
46,South Chicago,170,132,0,37,0,37,0,37,170,132,48,74,122,113
47,Burnside,0,11,0,11,0,11,0,11,0,11,0,11,0,11
48,Calumet Heights,26,34,0,27,0,27,0,27,26,34,0,27,26,34
49,Roseland,142,132,0,41,0,41,0,41,142,132,35,62,107,122
50,Pullman,0,19,0,19,0,19,0,19,0,19,0,19,0,19
51,South Deering,73,68,0,25,0,25,0,25,73,68,28,48,45,53
52,East Side,150,83,9,32,9,32,0,29,141,81,54,51,87,65
53,West Pullman,46,57,0,39,0,39,0,39,46,57,0,39,46,57
54,Riverdale,0,16,0,16,0,16,0,16,0,16,0,16,0,16
55,Hegewisch,36,33,0,19,0,19,0,19,36,33,20,26,16,27
56,Garfield Ridge,301,138,30,56,7,42,23,55,271,131,104,70,167,105
57,Archer Heights,32,31,0,27,0,27,0,27,32,31,10,27,22,27
58,Brighton Park,74,73,10,44,10,44,0,43,64,73,27,50,37,53
59,McKinley Park,100,89,60,70,17,30,43,68,40,44,24,43,16,26
60,Bridgeport,198,94,13,41,0,37,13,41,185,93,14,37,171,92
61,New City,174,131,31,53,31,53,0,47,143,128,52,59,91,98
62,West Elsdon,37,51,0,27,0,27,0,27,37,51,10,29,27,47
63,Gage Park,83,76,6,39,6,39,0,41,77,75,30,50,47,56
64,Clearing,92,89,6,32,6,32,0,31,86,89,41,63,45,70
65,West Lawn,217,112,30,42,0,34,30,42,187,102,57,51,130,78
66,Chicago Lawn,107,93,19,50,6,47,13,51,88,92,29,53,59,70
67,West Englewood,52,71,13,50,0,48,13,50,39,65,0,48,39,65
68,Englewood,40,43,0,36,0,36,0,36,40,43,21,40,19,39
69,Greater Grand Crossing,55,62,26,46,0,38,26,46,29,42,11,40,18,40
70,Ashburn,195,122,9,40,0,41,9,40,186,119,28,45,158,116
71,Auburn Gresham,59,61,0,46,0,46,0,46,59,61,28,53,31,55
72,Beverly,69,59,0,29,0,29,0,29,69,59,9,30,60,59
73,Washington Heights,84,86,40,70,0,33,40,70,44,58,14,38,30,55
74,Mount Greenwood,58,43,0,25,0,25,0,25,58,43,23,32,35,33
75,Morgan Park,102,71,0,31,0,31,0,31,102,71,8,33,94,67
76,O'Hare,104,103,16,43,16,43,0,38,88,101,71,95,17,46
77,Edgewater,548,224,74,70,35,57,39,63,474,214,51,64,423,209
