area_id,area_name,b25003d001,b25003d001_moe,b25003d002,b25003d002_moe,b25003d003,b25003d003_moe
1,Rogers Park,1289,265,482,144,807,226
2,West Ridge,4435,437,2007,266,2428,397
3,Uptown,3327,387,875,198,2452,352
4,Lincoln Square,1607,275,818,183,789,208
5,North Center,650,164,398,131,252,100
6,Lake View,3933,453,1611,298,2322,356
7,Lincoln Park,1917,302,743,180,1174,248
8,Near North Side,5671,590,1948,335,3723,514
9,Edison Park,74,53,33,33,41,45
10,Norwood Park,522,152,330,92,192,127
11,Jefferson Park,625,165,471,140,154,93
12,Forest Glen,653,116,638,115,15,32
13,North Park,1433,190,699,149,734,172
14,Albany Park,2020,270,757,165,1263,241
15,Portage Park,758,173,480,125,278,128
16,Irving Park,1395,250,679,174,716,188
17,Dunning,416,110,405,109,11,43
18,Montclare,137,81,92,72,45,38
19,Belmont Cragin,391,123,293,108,98,77
20,Hermosa,76,61,26,36,50,58
21,Avondale,455,144,183,94,272,114
22,Logan Square,1016,187,475,123,541,148
23,Humboldt Park,66,58,31,50,35,58
24,West Town,1620,257,841,175,779,188
25,Austin,188,95,122,87,66,72
26,West Garfield Park,17,43,0,35,17,43
27,East Garfield Park,38,44,38,44,0,38
28,Near West Side,3662,348,1477,230,2185,283
29,North Lawndale,7,43,7,43,0,43
30,South Lawndale,5,47,5,47,0,48
31,Lower West Side,207,89,39,41,168,86
32,Loop,2501,442,743,196,1758,440
33,Near South Side,1805,361,940,235,865,308
34,Armour Square,3457,225,1414,226,2043,236
35,Douglas,842,161,67,52,775,155
36,Oakland,4,17,4,17,0,19
37,Fuller Park,11,19,0,16,11,19
38,Grand Boulevard,26,47,8,43,18,47
39,Kenwood,511,147,96,59,415,142
40,Washington Park,9,28,9,28,0,27
41,Hyde Park,1202,211,385,112,817,188
42,Woodlawn,150,73,47,43,103,70
43,South Shore,56,69,0,44,56,69
44,Chatham,11,42,0,37,11,42
45,Avalon Park,0,19,0,19,0,19
46,South Chicago,32,52,0,37,32,52
47,Burnside,0,11,0,11,0,11
48,Calumet Heights,14,31,14,31,0,27
49,Roseland,61,56,61,56,0,41
50,Pullman,7,20,7,20,0,19
51,South Deering,10,27,10,27,0,25
52,East Side,25,36,17,38,8,27
53,West Pullman,0,39,0,39,0,39
54,Riverdale,0,16,0,16,0,16
55,Hegewisch,0,19,0,19,0,19
56,Garfield Ridge,169,82,144,69,25,55
57,Archer Heights,57,49,57,49,0,27
58,Brighton Park,733,136,671,128,62,65
59,McKinley Park,815,128,633,109,182,82
60,Bridgeport,3454,276,1902,212,1552,237
61,New City,183,62,168,61,15,51
62,West Elsdon,109,50,105,50,4,23
63,Gage Park,148,66,50,46,98,58
64,Clearing,41,50,15,27,26,52
65,West Lawn,38,48,38,48,0,34
66,Chicago Lawn,126,86,88,75,38,62
67,West Englewood,41,65,0,48,41,65
68,Englewood,3,35,3,35,0,36
69,Greater Grand Crossing,8,39,0,38,8,39
70,Ashburn,21,41,21,41,0,41
71,Auburn Gresham,10,47,10,47,0,46
72,Beverly,16,32,16,32,0,29
73,Washington Heights,0,33,0,33,0,33
74,Mount Greenwood,17,34,17,34,0,25
75,Morgan Park,57,69,19,35,38,68
76,O'Hare,485,173,43,55,442,173
77,Edgewater,2952,368,1109,221,1843,312
