area_id,area_name,b19101h001,b19101h001_moe,b19101h002,b19101h002_moe,b19101h003,b19101h003_moe,b19101h004,b19101h004_moe,b19101h005,b19101h005_moe,b19101h006,b19101h006_moe,b19101h007,b19101h007_moe,b19101h008,b19101h008_moe,b19101h009,b19101h009_moe,b19101h010,b19101h010_moe,b19101h011,b19101h011_moe,b19101h012,b19101h012_moe,b19101h013,b19101h013_moe,b19101h014,b19101h014_moe,b19101h015,b19101h015_moe,b19101h016,b19101h016_moe,b19101h017,b19101h017_moe
1,Rogers Park,3741,379,157,105,137,82,75,69,85,70,62,75,155,93,92,65,148,90,78,58,221,110,499,153,540,142,418,136,335,120,356,128,383,130
2,West Ridge,7527,500,232,122,342,145,318,135,168,99,410,175,171,104,322,152,411,165,227,102,696,177,881,234,1121,238,807,192,478,142,583,161,360,133
3,Uptown,4748,410,107,69,59,54,133,88,78,83,143,102,122,110,56,52,161,140,45,58,250,101,302,117,835,204,592,159,502,171,734,184,629,149
4,Lincoln Square,5377,403,74,65,121,83,84,64,197,115,202,101,129,74,127,81,256,115,192,105,313,124,453,125,883,177,493,132,449,126,578,140,826,187
5,North Center,5874,340,53,59,49,50,50,46,52,60,73,62,43,58,106,57,91,68,138,87,205,72,267,84,636,152,768,162,540,130,903,166,1900,213
6,Lake View,11814,596,123,88,76,81,218,134,122,95,116,88,119,86,147,94,227,118,177,109,382,135,528,129,1686,287,1225,238,1151,239,1710,234,3807,334
7,Lincoln Park,8885,515,93,64,62,75,44,61,122,81,26,53,119,85,106,81,55,67,44,54,238,110,337,115,637,179,923,198,601,149,1206,231,4272,393
8,Near North Side,10806,633,186,112,79,85,84,93,108,91,174,101,87,87,114,89,116,88,169,97,313,129,607,183,1045,238,864,220,505,165,1729,343,4626,431
9,Edison Park,2672,201,0,25,30,34,21,30,28,26,80,63,95,61,63,42,36,29,84,53,138,71,261,100,476,133,444,128,219,79,361,108,336,109
10,Norwood Park,8122,357,161,89,48,51,85,62,192,119,330,113,231,102,403,139,306,110,90,57,650,172,724,156,1601,258,1093,224,595,156,1113,209,500,159
11,Jefferson Park,4576,339,74,59,88,50,132,77,188,89,223,109,259,114,178,80,75,43,129,64,388,136,510,171,639,159,609,139,416,125,379,138,289,120
12,Forest Glen,3698,208,102,70,6,29,26,35,44,39,52,48,26,36,61,51,108,74,57,47,168,66,254,81,469,137,432,131,575,140,508,119,810,165
13,North Park,2079,200,26,38,118,87,103,87,30,40,52,52,65,42,72,60,65,72,44,73,161,76,149,90,260,90,220,73,165,82,229,94,320,108
14,Albany Park,3686,346,166,98,79,92,266,135,128,83,223,120,154,81,103,91,230,114,71,54,279,114,248,110,468,148,263,101,250,93,379,128,379,117
15,Portage Park,8499,453,302,148,158,93,176,89,311,126,279,101,301,124,346,112,486,164,370,125,717,186,1104,210,1321,236,1198,222,536,147,681,179,213,93
16,Irving Park,5931,377,175,96,61,64,190,82,178,83,279,103,272,108,126,76,151,75,248,99,290,119,591,150,991,206,683,173,357,112,604,154,735,143
17,Dunning,8123,395,245,120,197,103,192,84,247,89,337,113,328,117,365,113,466,131,252,91,543,147,1053,201,1534,243,1253,195,436,126,445,142,230,104
18,Montclare,1262,200,31,30,21,38,48,42,12,25,78,67,48,50,123,66,121,81,22,25,119,87,134,76,134,74,176,88,78,66,69,58,48,38
19,Belmont Cragin,2971,309,126,86,165,95,191,86,166,97,147,80,117,96,120,74,247,110,110,72,315,108,294,111,513,147,217,91,106,79,80,67,57,65
20,Hermosa,491,142,0,29,0,29,73,63,0,29,0,29,8,30,5,29,57,42,0,29,102,80,44,40,120,83,35,46,18,31,21,35,8,27
21,Avondale,2431,278,58,54,108,75,129,100,84,55,121,74,101,62,111,52,138,92,84,51,230,94,303,119,234,96,315,117,150,77,141,69,124,69
22,Logan Square,5553,378,112,87,79,79,69,72,94,76,46,63,245,118,186,95,259,111,54,61,295,117,440,132,597,140,655,142,715,147,801,159,906,147
23,Humboldt Park,466,126,8,51,0,51,38,55,9,52,36,61,22,59,29,56,65,70,0,51,69,59,10,51,49,56,33,49,0,51,96,72,2,50
24,West Town,8618,474,145,84,113,100,186,94,143,93,235,108,128,84,142,83,133,81,149,89,296,105,532,145,827,154,1090,208,889,171,1495,228,2115,255
25,Austin,1070,145,12,63,62,84,67,91,15,61,17,62,44,75,50,72,0,61,7,61,104,82,72,74,131,90,173,126,105,83,91,78,120,91
26,West Garfield Park,48,46,0,35,3,34,0,35,7,35,0,35,0,35,0,35,0,35,0,35,0,35,21,45,0,35,17,36,0,35,0,35,0,35
27,East Garfield Park,97,68,0,38,0,38,0,38,5,37,0,38,10,40,0,38,0,38,0,38,17,46,14,38,0,38,29,57,0,38,14,41,8,39
28,Near West Side,4237,349,125,82,10,52,10,52,10,52,179,122,34,56,127,92,61,59,4,51,183,86,247,110,508,136,399,112,546,148,692,160,1102,202
29,North Lawndale,115,65,0,43,47,59,3,41,0,43,0,43,0,43,9,44,5,42,0,43,10,44,5,42,19,43,12,45,5,42,0,43,0,43
30,South Lawndale,338,118,103,77,32,62,17,49,0,48,16,51,0,48,13,51,0,48,8,49,15,49,33,60,89,78,6,48,0,48,6,48,0,48
31,Lower West Side,642,140,50,55,56,67,31,47,27,43,26,42,8,42,20,43,27,45,46,49,29,42,64,74,96,61,6,40,52,49,60,43,44,50
32,Loop,3565,450,53,57,19,39,8,30,30,54,38,47,24,34,36,45,50,50,30,40,91,65,179,114,260,121,512,178,430,186,660,211,1145,275
33,Near South Side,2029,347,108,151,0,24,16,24,0,24,45,65,6,19,0,24,22,29,31,35,70,72,65,55,211,104,191,99,168,87,355,128,741,273
34,Armour Square,380,99,11,31,0,27,7,27,20,33,30,40,22,42,0,27,12,23,46,45,28,35,64,44,54,49,23,38,50,55,0,27,13,29
35,Douglas,214,78,0,35,0,35,0,35,0,35,17,40,17,44,0,35,12,38,4,34,10,38,12,34,29,39,21,36,37,42,19,41,36,40
36,Oakland,87,69,0,19,0,19,0,19,0,19,0,19,0,19,0,19,17,31,0,19,0,19,14,25,0,19,32,48,0,19,15,29,9,22
37,Fuller Park,10,19,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,10,19,0,16,0,16,0,16,0,16,0,16,0,16,0,16
38,Grand Boulevard,178,85,0,43,0,43,0,43,24,48,0,43,23,55,0,43,0,43,0,43,6,42,0,43,0,43,35,49,0,43,16,43,74,66
39,Kenwood,627,109,25,49,9,33,0,31,11,32,0,31,0,31,7,31,30,36,0,31,43,38,27,32,75,46,15,32,49,40,106,58,230,63
40,Washington Park,4,26,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,4,26
41,Hyde Park,2256,231,62,51,0,38,4,37,41,59,50,43,40,46,58,62,20,38,41,48,173,80,216,79,247,81,301,108,127,59,369,116,507,100
42,Woodlawn,334,94,47,50,29,46,0,36,0,36,0,36,20,41,0,36,0,36,23,51,17,37,27,42,90,51,19,36,31,42,31,42,0,36
43,South Shore,118,70,0,44,0,44,10,45,0,44,0,44,0,44,11,46,0,44,0,44,0,44,8,46,42,60,13,45,20,52,0,44,14,52
