area_id,area_name,c23002g001,c23002g001_moe,c23002g002,c23002g002_moe,c23002g003,c23002g003_moe,c23002g004,c23002g004_moe,c23002g005,c23002g005_moe,c23002g006,c23002g006_moe,c23002g007,c23002g007_moe,c23002g008,c23002g008_moe,c23002g009,c23002g009_moe,c23002g010,c23002g010_moe,c23002g011,c23002g011_moe,c23002g012,c23002g012_moe,c23002g013,c23002g013_moe,c23002g014,c23002g014_moe,c23002g015,c23002g015_moe,c23002g016,c23002g016_moe,c23002g017,c23002g017_moe,c23002g018,c23002g018_moe,c23002g019,c23002g019_moe,c23002g020,c23002g020_moe,c23002g021,c23002g021_moe,c23002g022,c23002g022_moe,c23002g023,c23002g023_moe,c23002g024,c23002g024_moe,c23002g025,c23002g025_moe,c23002g026,c23002g026_moe,c23002g027,c23002g027_moe
1,Rogers Park,1256,295,563,165,531,163,437,145,0,48,437,145,388,139,49,59,94,80,32,59,0,48,0,48,0,48,32,59,693,217,669,213,475,176,0,48,475,176,431,172,44,59,194,104,24,53,13,49,13,49,0,48,11,51
2,West Ridge,907,292,406,155,313,143,253,130,0,51,253,130,253,130,0,51,60,61,93,70,34,56,34,56,0,51,59,63,501,217,439,201,245,141,0,51,245,141,194,126,51,76,194,129,62,77,0,51,0,51,0,51,62,77
3,Uptown,1195,311,479,188,436,186,348,169,0,48,348,169,251,152,97,84,88,94,43,57,18,55,18,55,0,48,25,51,716,230,666,226,478,187,0,48,478,187,478,187,0,48,188,130,50,57,17,52,17,52,0,48,33,53
4,Lincoln Square,690,230,252,124,199,108,186,102,0,40,186,102,140,87,46,64,13,44,53,61,18,48,18,48,0,40,35,54,438,162,402,153,300,126,0,40,300,126,280,121,20,45,102,83,36,64,0,40,0,40,0,40,36,64
5,North Center,461,127,264,98,224,93,197,89,0,43,197,89,197,89,0,43,27,49,40,49,8,43,8,43,0,43,32,49,197,84,175,81,164,79,0,43,164,79,149,78,15,43,11,46,22,43,7,43,7,43,0,43,15,43
6,Lake View,1146,250,592,189,592,189,504,170,0,66,504,170,459,168,45,71,88,91,0,66,0,66,0,66,0,66,0,66,554,155,537,152,455,142,0,66,455,142,432,141,23,67,82,80,17,71,0,66,0,66,0,66,17,71
7,Lincoln Park,715,200,434,168,405,160,361,156,0,51,361,156,351,156,10,50,44,60,29,71,0,51,0,51,0,51,29,71,281,110,266,109,176,81,0,51,176,81,176,81,0,51,90,78,15,50,8,51,8,51,0,51,7,50
8,Near North Side,1015,297,442,195,398,190,398,190,0,54,398,190,303,143,95,133,0,54,44,65,25,59,9,55,16,59,19,61,573,212,538,211,406,192,0,54,406,192,265,127,141,153,132,85,35,62,5,54,5,54,0,54,30,62
9,Edison Park,131,96,90,82,66,79,66,79,0,25,66,79,66,79,0,25,0,25,24,34,0,25,0,25,0,25,24,34,41,51,41,51,41,51,0,25,41,51,28,37,13,28,0,25,0,25,0,25,0,25,0,25,0,25
10,Norwood Park,389,175,222,133,212,132,183,130,0,39,183,130,156,122,27,57,29,47,10,40,10,40,10,40,0,39,0,39,167,109,167,109,92,80,0,39,92,80,92,80,0,39,75,84,0,39,0,39,0,39,0,39,0,39
11,Jefferson Park,353,138,177,99,171,98,155,92,0,29,155,92,145,88,10,32,16,31,6,29,0,29,0,29,0,29,6,29,176,83,176,83,97,64,0,29,97,64,86,62,11,33,79,55,0,29,0,29,0,29,0,29,0,29
12,Forest Glen,144,73,33,41,33,41,15,34,0,29,15,34,15,34,0,29,18,38,0,29,0,29,0,29,0,29,0,29,111,69,111,69,107,67,0,29,107,67,107,67,0,29,4,29,0,29,0,29,0,29,0,29,0,29
13,North Park,394,191,221,162,214,162,176,114,0,27,176,114,154,112,22,41,38,64,7,27,7,27,7,27,0,27,0,27,173,84,163,85,67,47,0,27,67,47,57,46,10,30,96,78,10,23,0,27,0,27,0,27,10,23
