area_id,area_name,b25014d001,b25014d001_moe,b25014d002,b25014d002_moe,b25014d003,b25014d003_moe
1,Rogers Park,1289,265,1031,227,258,147
2,West Ridge,4435,437,3688,398,747,229
3,Uptown,3327,387,3088,388,239,113
4,Lincoln Square,1607,275,1444,267,163,90
5,North Center,650,164,650,164,0,43
6,Lake View,3933,453,3843,445,90,99
7,Lincoln Park,1917,302,1898,301,19,57
8,Near North Side,5671,590,5441,583,230,153
9,Edison Park,74,53,68,52,6,25
10,Norwood Park,522,152,514,154,8,39
11,Jefferson Park,625,165,508,136,117,84
12,Forest Glen,653,116,645,115,8,30
13,North Park,1433,190,1325,183,108,58
14,Albany Park,2020,270,1788,263,232,113
15,Portage Park,758,173,713,168,45,71
16,Irving Park,1395,250,1302,242,93,73
17,Dunning,416,110,364,104,52,53
18,Montclare,137,81,90,60,47,58
19,Belmont Cragin,391,123,384,122,7,51
20,Hermosa,76,61,76,61,0,29
21,Avondale,455,144,439,143,16,39
22,Logan Square,1016,187,998,184,18,62
23,Humboldt Park,66,58,66,58,0,51
24,West Town,1620,257,1593,256,27,66
25,Austin,188,95,188,95,0,61
26,West Garfield Park,17,43,17,43,0,35
27,East Garfield Park,38,44,38,44,0,38
28,Near West Side,3662,348,3394,348,268,141
29,North Lawndale,7,43,0,43,7,43
30,South Lawndale,5,47,5,47,0,48
31,Lower West Side,207,89,207,89,0,42
32,Loop,2501,442,2450,442,51,59
33,Near South Side,1805,361,1742,346,63,76
34,Armour Square,3457,225,3196,237,261,113
35,Douglas,842,161,789,159,53,50
36,Oakland,4,17,4,17,0,19
37,Fuller Park,11,19,11,19,0,16
38,Grand Boulevard,26,47,26,47,0,43
39,Kenwood,511,147,472,137,39,55
40,Washington Park,9,28,9,28,0,27
41,Hyde Park,1202,211,1174,209,28,44
42,Woodlawn,150,73,150,73,0,36
43,South Shore,56,69,56,69,0,44
44,Chatham,11,42,11,42,0,37
45,Avalon Park,0,19,0,19,0,19
46,South Chicago,32,52,32,52,0,37
47,Burnside,0,11,0,11,0,11
48,Calumet Heights,14,31,14,31,0,27
49,Roseland,61,56,61,56,0,41
50,Pullman,7,20,7,20,0,19
51,South Deering,10,27,10,27,0,25
52,East Side,25,36,25,36,0,29
53,West Pullman,0,39,0,39,0,39
54,Riverdale,0,16,0,16,0,16
55,Hegewisch,0,19,0,19,0,19
56,Garfield Ridge,169,82,154,77,15,47
57,Archer Heights,57,49,57,49,0,27
58,Brighton Park,733,136,674,139,59,51
59,McKinley Park,815,128,744,121,71,52
60,Bridgeport,3454,276,3318,278,136,57
61,New City,183,62,183,62,0,47
62,West Elsdon,109,50,105,50,4,23
63,Gage Park,148,66,121,60,27,43
64,Clearing,41,50,41,50,0,31
65,West Lawn,38,48,38,48,0,34
66,Chicago Lawn,126,86,102,76,24,62
67,West Englewood,41,65,41,65,0,48
68,Englewood,3,35,3,35,0,36
69,Greater Grand Crossing,8,39,8,39,0,38
70,Ashburn,21,41,21,41,0,41
71,Auburn Gresham,10,47,10,47,0,46
72,Beverly,16,32,16,32,0,29
73,Washington Heights,0,33,0,33,0,33
74,Mount Greenwood,17,34,17,34,0,25
75,Morgan Park,57,69,57,69,0,31
76,O'Hare,485,173,485,173,0,38
77,Edgewater,2952,368,2662,355,290,150
