area_id,area_name,b17010d001,b17010d001_moe,b17010d002,b17010d002_moe,b17010d003,b17010d003_moe,b17010d004,b17010d004_moe,b17010d005,b17010d005_moe,b17010d006,b17010d006_moe,b17010d007,b17010d007_moe,b17010d008,b17010d008_moe,b17010d009,b17010d009_moe,b17010d010,b17010d010_moe,b17010d011,b17010d011_moe,b17010d012,b17010d012_moe,b17010d013,b17010d013_moe,b17010d014,b17010d014_moe,b17010d015,b17010d015_moe,b17010d016,b17010d016_moe,b17010d017,b17010d017_moe,b17010d018,b17010d018_moe,b17010d019,b17010d019_moe,b17010d020,b17010d020_moe,b17010d021,b17010d021_moe,b17010d022,b17010d022_moe,b17010d023,b17010d023_moe,b17010d024,b17010d024_moe,b17010d025,b17010d025_moe,b17010d026,b17010d026_moe,b17010d027,b17010d027_moe,b17010d028,b17010d028_moe,b17010d029,b17010d029_moe,b17010d030,b17010d030_moe,b17010d031,b17010d031_moe,b17010d032,b17010d032_moe,b17010d033,b17010d033_moe,b17010d034,b17010d034_moe,b17010d035,b17010d035_moe,b17010d036,b17010d036_moe,b17010d037,b17010d037_moe,b17010d038,b17010d038_moe,b17010d039,b17010d039_moe,b17010d040,b17010d040_moe,b17010d041,b17010d041_moe
1,Rogers Park,716,214,168,121,89,79,10,50,10,50,0,48,0,48,79,78,79,104,57,101,0,48,0,48,0,48,0,48,57,101,22,52,0,48,0,48,0,48,0,48,22,52,548,181,470,172,245,131,109,81,57,86,79,85,225,117,78,69,0,48,0,48,0,48,0,48,0,48,0,48,78,69,16,53,16,53,0,48,0,48,62,64
2,West Ridge,3745,401,485,175,425,166,309,151,38,72,82,95,189,119,116,80,60,65,42,63,42,63,16,55,0,51,26,59,0,51,18,54,18,54,0,51,0,51,18,54,0,51,3260,383,2543,364,1366,303,356,168,229,139,781,206,1177,241,717,207,266,130,138,109,74,91,0,51,64,80,128,89,451,166,289,146,45,71,0,51,244,138,162,91
3,Uptown,1516,267,296,115,170,89,75,67,29,55,32,57,14,53,95,71,126,90,9,49,0,48,0,48,0,48,0,48,9,49,117,91,76,79,7,50,0,48,69,77,41,59,1220,255,798,212,245,124,154,110,18,54,73,65,553,181,422,155,240,124,58,69,29,65,0,48,29,53,182,120,182,114,46,67,0,48,0,48,46,67,136,101
4,Lincoln Square,973,204,93,69,35,48,20,45,0,40,20,45,0,40,15,44,58,72,36,69,36,69,0,40,0,40,36,69,0,40,22,45,22,45,0,40,9,41,13,44,0,40,880,193,719,174,332,128,149,93,106,85,77,57,387,128,161,96,87,85,0,40,0,40,0,40,0,40,87,85,74,55,12,43,0,40,0,40,12,43,62,52
5,North Center,369,119,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,369,119,267,90,109,65,72,55,21,50,16,45,158,75,102,87,23,52,0,43,0,43,0,43,0,43,23,52,79,80,23,48,0,43,0,43,23,48,56,76
6,Lake View,1377,286,139,134,40,70,5,66,0,66,0,66,5,66,35,70,99,131,0,66,0,66,0,66,0,66,0,66,0,66,99,131,99,131,0,66,0,66,99,131,0,66,1238,262,1162,257,565,197,443,187,18,69,104,87,597,163,76,84,27,78,0,66,0,66,0,66,0,66,27,78,49,74,11,68,0,66,0,66,11,68,38,72
7,Lincoln Park,492,130,14,54,14,54,0,51,0,51,0,51,0,51,14,54,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,478,127,381,116,196,89,72,62,64,61,60,68,185,89,97,68,35,58,0,51,0,51,0,51,0,51,35,58,62,60,30,54,0,51,0,51,30,54,32,56
8,Near North Side,1778,346,140,120,140,120,37,79,37,79,0,54,0,54,103,105,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,1638,330,1489,318,392,162,245,147,23,61,124,89,1097,288,149,117,99,111,0,54,0,54,0,54,0,54,99,111,50,66,19,57,0,54,0,54,19,57,31,63
9,Edison Park,36,41,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,36,41,36,41,22,39,0,25,0,25,22,39,14,29,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25
10,Norwood Park,450,148,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,450,148,308,121,166,107,70,87,19,42,77,67,142,67,142,98,49,83,49,83,49,83,0,39,0,39,0,39,93,65,28,47,0,39,0,39,28,47,65,62
11,Jefferson Park,515,148,17,31,8,30,8,30,0,29,0,29,8,30,0,29,9,30,0,29,0,29,0,29,0,29,0,29,0,29,9,30,9,30,0,29,0,29,9,30,0,29,498,150,425,128,286,108,56,56,60,53,170,82,139,74,73,78,0,29,0,29,0,29,0,29,0,29,0,29,73,78,29,43,0,29,14,36,15,38,44,71
12,Forest Glen,565,112,28,31,28,31,19,30,19,30,0,29,0,29,9,31,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,537,115,496,115,289,122,39,55,11,32,239,110,207,86,41,44,6,29,0,29,0,29,0,29,0,29,6,29,35,43,16,34,0,29,0,29,16,34,19,36
13,North Park,1237,180,190,100,107,90,88,87,36,59,6,28,46,56,19,33,83,58,0,27,0,27,0,27,0,27,0,27,0,27,83,58,77,57,0,27,18,35,59,53,6,27,1047,173,876,155,521,129,87,61,162,74,272,109,355,113,171,80,46,53,25,36,0,27,0,27,25,36,21,46,125,62,25,31,0,27,11,28,14,31,100,57
14,Albany Park,1502,237,214,113,189,110,121,94,32,66,40,73,49,56,68,71,25,50,0,45,0,45,0,45,0,45,0,45,0,45,25,50,0,45,0,45,0,45,0,45,25,50,1288,222,887,184,389,125,121,86,54,58,214,94,498,147,401,139,122,80,69,69,0,45,0,45,69,69,53,59,279,116,79,72,0,45,11,46,68,71,200,100
15,Portage Park,570,145,38,58,17,52,17,52,0,47,0,47,17,52,0,47,21,51,0,47,0,47,0,47,0,47,0,47,0,47,21,51,21,51,7,46,14,52,0,47,0,47,532,142,382,120,225,93,48,56,40,50,137,87,157,87,150,87,9,49,9,49,0,47,9,49,0,47,0,47,141,86,51,68,33,68,0,47,18,47,90,68
16,Irving Park,985,211,112,97,49,72,23,58,23,58,0,47,0,47,26,64,63,80,20,56,20,56,20,56,0,47,0,47,0,47,43,75,33,71,33,71,0,47,0,47,10,49,873,193,601,151,311,114,118,82,59,58,134,77,290,106,272,129,138,102,21,56,0,47,0,47,21,56,117,97,134,88,77,80,22,57,0,47,55,73,57,57
