area_id,area_name,c23002d001,c23002d001_moe,c23002d002,c23002d002_moe,c23002d003,c23002d003_moe,c23002d004,c23002d004_moe,c23002d005,c23002d005_moe,c23002d006,c23002d006_moe,c23002d007,c23002d007_moe,c23002d008,c23002d008_moe,c23002d009,c23002d009_moe,c23002d010,c23002d010_moe,c23002d011,c23002d011_moe,c23002d012,c23002d012_moe,c23002d013,c23002d013_moe,c23002d014,c23002d014_moe,c23002d015,c23002d015_moe,c23002d016,c23002d016_moe,c23002d017,c23002d017_moe,c23002d018,c23002d018_moe,c23002d019,c23002d019_moe,c23002d020,c23002d020_moe,c23002d021,c23002d021_moe,c23002d022,c23002d022_moe,c23002d023,c23002d023_moe,c23002d024,c23002d024_moe,c23002d025,c23002d025_moe,c23002d026,c23002d026_moe,c23002d027,c23002d027_moe
1,Rogers Park,3438,784,1483,371,1297,355,977,292,0,48,977,292,853,241,124,137,320,155,186,98,42,60,42,60,0,48,144,91,1955,501,1653,477,988,284,0,48,988,284,899,276,89,74,665,380,302,118,19,50,19,50,0,48,283,116
2,West Ridge,13693,1608,7025,991,6263,918,4824,740,0,51,4824,740,4255,693,569,248,1439,497,762,212,106,75,89,72,17,56,656,204,6668,760,5744,668,3367,505,0,51,3367,505,3079,499,288,134,2377,437,924,234,93,79,90,78,3,52,831,220
3,Uptown,5769,702,2674,489,2316,464,1966,442,0,48,1966,442,1840,434,126,122,350,141,358,151,44,66,44,66,0,48,314,144,3095,455,2231,387,1846,343,0,48,1846,343,1780,340,66,64,385,136,864,241,122,103,122,103,0,48,742,227
4,Lincoln Square,3389,571,1657,354,1457,312,1218,263,0,40,1218,263,1116,240,102,79,239,113,200,110,59,61,59,61,0,40,141,98,1732,322,1474,292,1188,260,0,40,1188,260,1127,251,61,72,286,120,258,99,83,51,76,51,7,41,175,84
5,North Center,1303,323,628,205,514,191,463,176,0,43,463,176,463,176,0,43,51,60,114,70,61,57,61,57,0,43,53,54,675,182,530,157,470,147,0,43,470,147,432,134,38,73,60,56,145,82,4,42,4,42,0,43,141,82
6,Lake View,5949,660,2639,373,2433,369,2204,352,0,66,2204,352,2056,345,148,97,229,114,206,103,81,89,81,89,0,66,125,83,3310,456,2912,432,2157,340,0,66,2157,340,2098,337,59,76,755,257,398,159,104,106,104,106,0,66,294,136
7,Lincoln Park,3252,426,1677,300,1586,295,1253,260,0,51,1253,260,1170,245,83,74,333,151,91,73,43,62,43,62,0,51,48,61,1575,269,1557,268,1303,253,0,51,1303,253,1251,249,52,59,254,96,18,53,0,51,0,51,0,51,18,53
8,Near North Side,8146,845,3619,514,3462,505,3023,479,0,54,3023,479,2892,467,131,107,439,204,157,110,130,107,130,107,0,54,27,61,4527,572,4290,557,3031,454,0,54,3031,454,2821,438,210,132,1259,340,237,132,81,75,81,75,0,54,156,121
9,Edison Park,138,101,65,61,65,61,65,61,0,25,65,61,65,61,0,25,0,25,0,25,0,25,0,25,0,25,0,25,73,55,63,54,55,53,0,25,55,53,55,53,0,25,8,19,10,27,0,25,0,25,0,25,10,27
10,Norwood Park,1415,403,624,237,570,236,502,229,0,39,502,229,458,224,44,62,68,54,54,52,14,42,14,42,0,39,40,50,791,209,604,188,481,146,0,39,481,146,450,147,31,41,123,119,187,102,32,48,18,45,14,41,155,88
11,Jefferson Park,2044,644,980,314,855,298,718,275,0,29,718,275,502,174,216,219,137,75,125,84,37,38,29,38,8,29,88,81,1064,351,970,343,757,248,0,29,757,248,669,227,88,68,213,131,94,75,72,72,72,72,0,29,22,35
12,Forest Glen,1848,304,880,168,804,175,573,158,0,29,573,158,522,158,51,62,231,152,76,54,32,42,32,42,0,29,44,42,968,199,846,157,683,150,0,29,683,150,627,140,56,53,163,81,122,99,23,44,23,44,0,29,99,93
13,North Park,3949,552,1711,287,1449,285,1031,197,0,27,1031,197,886,187,145,86,418,174,262,90,116,61,100,56,16,34,146,71,2238,335,1743,288,1093,194,0,27,1093,194,963,186,130,89,650,181,495,161,50,44,50,44,0,27,445,156
14,Albany Park,5891,911,2924,543,2402,503,1719,369,0,45,1719,369,1658,362,61,57,683,239,522,149,89,65,89,65,0,45,433,141,2967,461,2301,405,1674,353,0,45,1674,353,1576,351,98,70,627,181,666,160,44,53,44,53,0,45,622,156
15,Portage Park,2382,569,1116,289,1030,280,871,239,16,52,855,236,682,183,173,101,159,106,86,61,25,49,25,49,0,47,61,58,1266,344,1048,300,907,285,0,47,907,285,857,265,50,64,141,86,218,98,82,80,82,80,0,47,136,72
16,Irving Park,3550,680,1491,340,1210,290,934,244,0,47,934,244,873,239,61,71,276,123,281,131,115,96,107,95,8,47,166,108,2059,422,1771,364,1223,276,0,47,1223,276,1186,279,37,55,548,211,288,129,18,49,18,49,0,47,270,126
17,Dunning,1383,358,537,168,444,154,391,147,0,40,391,147,384,147,7,40,53,51,93,54,26,45,26,45,0,40,67,50,846,227,755,205,643,178,0,40,643,178,622,177,21,44,112,86,91,68,17,44,17,44,0,40,74,65
18,Montclare,352,207,135,85,135,85,130,86,0,23,130,86,106,75,24,43,5,18,0,23,0,23,0,23,0,23,0,23,217,133,212,133,136,96,0,23,136,96,105,82,31,52,76,61,5,19,0,23,0,23,0,23,5,19
19,Belmont Cragin,948,327,349,137,313,130,278,124,0,52,278,124,278,124,0,52,35,58,36,51,12,54,12,54,0,52,24,50,599,223,490,195,410,179,0,52,410,179,384,177,26,57,80,72,109,75,24,56,24,56,0,52,85,68
20,Hermosa,111,79,73,65,56,58,56,58,0,29,56,58,56,58,0,29,0,29,17,33,8,30,8,30,0,29,9,31,38,45,38,45,30,43,0,29,30,43,30,43,0,29,8,30,0,29,0,29,0,29,0,29,0,29
21,Avondale,1072,364,484,197,434,172,385,159,0,38,385,159,342,143,43,54,49,75,50,65,36,60,36,60,0,38,14,42,588,197,519,190,427,167,0,38,427,167,391,157,36,51,92,96,69,53,29,47,29,47,0,38,40,42
22,Logan Square,1934,351,830,205,808,204,777,202,0,57,777,202,728,197,49,69,31,59,22,60,0,57,0,57,0,57,22,60,1104,220,1017,213,869,194,0,57,869,194,821,188,48,72,148,91,87,72,28,69,28,69,0,57,59,61
23,Humboldt Park,147,121,45,60,45,60,31,59,0,51,31,59,26,55,5,50,14,53,0,51,0,51,0,51,0,51,0,51,102,91,84,89,84,89,0,51,84,89,74,89,10,53,0,51,18,52,11,54,0,51,11,54,7,50
24,West Town,2968,419,1442,296,1432,296,1301,274,0,62,1301,274,1191,254,110,112,131,126,10,63,0,62,0,62,0,62,10,63,1526,245,1498,241,1345,230,0,62,1345,230,1309,229,36,65,153,99,28,64,0,62,0,62,0,62,28,64
25,Austin,351,184,155,113,133,100,74,80,0,61,74,80,54,68,20,71,59,77,22,65,15,63,15,63,0,61,7,63,196,109,153,98,78,82,0,61,78,82,78,82,0,61,75,74,43,70,0,61,0,61,0,61,43,70
26,West Garfield Park,18,41,18,41,18,41,17,43,0,35,17,43,17,43,0,35,1,33,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35
27,East Garfield Park,87,59,19,42,19,42,19,42,0,38,19,42,19,42,0,38,0,38,0,38,0,38,0,38,0,38,0,38,68,53,61,50,42,43,0,38,42,43,42,43,0,38,19,44,7,39,0,38,0,38,0,38,7,39
28,Near West Side,7401,731,3895,540,3757,538,3008,405,0,52,3008,405,2944,401,64,62,749,349,138,92,13,54,13,54,0,52,125,90,3506,441,3343,430,2248,366,0,52,2248,366,2119,359,129,81,1095,236,163,98,12,51,12,51,0,52,151,97
29,North Lawndale,60,76,26,48,26,48,7,43,0,43,7,43,7,43,0,43,19,44,0,43,0,43,0,43,0,43,0,43,34,69,34,69,0,43,0,43,0,43,0,43,0,43,34,69,0,43,0,43,0,43,0,43,0,43
30,South Lawndale,115,80,74,55,74,55,20,47,0,48,20,47,19,47,1,47,54,54,0,48,0,48,0,48,0,48,0,48,41,56,24,49,6,48,0,48,6,48,6,48,0,48,18,50,17,55,17,55,7,48,10,49,0,48
31,Lower West Side,390,162,189,110,189,110,158,95,0,42,158,95,133,75,25,56,31,52,0,42,0,42,0,42,0,42,0,42,201,114,198,113,156,106,0,42,156,106,124,96,32,59,42,50,3,41,0,42,0,42,0,42,3,41
32,Loop,4234,659,1712,375,1604,375,1334,357,0,30,1334,357,1303,354,31,42,270,112,108,68,19,34,19,34,0,30,89,65,2522,486,2362,484,1511,341,0,30,1511,341,1461,332,50,54,851,319,160,106,63,80,63,80,0,30,97,75
33,Near South Side,3213,586,1438,344,1346,338,1277,331,0,24,1277,331,1239,329,38,52,69,66,92,76,0,24,0,24,0,24,92,76,1775,451,1530,410,1149,330,0,24,1149,330,1116,324,33,35,381,194,245,220,0,24,0,24,0,24,245,220
34,Armour Square,7791,583,3820,363,2941,380,2479,374,0,27,2479,374,2114,366,365,182,462,129,879,205,86,98,86,98,0,27,793,173,3971,347,2694,336,2008,298,0,27,2008,298,1774,273,234,111,686,160,1277,203,72,59,72,59,0,27,1205,202
35,Douglas,2169,463,1242,289,1221,287,526,162,0,35,526,162,467,152,59,52,695,228,21,42,0,35,0,35,0,35,21,42,927,264,880,261,419,139,0,35,419,139,316,120,103,66,461,188,47,51,14,41,14,41,0,35,33,47
36,Oakland,57,65,4,17,4,17,4,17,0,19,4,17,4,17,0,19,0,19,0,19,0,19,0,19,0,19,0,19,53,64,34,39,34,39,0,19,34,39,34,39,0,19,0,19,19,35,0,19,0,19,0,19,19,35
37,Fuller Park,11,19,11,19,0,16,0,16,0,16,0,16,0,16,0,16,0,16,11,19,0,16,0,16,0,16,11,19,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16
38,Grand Boulevard,60,58,52,53,37,52,37,52,0,43,37,52,36,53,1,41,0,43,15,44,0,43,0,43,0,43,15,44,8,43,8,43,8,43,0,43,8,43,8,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43
39,Kenwood,1001,286,474,189,430,183,215,146,0,31,215,146,206,145,9,33,215,117,44,50,10,32,10,32,0,31,34,50,527,201,514,199,255,169,0,31,255,169,255,169,0,31,259,110,13,32,0,31,0,31,0,31,13,32
40,Washington Park,9,28,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,9,28,0,27,0,27,0,27,0,27,0,27,0,27,0,27,9,28,9,28,9,28,0,27,0,27
41,Hyde Park,2600,394,1222,243,1119,230,652,142,0,38,652,142,617,137,35,48,467,165,103,79,10,37,10,37,0,38,93,79,1378,240,1310,236,716,179,0,38,716,179,662,172,54,47,594,179,68,50,0,38,0,38,0,38,68,50
42,Woodlawn,589,162,253,106,244,103,143,81,0,36,143,81,93,52,50,71,101,58,9,38,0,36,0,36,0,36,9,38,336,109,327,108,168,70,0,36,168,70,158,70,10,41,159,84,9,37,0,36,0,36,0,36,9,37
43,South Shore,85,77,6,45,0,44,0,44,0,44,0,44,0,44,0,44,0,44,6,45,0,44,0,44,0,44,6,45,79,76,67,71,44,62,0,44,44,62,44,62,0,44,23,55,12,50,0,44,0,44,0,44,12,50
44,Chatham,23,42,1,35,1,35,1,35,0,37,1,35,1,35,0,37,0,37,0,37,0,37,0,37,0,37,0,37,22,43,22,43,22,43,0,37,22,43,11,38,11,42,0,37,0,37,0,37,0,37,0,37,0,37
45,Avalon Park,34,42,13,25,13,25,13,25,0,19,13,25,0,19,13,25,0,19,0,19,0,19,0,19,0,19,0,19,21,37,21,37,21,37,0,19,21,37,21,37,0,19,0,19,0,19,0,19,0,19,0,19,0,19
