area_id,area_name,b19101g001,b19101g001_moe,b19101g002,b19101g002_moe,b19101g003,b19101g003_moe,b19101g004,b19101g004_moe,b19101g005,b19101g005_moe,b19101g006,b19101g006_moe,b19101g007,b19101g007_moe,b19101g008,b19101g008_moe,b19101g009,b19101g009_moe,b19101g010,b19101g010_moe,b19101g011,b19101g011_moe,b19101g012,b19101g012_moe,b19101g013,b19101g013_moe,b19101g014,b19101g014_moe,b19101g015,b19101g015_moe,b19101g016,b19101g016_moe,b19101g017,b19101g017_moe
1,Rogers Park,194,103,12,49,22,58,0,48,0,48,0,48,16,53,15,51,0,48,11,49,0,48,24,59,16,53,32,62,0,48,46,69,0,48
2,West Ridge,275,131,76,85,0,51,0,51,40,82,30,61,5,51,40,71,0,51,0,51,13,54,6,51,29,54,24,62,12,54,0,51,0,51
3,Uptown,277,156,108,110,0,48,0,48,0,48,10,49,0,48,0,48,0,48,13,49,0,48,8,48,13,50,59,87,29,65,37,76,0,48
4,Lincoln Square,132,84,0,40,23,43,0,40,0,40,0,40,9,41,0,40,0,40,10,43,34,53,0,40,37,61,0,40,0,40,13,44,6,40
5,North Center,58,52,0,43,0,43,0,43,8,43,0,43,0,43,0,43,9,44,0,43,0,43,10,44,0,43,0,43,0,43,4,42,27,47
6,Lake View,180,99,15,69,0,66,0,66,0,66,19,68,0,66,0,66,0,66,0,66,36,71,0,66,0,66,12,67,17,70,32,80,49,77
7,Lincoln Park,108,76,0,51,0,51,3,51,0,51,0,51,0,51,0,51,0,51,8,51,9,51,0,51,0,51,8,51,39,68,27,57,14,51
8,Near North Side,108,83,0,54,10,56,0,54,19,61,0,54,0,54,0,54,0,54,5,54,0,54,12,57,11,55,12,58,26,67,0,54,13,56
9,Edison Park,30,38,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,12,28,0,25,18,36
10,Norwood Park,108,85,0,39,0,39,0,39,0,39,0,39,0,39,0,39,5,38,0,39,0,39,22,41,40,56,0,39,41,73,0,39,0,39
11,Jefferson Park,155,79,0,29,0,29,7,30,13,34,0,29,0,29,0,29,0,29,0,29,0,29,33,50,30,36,45,47,0,29,27,46,0,29
12,Forest Glen,38,50,0,29,0,29,22,45,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,16,37
13,North Park,116,93,0,27,0,27,0,27,0,27,0,27,0,27,0,27,4,26,38,64,58,68,12,29,0,27,4,27,0,27,0,27,0,27
14,Albany Park,270,91,13,47,22,47,10,46,11,43,8,44,0,45,0,45,0,45,14,44,48,63,12,45,70,60,33,46,9,46,20,48,0,45
15,Portage Park,206,90,11,47,9,48,0,47,0,47,4,46,9,47,15,51,0,47,0,47,0,47,26,52,77,72,38,61,17,48,0,47,0,47
