area_id,area_name,c21001c001,c21001c001_moe,c21001c002,c21001c002_moe,c21001c003,c21001c003_moe,c21001c004,c21001c004_moe,c21001c005,c21001c005_moe,c21001c006,c21001c006_moe,c21001c007,c21001c007_moe,c21001c008,c21001c008_moe,c21001c009,c21001c009_moe,c21001c010,c21001c010_moe,c21001c011,c21001c011_moe,c21001c012,c21001c012_moe,c21001c013,c21001c013_moe,c21001c014,c21001c014_moe,c21001c015,c21001c015_moe
1,Rogers Park,88,102,28,65,28,65,0,48,28,65,0,48,0,48,0,48,60,67,52,66,0,48,52,66,8,48,0,48,8,48
2,West Ridge,231,180,103,95,88,92,0,51,88,92,15,57,0,51,15,57,128,124,99,119,0,51,99,119,29,63,0,51,29,63
3,Uptown,211,119,163,110,144,97,2,46,142,97,19,53,0,48,19,53,48,61,48,61,0,48,48,61,0,48,0,48,0,48
4,Lincoln Square,216,169,40,53,27,44,23,43,4,39,13,43,0,40,13,43,176,152,176,152,0,40,176,152,0,40,0,40,0,40
5,North Center,81,70,68,68,68,68,30,63,38,49,0,43,0,43,0,43,13,46,13,46,0,43,13,46,0,43,0,43,0,43
6,Lake View,210,164,174,160,174,160,91,151,83,83,0,66,0,66,0,66,36,68,21,65,0,66,21,65,15,69,0,66,15,69
7,Lincoln Park,122,88,59,70,53,69,0,51,53,69,6,51,6,51,0,51,63,65,58,65,0,51,58,65,5,50,0,51,5,50
8,Near North Side,203,156,22,60,22,60,0,54,22,60,0,54,0,54,0,54,181,153,181,153,0,54,181,153,0,54,0,54,0,54
9,Edison Park,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25
10,Norwood Park,37,71,15,47,15,47,0,39,15,47,0,39,0,39,0,39,22,47,22,47,0,39,22,47,0,39,0,39,0,39
11,Jefferson Park,47,52,27,45,27,45,0,29,27,45,0,29,0,29,0,29,20,39,20,39,0,29,20,39,0,29,0,29,0,29
12,Forest Glen,21,40,21,40,21,40,0,29,21,40,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29
13,North Park,42,48,30,41,30,41,15,34,15,33,0,27,0,27,0,27,12,22,12,22,0,27,12,22,0,27,0,27,0,27
14,Albany Park,113,96,71,65,71,65,9,44,62,65,0,45,0,45,0,45,42,61,10,45,0,45,10,45,32,54,0,45,32,54
15,Portage Park,141,139,81,92,81,92,0,47,81,92,0,47,0,47,0,47,60,68,60,68,0,47,60,68,0,47,0,47,0,47
16,Irving Park,136,131,75,85,75,85,7,48,68,85,0,47,0,47,0,47,61,86,49,84,0,47,49,84,12,50,0,47,12,50
17,Dunning,86,97,71,80,71,80,16,47,55,75,0,40,0,40,0,40,15,44,15,44,0,40,15,44,0,40,0,40,0,40
18,Montclare,1,16,1,16,1,16,0,23,1,16,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23
19,Belmont Cragin,83,73,42,54,42,54,10,53,32,52,0,52,0,52,0,52,41,59,33,58,0,52,33,58,8,53,0,52,8,53
20,Hermosa,33,49,11,33,11,33,0,29,11,33,0,29,0,29,0,29,22,37,22,37,0,29,22,37,0,29,0,29,0,29
21,Avondale,253,240,100,115,100,115,0,38,100,115,0,38,0,38,0,38,153,150,138,145,0,38,138,145,15,45,0,38,15,45
22,Logan Square,119,112,80,82,80,82,20,65,60,76,0,57,0,57,0,57,39,71,39,71,0,57,39,71,0,57,0,57,0,57
23,Humboldt Park,168,159,114,111,101,109,3,49,98,110,13,53,13,53,0,51,54,74,25,60,0,51,25,60,29,68,0,51,29,68
24,West Town,217,103,108,81,108,81,21,66,87,77,0,62,0,62,0,62,109,85,99,84,0,62,99,84,10,62,0,62,10,62
25,Austin,101,124,55,98,55,98,8,62,47,97,0,61,0,61,0,61,46,71,46,71,0,61,46,71,0,61,0,61,0,61
26,West Garfield Park,14,45,0,35,0,35,0,35,0,35,0,35,0,35,0,35,14,45,14,45,0,35,14,45,0,35,0,35,0,35
27,East Garfield Park,13,43,0,38,0,38,0,38,0,38,0,38,0,38,0,38,13,43,13,43,0,38,13,43,0,38,0,38,0,38
28,Near West Side,140,103,84,86,84,86,46,74,38,68,0,52,0,52,0,52,56,61,56,61,0,52,56,61,0,52,0,52,0,52
29,North Lawndale,21,52,0,43,0,43,0,43,0,43,0,43,0,43,0,43,21,52,18,51,0,43,18,51,3,42,0,43,3,42
30,South Lawndale,212,110,114,67,85,56,0,48,85,56,29,49,0,48,29,49,98,66,74,60,0,48,74,60,24,48,0,48,24,48
31,Lower West Side,87,60,53,49,42,45,0,42,42,45,11,44,0,42,11,44,34,41,24,39,0,42,24,39,10,43,0,42,10,43
32,Loop,34,37,17,30,17,30,0,30,17,30,0,30,0,30,0,30,17,37,17,37,0,30,17,37,0,30,0,30,0,30
33,Near South Side,53,62,40,48,40,48,0,24,40,48,0,24,0,24,0,24,13,27,13,27,0,24,13,27,0,24,0,24,0,24
34,Armour Square,5,26,0,27,0,27,0,27,0,27,0,27,0,27,0,27,5,26,5,26,0,27,5,26,0,27,0,27,0,27
