area_id,area_name,b07004c001,b07004c001_moe,b07004c002,b07004c002_moe,b07004c003,b07004c003_moe,b07004c004,b07004c004_moe,b07004c005,b07004c005_moe,b07004c006,b07004c006_moe
1,Rogers Park,118,130,118,130,0,48,0,48,0,48,0,48
2,West Ridge,264,215,149,121,115,185,0,51,0,51,0,51
3,Uptown,249,146,191,130,58,77,0,48,0,48,0,48
4,Lincoln Square,242,175,229,174,13,43,0,40,0,40,0,40
5,North Center,81,70,81,70,0,43,0,43,0,43,0,43
6,Lake View,221,167,166,160,36,78,12,67,0,66,7,66
7,Lincoln Park,154,112,144,111,5,51,0,51,5,50,0,51
8,Near North Side,225,164,202,160,23,64,0,54,0,54,0,54
9,Edison Park,0,25,0,25,0,25,0,25,0,25,0,25
10,Norwood Park,54,102,54,102,0,39,0,39,0,39,0,39
11,Jefferson Park,74,82,74,82,0,29,0,29,0,29,0,29
12,Forest Glen,21,40,0,29,21,40,0,29,0,29,0,29
13,North Park,42,48,42,48,0,27,0,27,0,27,0,27
14,Albany Park,123,111,108,91,15,48,0,45,0,45,0,45
15,Portage Park,175,179,175,179,0,47,0,47,0,47,0,47
16,Irving Park,150,134,76,86,73,113,0,47,1,46,0,47
17,Dunning,86,97,86,97,0,40,0,40,0,40,0,40
18,Montclare,42,54,8,20,33,54,0,23,1,16,0,23
19,Belmont Cragin,171,165,171,165,0,52,0,52,0,52,0,52
20,Hermosa,33,49,33,49,0,29,0,29,0,29,0,29
21,Avondale,285,278,245,275,33,55,0,38,7,39,0,38
22,Logan Square,136,114,108,110,8,58,0,57,20,65,0,57
23,Humboldt Park,168,159,134,121,3,49,0,51,31,70,0,51
24,West Town,231,109,185,100,40,71,0,62,6,62,0,62
25,Austin,142,152,134,151,8,62,0,61,0,61,0,61
26,West Garfield Park,14,45,14,45,0,35,0,35,0,35,0,35
27,East Garfield Park,13,43,13,43,0,38,0,38,0,38,0,38
28,Near West Side,161,112,60,77,84,82,10,55,7,53,0,52
29,North Lawndale,21,52,3,42,18,51,0,43,0,43,0,43
30,South Lawndale,309,173,305,174,4,46,0,48,0,48,0,48
31,Lower West Side,113,74,113,74,0,42,0,42,0,42,0,42
32,Loop,34,37,34,37,0,30,0,30,0,30,0,30
33,Near South Side,53,62,53,62,0,24,0,24,0,24,0,24
34,Armour Square,5,26,5,26,0,27,0,27,0,27,0,27
35,Douglas,22,38,6,35,0,35,0,35,16,38,0,35
36,Oakland,0,19,0,19,0,19,0,19,0,19,0,19
37,Fuller Park,0,16,0,16,0,16,0,16,0,16,0,16
38,Grand Boulevard,14,45,13,46,0,43,1,41,0,43,0,43
39,Kenwood,73,63,60,61,13,35,0,31,0,31,0,31
40,Washington Park,0,27,0,27,0,27,0,27,0,27,0,27
41,Hyde Park,93,75,66,67,23,51,0,38,4,37,0,38
42,Woodlawn,60,57,53,57,7,36,0,36,0,36,0,36
43,South Shore,108,86,82,81,26,53,0,44,0,44,0,44
44,Chatham,28,43,28,43,0,37,0,37,0,37,0,37
45,Avalon Park,0,19,0,19,0,19,0,19,0,19,0,19
46,South Chicago,0,37,0,37,0,37,0,37,0,37,0,37
47,Burnside,0,11,0,11,0,11,0,11,0,11,0,11
48,Calumet Heights,9,29,9,29,0,27,0,27,0,27,0,27
49,Roseland,20,54,20,54,0,41,0,41,0,41,0,41
50,Pullman,0,19,0,19,0,19,0,19,0,19,0,19
51,South Deering,17,35,17,35,0,25,0,25,0,25,0,25
52,East Side,80,67,65,65,7,33,0,29,8,30,0,29
53,West Pullman,27,47,27,47,0,39,0,39,0,39,0,39
54,Riverdale,3,13,3,13,0,16,0,16,0,16,0,16
55,Hegewisch,45,45,25,30,20,36,0,19,0,19,0,19
56,Garfield Ridge,17,45,17,45,0,42,0,42,0,42,0,42
57,Archer Heights,91,78,66,81,0,27,25,42,0,27,0,27
58,Brighton Park,109,91,109,91,0,43,0,43,0,43,0,43
59,McKinley Park,250,195,250,195,0,25,0,25,0,25,0,25
60,Bridgeport,226,180,189,153,37,52,0,37,0,37,0,37
61,New City,309,244,292,243,17,52,0,47,0,47,0,47
62,West Elsdon,18,29,18,29,0,27,0,27,0,27,0,27
63,Gage Park,129,152,126,152,3,40,0,41,0,41,0,41
64,Clearing,93,155,93,155,0,31,0,31,0,31,0,31
65,West Lawn,342,281,342,281,0,34,0,34,0,34,0,34
66,Chicago Lawn,118,129,105,122,0,49,13,51,0,49,0,49
67,West Englewood,21,51,12,50,9,49,0,48,0,48,0,48
68,Englewood,79,80,79,80,0,36,0,36,0,36,0,36
69,Greater Grand Crossing,211,107,211,107,0,38,0,38,0,38,0,38
70,Ashburn,152,183,152,183,0,41,0,41,0,41,0,41
71,Auburn Gresham,53,82,0,46,43,82,0,46,10,46,0,46
72,Beverly,24,30,24,30,0,29,0,29,0,29,0,29
73,Washington Heights,0,33,0,33,0,33,0,33,0,33,0,33
74,Mount Greenwood,18,37,18,37,0,25,0,25,0,25,0,25
75,Morgan Park,51,42,42,40,9,33,0,31,0,31,0,31
76,O'Hare,46,64,46,64,0,38,0,38,0,38,0,38
77,Edgewater,149,131,142,131,7,48,0,48,0,48,0,48
