area_id,area_name,b19101d001,b19101d001_moe,b19101d002,b19101d002_moe,b19101d003,b19101d003_moe,b19101d004,b19101d004_moe,b19101d005,b19101d005_moe,b19101d006,b19101d006_moe,b19101d007,b19101d007_moe,b19101d008,b19101d008_moe,b19101d009,b19101d009_moe,b19101d010,b19101d010_moe,b19101d011,b19101d011_moe,b19101d012,b19101d012_moe,b19101d013,b19101d013_moe,b19101d014,b19101d014_moe,b19101d015,b19101d015_moe,b19101d016,b19101d016_moe,b19101d017,b19101d017_moe
1,Rogers Park,716,214,97,105,32,61,62,75,51,65,0,48,0,48,6,45,44,68,58,86,11,49,17,54,88,78,83,77,53,69,61,80,53,61
2,West Ridge,3745,401,107,83,120,85,180,116,298,153,142,95,280,146,145,107,256,115,304,163,430,174,405,159,423,157,226,117,208,103,126,77,95,78
3,Uptown,1516,267,93,72,153,105,150,83,35,62,56,84,113,93,25,59,82,81,38,58,151,123,70,73,258,132,97,75,39,58,50,57,106,75
4,Lincoln Square,973,204,24,45,36,69,29,48,29,47,64,75,88,83,22,48,47,57,59,55,68,51,88,77,146,79,120,76,74,58,53,68,26,42
5,North Center,369,119,0,43,0,43,12,42,0,43,39,75,0,43,0,43,0,43,33,54,17,50,49,52,40,50,58,51,39,53,63,53,19,46
6,Lake View,1377,286,83,118,56,91,0,66,31,74,27,71,30,72,4,66,23,70,39,75,19,71,108,107,118,82,100,85,232,167,189,104,318,125
7,Lincoln Park,492,130,0,51,14,54,0,51,9,51,0,51,7,51,0,51,0,51,12,53,39,63,8,52,33,57,106,78,88,73,80,66,96,63
8,Near North Side,1778,346,80,103,60,82,0,54,0,54,37,67,0,54,21,63,0,54,0,54,143,112,231,158,237,136,269,145,82,81,239,136,379,158
9,Edison Park,36,41,0,25,0,25,0,25,0,25,0,25,0,25,0,25,6,25,0,25,0,25,0,25,22,39,0,25,0,25,8,26,0,25
10,Norwood Park,450,148,0,39,0,39,0,39,12,40,0,39,49,83,0,39,0,39,22,43,62,86,42,56,100,74,79,51,23,42,30,42,31,48
11,Jefferson Park,515,148,9,30,0,29,0,29,16,31,14,36,13,32,8,30,21,36,13,34,0,29,78,64,115,85,60,53,44,47,99,71,25,37
12,Forest Glen,565,112,0,29,9,31,0,29,0,29,19,30,0,29,58,86,2,28,36,36,0,29,92,72,35,49,52,44,79,62,86,60,97,83
13,North Park,1237,180,91,68,14,31,95,70,79,68,18,35,12,29,81,73,81,52,27,28,96,62,93,58,371,107,66,53,44,37,26,33,43,41
14,Albany Park,1502,237,8,43,161,107,52,68,134,88,39,54,52,54,43,49,63,65,150,92,68,71,121,74,225,92,209,100,26,49,76,78,75,67
15,Portage Park,570,145,7,46,14,52,6,47,30,55,8,48,0,47,20,52,14,52,0,47,51,71,72,72,173,83,51,61,20,49,35,54,69,71
16,Irving Park,985,211,59,73,57,76,14,51,22,57,77,64,61,62,37,59,58,55,54,59,32,69,138,91,111,68,79,57,53,69,31,51,102,93
17,Dunning,340,97,8,41,0,40,11,43,0,40,0,40,10,42,0,40,7,39,8,41,0,40,11,42,102,69,13,38,23,44,67,49,80,63
18,Montclare,107,75,45,56,0,23,0,23,9,22,0,23,0,23,0,23,0,23,0,23,0,23,0,23,15,30,16,30,0,23,0,23,22,39
19,Belmont Cragin,329,115,0,52,13,54,0,52,7,51,8,51,0,52,0,52,10,52,0,52,62,63,51,66,63,73,83,78,23,57,0,52,9,53
20,Hermosa,8,30,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,8,30,0,29,0,29,0,29,0,29,0,29
21,Avondale,289,114,0,38,8,39,0,38,0,38,0,38,33,46,0,38,51,62,0,38,0,38,44,53,84,78,24,44,21,46,24,39,0,38
22,Logan Square,388,114,14,57,19,59,10,58,0,57,0,57,26,62,11,59,0,57,7,57,0,57,28,60,50,73,33,62,0,57,77,67,113,73
23,Humboldt Park,19,52,0,51,0,51,0,51,5,49,0,51,0,51,0,51,0,51,0,51,14,53,0,51,0,51,0,51,0,51,0,51,0,51
24,West Town,552,137,44,74,0,62,0,62,29,76,11,64,0,62,11,63,0,62,8,63,12,64,85,79,11,62,73,77,89,79,43,65,136,80
25,Austin,101,81,0,61,0,61,0,61,0,61,10,62,0,61,0,61,10,62,0,61,8,62,26,72,0,61,1,59,26,63,5,60,15,63
26,West Garfield Park,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35
27,East Garfield Park,10,40,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,10,40,0,38,0,38,0,38,0,38,0,38,0,38
28,Near West Side,1485,253,89,83,28,59,0,52,16,53,7,50,0,52,20,54,9,53,53,60,38,64,212,139,228,101,209,107,128,73,134,74,314,146
29,North Lawndale,7,43,0,43,0,43,0,43,0,43,0,43,0,43,7,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43
30,South Lawndale,5,47,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,5,47,0,48,0,48,0,48,0,48,0,48
31,Lower West Side,95,63,0,42,7,42,0,42,0,42,0,42,28,60,10,42,0,42,0,42,0,42,0,42,6,41,0,42,4,41,22,44,18,47
32,Loop,742,195,50,89,0,30,18,38,52,69,0,30,0,30,20,35,0,30,5,29,0,30,101,90,89,75,69,78,91,68,88,85,159,83
33,Near South Side,685,219,81,82,4,27,0,24,8,25,0,24,0,24,56,69,0,24,7,24,11,24,23,28,88,81,85,79,85,74,88,70,149,100
34,Armour Square,2453,209,274,142,479,140,279,121,143,79,171,96,56,56,172,86,85,59,43,40,105,63,181,99,165,101,143,105,62,45,79,67,16,34
35,Douglas,264,100,21,39,0,35,18,37,20,46,0,35,6,34,0,35,15,35,44,49,37,49,24,46,27,44,46,55,0,35,0,35,6,34
36,Oakland,4,17,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,4,17,0,19,0,19,0,19,0,19,0,19
37,Fuller Park,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16
38,Grand Boulevard,8,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,8,43,0,43,0,43,0,43,0,43,0,43
39,Kenwood,112,64,23,36,0,31,0,31,0,31,0,31,27,41,0,31,5,31,0,31,0,31,13,34,9,33,10,33,0,31,0,31,25,37
40,Washington Park,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
41,Hyde Park,413,114,48,57,0,38,31,48,8,38,11,40,11,40,44,63,9,40,0,38,0,38,33,41,44,56,78,65,18,43,37,45,41,44
42,Woodlawn,78,44,8,37,4,35,0,36,3,35,0,36,8,37,0,36,0,36,0,36,0,36,35,51,7,37,0,36,0,36,0,36,13,37
43,South Shore,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44
44,Chatham,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37
45,Avalon Park,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19
46,South Chicago,26,52,0,37,0,37,0,37,0,37,0,37,0,37,26,52,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37
47,Burnside,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
48,Calumet Heights,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
49,Roseland,61,56,0,41,0,41,0,41,16,46,0,41,0,41,13,44,0,41,0,41,0,41,21,47,0,41,0,41,0,41,11,44,0,41
50,Pullman,7,20,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,7,20,0,19,0,19,0,19,0,19,0,19,0,19,0,19
51,South Deering,10,27,0,25,10,27,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25
52,East Side,25,36,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,8,27,0,29,17,38,0,29,0,29,0,29,0,29
53,West Pullman,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39
54,Riverdale,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16
55,Hegewisch,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19
56,Garfield Ridge,162,81,20,50,3,41,0,42,0,42,0,42,20,42,25,55,11,44,0,42,5,41,0,42,10,43,11,43,26,44,24,43,7,40
57,Archer Heights,57,49,0,27,0,27,0,27,0,27,0,27,6,27,0,27,25,45,0,27,0,27,0,27,11,28,15,32,0,27,0,27,0,27
58,Brighton Park,666,133,12,43,9,44,22,47,65,74,95,61,42,48,45,51,35,48,27,48,44,63,96,63,83,52,17,48,23,47,40,53,11,44
59,McKinley Park,654,112,31,34,13,30,16,27,59,47,86,43,110,61,61,52,15,28,10,27,27,34,61,38,83,58,16,27,29,28,27,36,10,27
60,Bridgeport,2580,245,123,74,137,62,240,94,173,71,143,86,205,98,169,78,143,76,154,80,180,77,252,96,261,86,144,78,45,40,96,49,115,70
61,New City,142,56,11,49,0,47,7,47,7,48,0,47,8,48,0,47,11,46,0,47,5,46,23,45,13,48,39,56,0,47,7,47,11,49
62,West Elsdon,65,38,0,27,0,27,0,27,0,27,0,27,9,29,13,26,9,26,4,23,0,27,4,26,12,28,6,24,0,27,0,27,8,28
63,Gage Park,73,52,0,41,13,44,0,41,0,41,12,43,0,41,14,43,0,41,0,41,8,41,0,41,7,41,8,40,0,41,0,41,11,41
64,Clearing,39,52,0,31,0,31,0,31,0,31,1,30,0,31,0,31,0,31,0,31,0,31,5,30,0,31,26,52,0,31,0,31,7,31
65,West Lawn,38,48,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,29,45,0,34,0,34,0,34,9,35
66,Chicago Lawn,116,85,0,49,0,49,24,62,0,49,0,49,0,49,1,47,10,50,0,49,0,49,9,47,24,53,48,73,0,49,0,49,0,49
67,West Englewood,26,61,26,61,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48
68,Englewood,3,35,3,35,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36
69,Greater Grand Crossing,8,39,0,38,0,38,0,38,0,38,0,38,0,38,8,39,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38
70,Ashburn,21,41,0,41,0,41,10,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,11,41,0,41,0,41,0,41,0,41
71,Auburn Gresham,10,47,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,10,47
72,Beverly,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29
73,Washington Heights,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33
74,Mount Greenwood,17,34,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,17,34,0,25,0,25,0,25
75,Morgan Park,19,35,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,14,36,5,31,0,31,0,31,0,31
