area_id,area_name,b25032g001,b25032g001_moe,b25032g002,b25032g002_moe,b25032g003,b25032g003_moe,b25032g004,b25032g004_moe,b25032g005,b25032g005_moe,b25032g006,b25032g006_moe,b25032g007,b25032g007_moe,b25032g008,b25032g008_moe,b25032g009,b25032g009_moe,b25032g010,b25032g010_moe,b25032g011,b25032g011_moe
1,Rogers Park,572,167,86,81,26,54,0,48,41,64,152,89,47,57,129,82,91,80,0,48,0,48
2,West Ridge,464,170,48,57,9,52,79,81,187,129,103,91,0,51,31,58,7,52,0,51,0,51
3,Uptown,750,245,29,65,0,48,0,48,119,109,120,94,20,50,79,91,383,181,0,48,0,48
4,Lincoln Square,312,128,6,40,0,40,14,42,80,75,105,92,27,42,80,58,0,40,0,40,0,40
5,North Center,233,94,55,52,0,43,42,49,55,66,45,57,0,43,23,48,13,46,0,43,0,43
6,Lake View,752,192,54,73,8,65,31,69,107,91,88,99,126,90,137,107,201,115,0,66,0,66
7,Lincoln Park,461,167,31,57,22,52,0,51,97,74,66,57,28,58,41,58,176,143,0,51,0,51
8,Near North Side,646,248,23,58,18,56,0,54,115,150,0,54,0,54,16,60,474,200,0,54,0,54
9,Edison Park,67,55,46,41,0,25,0,25,0,25,21,40,0,25,0,25,0,25,0,25,0,25
10,Norwood Park,153,110,32,42,0,39,64,80,45,80,0,39,12,42,0,39,0,39,0,39,0,39
11,Jefferson Park,173,83,74,50,14,32,27,46,39,53,12,33,7,30,0,29,0,29,0,29,0,29
12,Forest Glen,58,55,20,36,0,29,0,29,22,45,0,29,0,29,0,29,16,37,0,29,0,29
13,North Park,186,114,38,36,0,27,13,32,38,64,0,27,40,64,47,67,10,27,0,27,0,27
14,Albany Park,368,109,109,62,0,45,67,61,18,45,50,53,55,57,56,60,13,48,0,45,0,45
15,Portage Park,244,93,106,69,0,47,62,63,40,48,24,52,11,48,1,46,0,47,0,47,0,47
16,Irving Park,266,100,76,56,0,47,96,71,15,47,73,68,6,47,0,47,0,47,0,47,0,47
17,Dunning,110,66,92,64,0,40,0,40,18,42,0,40,0,40,0,40,0,40,0,40,0,40
18,Montclare,5,18,5,18,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23
19,Belmont Cragin,316,108,148,84,15,56,110,84,16,52,18,58,0,52,0,52,9,53,0,52,0,52
20,Hermosa,133,66,66,63,0,29,37,33,10,32,10,32,0,29,10,32,0,29,0,29,0,29
21,Avondale,295,109,54,42,0,38,64,52,59,62,18,42,70,68,30,46,0,38,0,38,0,38
22,Logan Square,469,135,124,79,0,57,54,67,81,71,100,89,11,59,79,76,20,59,0,57,0,57
23,Humboldt Park,320,127,66,63,5,51,98,82,80,82,22,61,9,51,0,51,40,68,0,51,0,51
24,West Town,541,138,15,63,22,67,100,76,209,94,145,93,12,61,10,62,18,67,10,63,0,62
25,Austin,111,73,20,63,0,61,57,66,25,65,0,61,9,62,0,61,0,61,0,61,0,61
26,West Garfield Park,18,38,0,35,0,35,18,38,0,35,0,35,0,35,0,35,0,35,0,35,0,35
